state_id,scenario_group,unique_instance_id,route_id,frame,scenario_progress,num_dynamic_actors,dominant_actor_id,dominant_token_idx,D1,D2,D1_D2_ratio,pass_D1,pass_ratio,single_dominant
F000000,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21268,0.0,37,4017,1,0.11929,0.04772,2.386,0,1,0
F000001,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21272,0.0032,37,4017,1,0.07177,0.05558,1.291,0,0,0
F000002,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21276,0.0064,38,4968,10,0.0565,0.04032,1.13,0,0,0
F000003,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21280,0.0096,36,4017,1,0.05238,0.04578,1.048,0,0,0
F000004,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21284,0.0129,37,4017,1,0.1766,0.08536,2.069,0,1,0
F000005,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21288,0.0161,37,4017,1,0.18423,0.12319,1.495,0,0,0
F000006,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21292,0.0193,35,4017,1,0.22715,0.14613,1.554,1,1,1
F000007,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21296,0.0225,35,4017,1,0.48347,0.14558,3.321,1,1,1
F000008,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21300,0.0257,33,4017,1,0.82437,0.1705,4.835,1,1,1
F000009,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21304,0.0289,35,4017,1,2.20669,0.2295,9.615,1,1,1
F000010,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21308,0.0322,35,4017,1,3.7347,0.35348,10.566,1,1,1
F000011,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21312,0.0354,33,4017,1,4.67179,0.32961,14.174,1,1,1
F000012,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21316,0.0386,34,4017,1,5.47796,0.50093,10.936,1,1,1
F000013,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21320,0.0418,35,4017,1,5.74719,0.45314,12.683,1,1,1
F000014,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21324,0.045,36,4017,1,5.66404,0.37901,14.944,1,1,1
