scenario_group,unique_instance_id,num_valid_frames,num_single_dominant_frames,single_dominant_rate,max_D1,median_D1
A_HardBreak,route10|HardBreakRoute_1,300,150,0.5,10.246,0.572
A_HardBreak,route10|HardBreakRoute_2,300,204,0.68,10.246,1.908
A_HardBreak,route10|HardBreakRoute_3,300,145,0.483,11.997,0.559
A_HardBreak,route10|HardBreakRoute_4,281,274,0.975,6.775,4.192
A_HardBreak,route10|HardBreakRoute_5,273,266,0.974,6.775,4.195
B_ParkingCutIn,route10|ParkingCutIn_1,99,57,0.576,11.742,1.306
B_ParkingCutIn,route10|ParkingCutIn_2,99,66,0.667,9.672,2.117
B_ParkingCutIn,route10|ParkingCutIn_3,296,246,0.831,11.367,2.937
B_ParkingCutIn,route10|ParkingCutIn_4,375,87,0.232,9.141,0.002
B_ParkingCutIn,route10|ParkingCutIn_5,56,35,0.625,5.578,3.028
D_PedestrianCrossing,route10|PedestrianCrossing_1,44,22,0.5,3.44,0.388
D_PedestrianCrossing,route10|PedestrianCrossing_2,43,25,0.581,3.138,0.451
D_PedestrianCrossing,route10|PedestrianCrossing_3,50,42,0.84,4.098,1.161
D_PedestrianCrossing,route10|PedestrianCrossing_4,52,33,0.635,4.979,0.959
D_PedestrianCrossing,route10|PedestrianCrossing_5,40,20,0.5,1.755,0.887
C_VehicleTurning,route10|VehicleTurningRoute_1,143,113,0.79,11.489,9.853
C_VehicleTurning,route10|VehicleTurningRoute_2,445,439,0.987,11.7,3.463
A_HardBreak,route14|HardBreakRoute_1,259,253,0.977,8.116,3.99
A_HardBreak,route14|HardBreakRoute_2,300,240,0.8,7.815,3.158
A_HardBreak,route14|HardBreakRoute_6,300,236,0.787,8.394,0.855
D_PedestrianCrossing,route14|PedestrianCrossing_1,65,43,0.662,1.613,0.418
D_PedestrianCrossing,route14|PedestrianCrossing_2,62,39,0.629,4.986,0.773
D_PedestrianCrossing,route14|PedestrianCrossing_3,37,24,0.649,0.837,0.28
D_PedestrianCrossing,route14|PedestrianCrossing_4,50,28,0.56,1.02,0.41
C_VehicleTurning,route14|VehicleTurningRoute_1,310,289,0.932,11.488,3.832
C_VehicleTurning,route14|VehicleTurningRoute_2,164,126,0.768,11.261,8.955
C_VehicleTurning,route14|VehicleTurningRoute_3,454,452,0.996,11.527,6.043
C_VehicleTurning,route14|VehicleTurningRoute_4,193,158,0.819,10.565,5.733
C_VehicleTurning,route14|VehicleTurningRoute_5,379,331,0.873,11.344,6.34
A_HardBreak,route3|HardBreakRoute_1,300,238,0.793,12.091,2.947
A_HardBreak,route3|HardBreakRoute_10,260,198,0.762,12.091,3.073
A_HardBreak,route3|HardBreakRoute_4,300,273,0.91,11.291,3.529
A_HardBreak,route3|HardBreakRoute_5,300,244,0.813,9.249,3.772
A_HardBreak,route3|HardBreakRoute_7,300,258,0.86,11.22,2.646
A_HardBreak,route3|HardBreakRoute_8,300,297,0.99,11.22,3.806
B_ParkingCutIn,route3|ParkingCutIn_1,100,67,0.67,12.091,2.194
B_ParkingCutIn,route3|ParkingCutIn_2,230,181,0.787,7.82,3.92
B_ParkingCutIn,route3|ParkingCutIn_3,429,300,0.699,7.848,3.353
B_ParkingCutIn,route3|ParkingCutIn_4,269,199,0.74,10.854,1.277
D_PedestrianCrossing,route3|PedestrianCrossing_1,47,34,0.723,1.966,0.482
C_VehicleTurning,route3|VehicleTurningRoute_1,169,163,0.964,8.285,4.215
