route,config_name,scenario_group,frame,scenario_progress,num_dynamic_actors,dominant_actor_id,dominant_token_idx,D1,D2,D1_D2_ratio,pass_D1,pass_ratio,single_dominant,snapshot_path
route3,HardBreakRoute_10,HardBreakRoute,189,-1,25,3718,3,1.84441,0.0293,36.888,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000189.npz
route3,HardBreakRoute_10,HardBreakRoute,193,-1,25,3718,3,1.70265,0.0246,34.053,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000193.npz
route3,HardBreakRoute_10,HardBreakRoute,197,-1,25,3718,3,1.66999,0.01825,33.4,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000197.npz
route3,HardBreakRoute_10,HardBreakRoute,201,-1,25,3718,3,2.00396,0.02685,40.079,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000201.npz
route3,HardBreakRoute_10,HardBreakRoute,205,-1,25,3718,3,2.58212,0.01786,51.642,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000205.npz
route3,HardBreakRoute_10,HardBreakRoute,209,-1,27,3718,3,2.81167,0.01575,56.233,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000209.npz
route3,HardBreakRoute_10,HardBreakRoute,213,-1,27,3718,3,0.78184,0.32934,2.374,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000213.npz
route3,HardBreakRoute_10,HardBreakRoute,217,-1,27,3719,2,0.63643,0.01638,12.729,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000217.npz
route3,HardBreakRoute_10,HardBreakRoute,221,-1,26,3719,2,0.92664,0.01986,18.533,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000221.npz
route3,HardBreakRoute_10,HardBreakRoute,225,-1,28,3719,2,1.27158,0.01366,25.432,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000225.npz
route3,HardBreakRoute_10,HardBreakRoute,229,-1,28,3719,2,2.04863,0.0176,40.973,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000229.npz
route3,HardBreakRoute_10,HardBreakRoute,233,-1,28,3719,2,3.01643,0.02499,60.329,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000233.npz
route3,HardBreakRoute_10,HardBreakRoute,237,-1,28,3719,2,4.49363,0.03154,89.873,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000237.npz
route3,HardBreakRoute_10,HardBreakRoute,241,-1,28,3719,2,6.12678,0.0115,122.536,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000241.npz
route3,HardBreakRoute_10,HardBreakRoute,245,-1,28,3719,2,6.5886,0.01652,131.772,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000245.npz
route3,HardBreakRoute_10,HardBreakRoute,249,-1,28,3719,2,6.98983,0.02585,139.797,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000249.npz
route3,HardBreakRoute_10,HardBreakRoute,253,-1,29,3719,3,7.49423,0.143,52.406,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000253.npz
route3,HardBreakRoute_10,HardBreakRoute,257,-1,30,3719,4,4.25563,0.15725,27.063,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000257.npz
route3,HardBreakRoute_10,HardBreakRoute,261,-1,30,3719,4,0.89767,0.16026,5.601,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000261.npz
route3,HardBreakRoute_10,HardBreakRoute,265,-1,29,3719,4,0.53963,0.2847,1.895,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000265.npz
route3,HardBreakRoute_10,HardBreakRoute,269,-1,29,3718,5,0.64455,0.3731,1.728,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000269.npz
route3,HardBreakRoute_10,HardBreakRoute,273,-1,29,3718,5,1.12399,0.95587,1.176,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000273.npz
route3,HardBreakRoute_10,HardBreakRoute,277,-1,29,3719,4,1.95585,0.90859,2.153,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000277.npz
route3,HardBreakRoute_10,HardBreakRoute,281,-1,27,3719,4,3.24848,0.72269,4.495,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000281.npz
route3,HardBreakRoute_10,HardBreakRoute,285,-1,24,3719,4,4.31611,0.71663,6.023,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000285.npz
route3,HardBreakRoute_10,HardBreakRoute,289,-1,23,3719,4,5.35365,1.05054,5.096,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000289.npz
route3,HardBreakRoute_10,HardBreakRoute,293,-1,23,3719,4,5.73752,0.88174,6.507,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000293.npz
route3,HardBreakRoute_10,HardBreakRoute,297,-1,23,3719,4,5.26322,1.67241,3.147,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000297.npz
route3,HardBreakRoute_10,HardBreakRoute,301,-1,24,3719,4,5.77647,2.84107,2.033,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000301.npz
route3,HardBreakRoute_10,HardBreakRoute,305,-1,24,3719,4,6.24948,4.19171,1.491,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000305.npz
route3,HardBreakRoute_10,HardBreakRoute,309,-1,28,3719,4,6.50493,4.34689,1.496,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000309.npz
route3,HardBreakRoute_10,HardBreakRoute,313,-1,28,3719,4,6.51488,2.81032,2.318,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000313.npz
route3,HardBreakRoute_10,HardBreakRoute,317,-1,30,3719,4,6.00678,1.48561,4.043,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000317.npz
route3,HardBreakRoute_10,HardBreakRoute,321,-1,30,3719,4,5.16291,0.46014,11.22,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000321.npz
route3,HardBreakRoute_10,HardBreakRoute,325,-1,30,3719,4,4.17233,1.27448,3.274,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000325.npz
route3,HardBreakRoute_10,HardBreakRoute,329,-1,30,3719,4,1.98363,1.29989,1.526,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000329.npz
route3,HardBreakRoute_10,HardBreakRoute,333,-1,30,3719,4,1.58238,0.99405,1.592,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000333.npz
