state_id,scenario_group,unique_instance_id,replay_noise_rms,rms_I1,rms_I2,rms_I3,rms_I4,rms_I5,active_I1,active_I2,active_I3,active_I4,active_I5,below_noise_I1,below_noise_I2,below_noise_I3,below_noise_I4,below_noise_I5
V000000,A_HardBreak,route10|HardBreakRoute_1,0.0,0.2933,0.4815,0.0,0.0,1.9145,1,1,1,1,1,0,0,0,0,0
V000001,A_HardBreak,route10|HardBreakRoute_1,0.0,0.028,0.0139,0.0594,0.0652,0.5427,1,1,1,1,1,0,0,0,0,0
V000002,A_HardBreak,route10|HardBreakRoute_2,0.0,2.02,0.6687,0.2904,0.1838,5.4367,1,1,1,1,1,0,0,0,0,0
V000003,A_HardBreak,route10|HardBreakRoute_2,0.0,0.1155,0.1165,0.0,0.0,4.4047,1,1,1,1,1,0,0,0,0,0
V000004,A_HardBreak,route10|HardBreakRoute_3,0.0,0.141,0.1217,0.0632,0.0957,0.6261,1,1,1,1,1,0,0,0,0,0
V000005,A_HardBreak,route10|HardBreakRoute_3,0.0,0.5446,0.4911,0.0,0.0,6.6886,1,1,1,1,1,0,0,0,0,0
V000006,A_HardBreak,route10|HardBreakRoute_3,0.0,0.2255,6.9073,0.0785,2.0077,8.4832,1,1,1,1,1,0,0,0,0,0
V000007,A_HardBreak,route10|HardBreakRoute_3,0.0,1.0877,0.3945,0.4665,0.2593,2.7631,1,1,1,1,1,0,0,0,0,0
V000008,A_HardBreak,route10|HardBreakRoute_4,0.0,0.8518,0.0859,0.0,0.0,2.9359,1,1,1,1,1,0,0,0,0,0
V000009,B_ParkingCutIn,route10|ParkingCutIn_1,0.0,0.0078,0.0079,0.0316,0.5742,1.8678,1,1,1,1,1,0,0,0,0,0
V000010,B_ParkingCutIn,route10|ParkingCutIn_1,0.0,0.0414,0.07,0.0656,0.0884,3.6952,1,1,1,1,1,0,0,0,0,0
V000011,B_ParkingCutIn,route10|ParkingCutIn_1,0.0,0.0659,0.6917,0.0245,0.0086,8.3026,1,1,1,1,1,0,0,0,0,0
V000012,B_ParkingCutIn,route10|ParkingCutIn_1,0.0,0.6124,0.247,0.2318,0.175,7.5806,1,1,1,1,1,0,0,0,0,0
V000013,B_ParkingCutIn,route10|ParkingCutIn_2,0.0,0.2715,0.0954,0.0113,0.0513,6.8392,1,1,1,1,1,0,0,0,0,0
V000014,B_ParkingCutIn,route10|ParkingCutIn_2,0.0,0.8027,1.7982,0.1252,0.2137,3.9715,1,1,1,1,1,0,0,0,0,0
V000015,B_ParkingCutIn,route10|ParkingCutIn_3,0.0,0.1653,0.3835,0.1485,0.4384,6.2175,1,1,1,1,1,0,0,0,0,0
V000016,B_ParkingCutIn,route10|ParkingCutIn_3,0.0,0.7283,4.149,0.1464,0.1123,8.0374,1,1,1,1,1,0,0,0,0,0
V000017,B_ParkingCutIn,route10|ParkingCutIn_3,0.0,0.821,0.6748,0.0,0.0,2.7891,1,1,1,1,1,0,0,0,0,0
V000018,B_ParkingCutIn,route10|ParkingCutIn_3,0.0,1.1206,1.2295,0.001,0.001,3.5791,1,1,1,1,1,0,0,0,0,0
V000019,B_ParkingCutIn,route10|ParkingCutIn_4,0.0,1.0426,0.7393,0.2982,0.0982,3.2381,1,1,1,1,1,0,0,0,0,0
V000020,B_ParkingCutIn,route10|ParkingCutIn_4,0.0,0.5954,1.6559,0.0,0.0,2.3041,1,1,1,1,1,0,0,0,0,0
V000021,B_ParkingCutIn,route10|ParkingCutIn_4,0.0,0.8859,0.7711,0.2198,0.1767,6.464,1,1,1,1,1,0,0,0,0,0
V000022,B_ParkingCutIn,route10|ParkingCutIn_5,0.0,0.0533,0.06,0.0132,0.0119,3.9444,1,1,1,1,1,0,0,0,0,0
