state_A,state_B,group_A,group_B,uid_A,uid_B,cos_dir,mag_sim
V000073,V000094,C_VehicleTurning,A_HardBreak,route14|VehicleTurningRoute_1,route3|HardBreakRoute_10,0.9992,0.9977
V000052,V000071,A_HardBreak,C_VehicleTurning,route14|HardBreakRoute_2,route14|VehicleTurningRoute_1,0.9965,0.9997
V000046,V000071,A_HardBreak,C_VehicleTurning,route14|HardBreakRoute_1,route14|VehicleTurningRoute_1,0.9951,0.9998
V000051,V000106,A_HardBreak,C_VehicleTurning,route14|HardBreakRoute_2,route3|VehicleTurningRoute_1,0.9948,0.9995
V000003,V000104,A_HardBreak,B_ParkingCutIn,route10|HardBreakRoute_2,route3|ParkingCutIn_3,0.9945,0.9996
V000023,V000099,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route3|HardBreakRoute_7,0.9932,0.9917
V000023,V000094,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route3|HardBreakRoute_10,0.9932,0.9898
V000023,V000073,B_ParkingCutIn,C_VehicleTurning,route10|ParkingCutIn_5,route14|VehicleTurningRoute_1,0.9926,0.9882
V000073,V000091,C_VehicleTurning,A_HardBreak,route14|VehicleTurningRoute_1,route3|HardBreakRoute_1,0.9924,0.9964
V000073,V000099,C_VehicleTurning,A_HardBreak,route14|VehicleTurningRoute_1,route3|HardBreakRoute_7,0.9917,0.9744
V000008,V000080,A_HardBreak,C_VehicleTurning,route10|HardBreakRoute_4,route14|VehicleTurningRoute_3,0.9913,0.9957
V000055,V000079,A_HardBreak,C_VehicleTurning,route14|HardBreakRoute_6,route14|VehicleTurningRoute_3,0.9908,0.9968
V000019,V000056,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_4,route14|HardBreakRoute_6,0.9902,0.9873
V000048,V000073,A_HardBreak,C_VehicleTurning,route14|HardBreakRoute_1,route14|VehicleTurningRoute_1,0.9899,0.9959
V000008,V000023,A_HardBreak,B_ParkingCutIn,route10|HardBreakRoute_4,route10|ParkingCutIn_5,0.9899,0.9485
V000047,V000080,A_HardBreak,C_VehicleTurning,route14|HardBreakRoute_1,route14|VehicleTurningRoute_3,0.9893,0.9943
V000094,V000103,A_HardBreak,B_ParkingCutIn,route3|HardBreakRoute_10,route3|ParkingCutIn_3,0.9891,0.9901
V000008,V000103,A_HardBreak,B_ParkingCutIn,route10|HardBreakRoute_4,route3|ParkingCutIn_3,0.9891,0.9862
V000008,V000073,A_HardBreak,C_VehicleTurning,route10|HardBreakRoute_4,route14|VehicleTurningRoute_1,0.9883,0.9721
V000055,V000106,A_HardBreak,C_VehicleTurning,route14|HardBreakRoute_6,route3|VehicleTurningRoute_1,0.9879,0.9972
