state_A,state_B,group_A,group_B,uid_A,uid_B,cos_dir,mag_sim
V000023,V000099,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route3|HardBreakRoute_7,0.9932,0.9917
V000023,V000056,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route14|HardBreakRoute_6,0.9854,0.9733
V000017,V000046,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_3,route14|HardBreakRoute_1,0.9845,0.9968
V000017,V000052,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_3,route14|HardBreakRoute_2,0.982,0.9971
V000023,V000047,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route14|HardBreakRoute_1,0.9819,0.9439
V000023,V000091,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route3|HardBreakRoute_1,0.9802,0.9769
V000021,V000052,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_4,route14|HardBreakRoute_2,0.9794,0.9865
V000035,V000105,D_PedestrianCrossing,B_ParkingCutIn,route10|PedestrianCrossing_5,route3|ParkingCutIn_4,0.9793,0.5743
V000023,V000048,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route14|HardBreakRoute_1,0.9773,0.9867
V000012,V000035,B_ParkingCutIn,D_PedestrianCrossing,route10|ParkingCutIn_1,route10|PedestrianCrossing_5,0.9767,0.5732
V000021,V000091,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_4,route3|HardBreakRoute_1,0.9761,0.9969
V000021,V000048,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_4,route14|HardBreakRoute_1,0.9759,0.9877
V000014,V000047,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_2,route14|HardBreakRoute_1,0.9743,0.9162
V000023,V000046,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route14|HardBreakRoute_1,0.972,0.9812
V000014,V000099,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_2,route3|HardBreakRoute_7,0.9718,0.9608
V000021,V000046,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_4,route14|HardBreakRoute_1,0.9713,0.9916
V000023,V000052,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route14|HardBreakRoute_2,0.9695,0.9854
V000021,V000056,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_4,route14|HardBreakRoute_6,0.9679,0.9987
V000024,V000047,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route14|HardBreakRoute_1,0.9671,0.9595
V000095,V000105,A_HardBreak,B_ParkingCutIn,route3|HardBreakRoute_4,route3|ParkingCutIn_4,0.967,0.9939
