state_A,state_B,group_A,group_B,uid_A,uid_B,cos_dir,mag_sim,same_route,delta_ego_speed,curv_A,curv_B,dom_dist_A,dom_dist_B,dom_type_A,dom_type_B
V000023,V000099,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route3|HardBreakRoute_7,0.9932,0.9917,0,3.17,,,15.69,8.35,1,1
V000023,V000056,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route14|HardBreakRoute_6,0.9854,0.9733,0,0.7,,,15.69,12.02,1,1
V000017,V000046,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_3,route14|HardBreakRoute_1,0.9845,0.9968,0,0.06,,,11.11,12.22,1,1
V000017,V000052,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_3,route14|HardBreakRoute_2,0.982,0.9971,0,0.79,,,11.11,12.26,1,1
V000023,V000047,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route14|HardBreakRoute_1,0.9819,0.9439,0,6.14,,,15.69,9.76,1,1
V000023,V000091,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route3|HardBreakRoute_1,0.9802,0.9769,0,2.75,,,15.69,8.34,1,1
V000021,V000052,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_4,route14|HardBreakRoute_2,0.9794,0.9865,0,0.53,,,11.14,12.26,1,1
V000035,V000105,D_PedestrianCrossing,B_ParkingCutIn,route10|PedestrianCrossing_5,route3|ParkingCutIn_4,0.9793,0.5743,0,4.07,,,9.67,5.49,2,1
V000023,V000048,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route14|HardBreakRoute_1,0.9773,0.9867,0,2.68,,,15.69,7.8,1,1
V000012,V000035,B_ParkingCutIn,D_PedestrianCrossing,route10|ParkingCutIn_1,route10|PedestrianCrossing_5,0.9767,0.5732,1,0.39,,,4.33,9.67,1,2
V000021,V000091,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_4,route3|HardBreakRoute_1,0.9761,0.9969,0,3.04,,,11.14,8.34,1,1
V000021,V000048,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_4,route14|HardBreakRoute_1,0.9759,0.9877,0,3.11,,,11.14,7.8,1,1
V000014,V000047,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_2,route14|HardBreakRoute_1,0.9743,0.9162,0,2.75,,,10.71,9.76,1,1
V000023,V000046,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route14|HardBreakRoute_1,0.972,0.9812,0,5.99,,,15.69,12.22,1,1
V000014,V000099,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_2,route3|HardBreakRoute_7,0.9718,0.9608,0,0.23,,,10.71,8.35,1,1
V000021,V000046,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_4,route14|HardBreakRoute_1,0.9713,0.9916,0,0.2,,,11.14,12.22,1,1
V000023,V000052,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route14|HardBreakRoute_2,0.9695,0.9854,0,5.26,,,15.69,12.26,1,1
V000021,V000056,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_4,route14|HardBreakRoute_6,0.9679,0.9987,0,5.09,,,11.14,12.02,1,1
V000024,V000047,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route14|HardBreakRoute_1,0.9671,0.9595,0,6.21,,,12.94,9.76,1,1
V000095,V000105,A_HardBreak,B_ParkingCutIn,route3|HardBreakRoute_4,route3|ParkingCutIn_4,0.967,0.9939,1,1.38,,,8.09,5.49,1,1
V000035,V000095,D_PedestrianCrossing,A_HardBreak,route10|PedestrianCrossing_5,route3|HardBreakRoute_4,0.9654,0.6583,0,5.46,,,9.67,8.09,2,1
V000021,V000095,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_4,route3|HardBreakRoute_4,0.964,0.9994,0,5.78,,,11.14,8.09,1,1
V000014,V000056,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_2,route14|HardBreakRoute_6,0.9623,0.9648,0,2.7,,,10.71,12.02,1,1
V000017,V000048,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_3,route14|HardBreakRoute_1,0.9605,0.9983,0,3.37,,,11.11,7.8,1,1
