state_A,state_B,group_A,group_B,uid_A,uid_B,cos_dir,mag_sim
V000035,V000064,D_PedestrianCrossing,D_PedestrianCrossing,route10|PedestrianCrossing_5,route14|PedestrianCrossing_3,-0.2922,0.8569
V000031,V000064,D_PedestrianCrossing,D_PedestrianCrossing,route10|PedestrianCrossing_4,route14|PedestrianCrossing_3,-0.2268,0.8114
V000000,V000051,A_HardBreak,A_HardBreak,route10|HardBreakRoute_1,route14|HardBreakRoute_2,-0.1935,0.9969
V000000,V000047,A_HardBreak,A_HardBreak,route10|HardBreakRoute_1,route14|HardBreakRoute_1,-0.1889,0.9673
V000000,V000055,A_HardBreak,A_HardBreak,route10|HardBreakRoute_1,route14|HardBreakRoute_6,-0.1829,0.9966
V000000,V000090,A_HardBreak,A_HardBreak,route10|HardBreakRoute_1,route3|HardBreakRoute_1,-0.1826,0.994
V000000,V000046,A_HardBreak,A_HardBreak,route10|HardBreakRoute_1,route14|HardBreakRoute_1,-0.1818,0.9984
V000000,V000089,A_HardBreak,A_HardBreak,route10|HardBreakRoute_1,route3|HardBreakRoute_1,-0.1816,0.9938
V000000,V000052,A_HardBreak,A_HardBreak,route10|HardBreakRoute_1,route14|HardBreakRoute_2,-0.1796,0.9981
V000000,V000091,A_HardBreak,A_HardBreak,route10|HardBreakRoute_1,route3|HardBreakRoute_1,-0.1762,0.9971
V000000,V000048,A_HardBreak,A_HardBreak,route10|HardBreakRoute_1,route14|HardBreakRoute_1,-0.1755,0.9901
V000000,V000099,A_HardBreak,A_HardBreak,route10|HardBreakRoute_1,route3|HardBreakRoute_7,-0.1741,0.9578
V000000,V000056,A_HardBreak,A_HardBreak,route10|HardBreakRoute_1,route14|HardBreakRoute_6,-0.1734,0.9939
V000000,V000045,A_HardBreak,A_HardBreak,route10|HardBreakRoute_1,route14|HardBreakRoute_1,-0.1648,0.9655
V000061,V000064,D_PedestrianCrossing,D_PedestrianCrossing,route14|PedestrianCrossing_2,route14|PedestrianCrossing_3,-0.1628,0.8582
