file,ok,max_abs_error,mean_abs_error,note
f000185.npz,1,0.000389,0.000118,
f000857.npz,1,0.000051,0.000019,
f001529.npz,1,0.000032,0.000013,
f002201.npz,1,0.000030,0.000012,
f002873.npz,1,0.000030,0.000012,
f003545.npz,1,0.000031,0.000012,
f004217.npz,1,0.000024,0.000007,
f004889.npz,1,0.000023,0.000007,
f005561.npz,1,0.000024,0.000007,
f006233.npz,1,0.000204,0.000064,
f006937.npz,1,0.000153,0.000025,
f000183.npz,1,0.000123,0.000037,
f000223.npz,1,0.000303,0.000098,
f000263.npz,1,0.000137,0.000046,
f000303.npz,1,0.000072,0.000030,
f000343.npz,1,0.000195,0.000080,
f000383.npz,1,0.000193,0.000077,
f000423.npz,1,0.000839,0.000365,
f000463.npz,1,0.001191,0.000207,
f000503.npz,1,0.000677,0.000095,
f000543.npz,1,0.001053,0.000174,
f000607.npz,1,0.000076,0.000018,
f000181.npz,1,0.001026,0.000320,
f000253.npz,1,0.000374,0.000114,
f000325.npz,1,0.000104,0.000035,
f000397.npz,1,0.000135,0.000061,
f000469.npz,1,0.000091,0.000038,
f000541.npz,1,0.000085,0.000030,
f000613.npz,1,0.000102,0.000036,
f000685.npz,1,0.000040,0.000026,
f000757.npz,1,0.000511,0.000209,
f000829.npz,1,0.000343,0.000133,
f000897.npz,1,0.000059,0.000010,
