file,ok,max_abs_error,mean_abs_error,note
f000208.npz,1,0.000013,0.000005,
f001580.npz,1,0.000648,0.000202,
f002952.npz,1,0.000916,0.000506,
f004324.npz,1,0.000164,0.000071,
f005696.npz,1,0.000117,0.000040,
f007068.npz,1,0.001150,0.000576,
f008440.npz,1,0.005919,0.002478,
f009812.npz,1,0.016192,0.009559,
f011184.npz,1,0.000284,0.000081,
f012556.npz,1,0.000182,0.000049,
f013928.npz,1,0.002447,0.000485,
f015300.npz,1,0.000929,0.000393,
f016672.npz,1,0.000014,0.000007,
f018044.npz,1,0.000219,0.000047,
f019416.npz,1,0.000056,0.000021,
f020788.npz,1,0.000074,0.000024,
f022160.npz,1,0.000020,0.000008,
f023532.npz,1,0.000002,0.000001,
f024904.npz,1,0.000086,0.000029,
f026276.npz,1,0.000031,0.000008,
f027648.npz,1,0.000053,0.000013,
f029020.npz,1,0.000054,0.000025,
f030392.npz,1,0.000154,0.000026,
f031764.npz,1,0.000069,0.000025,
f033136.npz,1,0.000027,0.000014,
f034520.npz,1,0.000051,0.000019,
