state_id,scenario_group,unique_instance_id,route_id,frame,scenario_progress,quartile,dominant_actor_id,dominant_token_idx,D1,D2,D1_D2_ratio,snapshot_path
S000000,A_HardBreak,route10|HardBreakRoute_1,route10|HardBreakRoute_1,2060,0.0669,Q1_early,4180,2,3.31211,0.18909,17.516,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f002060.npz
S000001,A_HardBreak,route10|HardBreakRoute_1,route10|HardBreakRoute_1,2540,0.4682,Q2_early-mid,4320,1,10.24609,3.00357,3.411,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f002540.npz
S000002,A_HardBreak,route10|HardBreakRoute_1,route10|HardBreakRoute_1,2580,0.5017,Q3_late-mid,4320,1,3.36322,1.05933,3.175,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f002580.npz
S000003,A_HardBreak,route10|HardBreakRoute_1,route10|HardBreakRoute_1,2928,0.7926,Q4_late,3928,8,3.43963,0.89978,3.823,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f002928.npz
S000004,A_HardBreak,route10|HardBreakRoute_2,route10|HardBreakRoute_2,1692,0.214,Q1_early,3724,7,7.68869,0.16612,46.283,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f001692.npz
S000005,A_HardBreak,route10|HardBreakRoute_2,route10|HardBreakRoute_2,1800,0.3043,Q2_early-mid,3699,12,6.22924,0.68221,9.131,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f001800.npz
S000006,A_HardBreak,route10|HardBreakRoute_2,route10|HardBreakRoute_2,2332,0.7492,Q3_late-mid,3726,9,7.49305,2.83002,2.648,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f002332.npz
S000007,A_HardBreak,route10|HardBreakRoute_2,route10|HardBreakRoute_2,2540,0.9231,Q4_late,4320,1,10.24609,3.00357,3.411,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f002540.npz
S000008,A_HardBreak,route10|HardBreakRoute_3,route10|HardBreakRoute_3,12892,0.1639,Q1_early,4441,14,3.1383,0.92252,3.402,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f012892.npz
S000009,A_HardBreak,route10|HardBreakRoute_3,route10|HardBreakRoute_3,13160,0.388,Q2_early-mid,4692,12,9.4591,1.16411,8.126,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f013160.npz
S000010,A_HardBreak,route10|HardBreakRoute_3,route10|HardBreakRoute_3,13440,0.6221,Q3_late-mid,4716,9,11.99701,0.94791,12.656,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f013440.npz
S000011,A_HardBreak,route10|HardBreakRoute_3,route10|HardBreakRoute_3,13644,0.7926,Q4_late,4734,6,3.90768,2.42245,1.613,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f013644.npz
S000012,A_HardBreak,route10|HardBreakRoute_4,route10|HardBreakRoute_4,344,0.1214,Q1_early,3720,4,6.77522,1.63133,4.153,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f000344.npz
S000013,A_HardBreak,route10|HardBreakRoute_4,route10|HardBreakRoute_4,708,0.4464,Q2_early-mid,3720,4,5.06631,0.59055,8.579,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f000708.npz
S000014,A_HardBreak,route10|HardBreakRoute_4,route10|HardBreakRoute_4,1036,0.7393,Q3_late-mid,3720,4,4.80652,0.56994,8.433,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f001036.npz
S000015,A_HardBreak,route10|HardBreakRoute_4,route10|HardBreakRoute_4,1268,0.9464,Q4_late,3720,4,4.82376,0.57651,8.367,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f001268.npz
S000016,A_HardBreak,route10|HardBreakRoute_5,route10|HardBreakRoute_5,344,0.125,Q1_early,3720,4,6.77522,1.63133,4.153,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f000344.npz
S000017,A_HardBreak,route10|HardBreakRoute_5,route10|HardBreakRoute_5,708,0.4596,Q2_early-mid,3720,4,5.06631,0.59055,8.579,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f000708.npz
S000018,A_HardBreak,route10|HardBreakRoute_5,route10|HardBreakRoute_5,820,0.5625,Q3_late-mid,3720,4,4.78938,0.60692,7.891,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f000820.npz
S000019,A_HardBreak,route10|HardBreakRoute_5,route10|HardBreakRoute_5,1268,0.9743,Q4_late,3720,4,4.82376,0.57651,8.367,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f001268.npz
S000020,B_ParkingCutIn,route10|ParkingCutIn_1,route10|ParkingCutIn_1,4764,0.0816,Q1_early,4529,12,2.64152,1.2653,2.088,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f004764.npz
S000021,B_ParkingCutIn,route10|ParkingCutIn_1,route10|ParkingCutIn_1,4924,0.4898,Q2_early-mid,4533,10,5.22577,1.84745,2.829,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f004924.npz
S000022,B_ParkingCutIn,route10|ParkingCutIn_1,route10|ParkingCutIn_1,5016,0.7245,Q3_late-mid,4276,1,11.7417,0.0505,232.494,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f005016.npz
S000023,B_ParkingCutIn,route10|ParkingCutIn_1,route10|ParkingCutIn_1,5028,0.7551,Q4_late,4276,1,10.72054,0.18681,57.387,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f005028.npz
S000024,B_ParkingCutIn,route10|ParkingCutIn_2,route10|ParkingCutIn_2,13776,0.2245,Q1_early,4737,8,0.45177,0.21221,2.129,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f013776.npz
S000025,B_ParkingCutIn,route10|ParkingCutIn_2,route10|ParkingCutIn_2,13876,0.4796,Q2_early-mid,4175,1,2.14674,1.42314,1.508,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f013876.npz
S000026,B_ParkingCutIn,route10|ParkingCutIn_2,route10|ParkingCutIn_2,13956,0.6837,Q3_late-mid,4175,1,9.67206,0.78431,12.332,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f013956.npz
S000027,B_ParkingCutIn,route10|ParkingCutIn_2,route10|ParkingCutIn_2,14000,0.7959,Q4_late,4175,1,5.61658,0.12649,44.404,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f014000.npz
S000028,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21372,0.0836,Q1_early,4017,1,8.79287,0.18101,48.576,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021372.npz
S000029,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,21672,0.3248,Q2_early-mid,3701,1,11.36656,0.32089,35.422,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021672.npz
S000030,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,22016,0.6013,Q3_late-mid,3701,1,3.94443,0.69053,5.712,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f022016.npz
S000031,B_ParkingCutIn,route10|ParkingCutIn_3,route10|ParkingCutIn_3,22492,0.9839,Q4_late,3701,1,5.06168,1.80302,2.807,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f022492.npz
S000032,B_ParkingCutIn,route10|ParkingCutIn_4,route10|ParkingCutIn_4,23216,0.0214,Q1_early,5015,11,4.57942,0.23002,19.909,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f023216.npz
S000033,B_ParkingCutIn,route10|ParkingCutIn_4,route10|ParkingCutIn_4,24280,0.7326,Q3_late-mid,5034,16,3.25849,0.13857,23.515,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f024280.npz
S000034,B_ParkingCutIn,route10|ParkingCutIn_4,route10|ParkingCutIn_4,24460,0.8529,Q4_late,3704,1,9.14147,0.59551,15.351,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f024460.npz
S000035,B_ParkingCutIn,route10|ParkingCutIn_5,route10|ParkingCutIn_5,33956,0.4364,Q2_early-mid,5613,8,5.57824,1.33467,4.179,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f033956.npz
S000036,B_ParkingCutIn,route10|ParkingCutIn_5,route10|ParkingCutIn_5,33976,0.5273,Q3_late-mid,3713,1,3.99717,0.441,9.064,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f033976.npz
S000037,B_ParkingCutIn,route10|ParkingCutIn_5,route10|ParkingCutIn_5,34060,0.9091,Q4_late,3713,1,4.00965,0.05595,71.663,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f034060.npz
S000038,D_PedestrianCrossing,route10|PedestrianCrossing_1,route10|PedestrianCrossing_1,2856,0.1628,Q1_early,4364,1,0.87138,0.21121,4.126,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f002856.npz
S000039,D_PedestrianCrossing,route10|PedestrianCrossing_1,route10|PedestrianCrossing_1,2912,0.4884,Q2_early-mid,3928,7,1.62215,0.30474,5.323,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f002912.npz
S000040,D_PedestrianCrossing,route10|PedestrianCrossing_1,route10|PedestrianCrossing_1,2928,0.5814,Q3_late-mid,3928,8,3.43963,0.89978,3.823,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f002928.npz
S000041,D_PedestrianCrossing,route10|PedestrianCrossing_1,route10|PedestrianCrossing_1,2976,0.8605,Q4_late,3928,7,0.79573,0.27683,2.874,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f002976.npz
S000042,D_PedestrianCrossing,route10|PedestrianCrossing_2,route10|PedestrianCrossing_2,12832,0.2381,Q1_early,4687,5,0.41502,0.2537,1.636,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f012832.npz
S000043,D_PedestrianCrossing,route10|PedestrianCrossing_2,route10|PedestrianCrossing_2,12876,0.5,Q2_early-mid,4441,13,1.69345,0.62357,2.716,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f012876.npz
S000044,D_PedestrianCrossing,route10|PedestrianCrossing_2,route10|PedestrianCrossing_2,12892,0.5952,Q3_late-mid,4441,14,3.1383,0.92252,3.402,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f012892.npz
S000045,D_PedestrianCrossing,route10|PedestrianCrossing_2,route10|PedestrianCrossing_2,12920,0.7619,Q4_late,4441,14,0.69502,0.40775,1.705,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f012920.npz
S000046,D_PedestrianCrossing,route10|PedestrianCrossing_3,route10|PedestrianCrossing_3,17612,0.1837,Q1_early,4877,2,1.23222,0.36383,3.387,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f017612.npz
S000047,D_PedestrianCrossing,route10|PedestrianCrossing_3,route10|PedestrianCrossing_3,17668,0.4694,Q2_early-mid,4655,8,4.09795,0.12932,31.688,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f017668.npz
S000048,D_PedestrianCrossing,route10|PedestrianCrossing_3,route10|PedestrianCrossing_3,17696,0.6122,Q3_late-mid,4882,2,2.1745,0.70787,3.072,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f017696.npz
S000049,D_PedestrianCrossing,route10|PedestrianCrossing_3,route10|PedestrianCrossing_3,17736,0.8163,Q4_late,4882,4,3.34348,1.37666,2.429,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f017736.npz
S000050,D_PedestrianCrossing,route10|PedestrianCrossing_4,route10|PedestrianCrossing_4,24948,0.1176,Q1_early,5087,4,1.30191,0.15663,8.312,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f024948.npz
S000051,D_PedestrianCrossing,route10|PedestrianCrossing_4,route10|PedestrianCrossing_4,25024,0.4902,Q2_early-mid,3708,13,2.71002,0.75894,3.571,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f025024.npz
S000052,D_PedestrianCrossing,route10|PedestrianCrossing_4,route10|PedestrianCrossing_4,25040,0.5686,Q3_late-mid,3708,12,4.97874,0.42748,11.647,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f025040.npz
S000053,D_PedestrianCrossing,route10|PedestrianCrossing_4,route10|PedestrianCrossing_4,25080,0.7647,Q4_late,3708,12,1.27729,0.15133,8.441,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f025080.npz
S000054,D_PedestrianCrossing,route10|PedestrianCrossing_5,route10|PedestrianCrossing_5,33728,0.1795,Q1_early,5611,5,1.39484,0.20682,6.744,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f033728.npz
S000055,D_PedestrianCrossing,route10|PedestrianCrossing_5,route10|PedestrianCrossing_5,33740,0.2564,Q2_early-mid,5611,5,0.80176,0.44243,1.812,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f033740.npz
S000056,D_PedestrianCrossing,route10|PedestrianCrossing_5,route10|PedestrianCrossing_5,33800,0.641,Q3_late-mid,3734,13,1.49636,0.28427,5.264,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f033800.npz
