state_id,scenario_group,unique_instance_id,route_id,frame,scenario_progress,dominant_actor_id,dominant_token_idx,dominant_actor_type,dominant_belongs_to_target_scenario,D1,D2,D1_D2_ratio,quartile
V000000,A_HardBreak,route10|HardBreakRoute_1,route10,2644,0.5552,3726,8,6,0,2.70748,0.46614,5.808,Q3_late-mid
V000001,A_HardBreak,route10|HardBreakRoute_1,route10,3108,0.9431,4369,1,1,0,0.76745,0.32921,2.331,Q4_late
V000002,A_HardBreak,route10|HardBreakRoute_2,route10,1692,0.214,3724,7,2,0,7.68869,0.16612,46.283,Q1_early
V000003,A_HardBreak,route10|HardBreakRoute_2,route10,1800,0.3043,3699,12,6,0,6.22924,0.68221,9.131,Q2_early-mid
V000004,A_HardBreak,route10|HardBreakRoute_3,route10,12756,0.0502,4664,7,1,0,0.8854,0.44964,1.969,Q1_early
V000005,A_HardBreak,route10|HardBreakRoute_3,route10,13160,0.388,4692,12,1,0,9.4591,1.16411,8.126,Q2_early-mid
V000006,A_HardBreak,route10|HardBreakRoute_3,route10,13440,0.6221,4716,9,1,0,11.99701,0.94791,12.656,Q3_late-mid
V000007,A_HardBreak,route10|HardBreakRoute_3,route10,13644,0.7926,4734,6,1,0,3.90768,2.42245,1.613,Q4_late
V000008,A_HardBreak,route10|HardBreakRoute_4,route10,1300,0.975,3720,5,1,0,4.15198,0.63135,6.576,Q4_late
V000009,B_ParkingCutIn,route10|ParkingCutIn_1,route10,4764,0.0816,4529,12,1,0,2.64152,1.2653,2.088,Q1_early
V000010,B_ParkingCutIn,route10|ParkingCutIn_1,route10,4924,0.4898,4533,10,1,0,5.22577,1.84745,2.829,Q2_early-mid
V000011,B_ParkingCutIn,route10|ParkingCutIn_1,route10,5016,0.7245,4276,1,1,1,11.7417,0.0505,232.494,Q3_late-mid
V000012,B_ParkingCutIn,route10|ParkingCutIn_1,route10,5028,0.7551,4276,1,1,1,10.72054,0.18681,57.387,Q4_late
V000013,B_ParkingCutIn,route10|ParkingCutIn_2,route10,13956,0.6837,4175,1,1,1,9.67206,0.78431,12.332,Q3_late-mid
V000014,B_ParkingCutIn,route10|ParkingCutIn_2,route10,14000,0.7959,4175,1,1,1,5.61658,0.12649,44.404,Q4_late
V000015,B_ParkingCutIn,route10|ParkingCutIn_3,route10,21372,0.0836,4017,1,6,0,8.79287,0.18101,48.576,Q1_early
V000016,B_ParkingCutIn,route10|ParkingCutIn_3,route10,21672,0.3248,3701,1,1,1,11.36656,0.32089,35.422,Q2_early-mid
V000017,B_ParkingCutIn,route10|ParkingCutIn_3,route10,22016,0.6013,3701,1,1,1,3.94443,0.69053,5.712,Q3_late-mid
V000018,B_ParkingCutIn,route10|ParkingCutIn_3,route10,22492,0.9839,3701,1,1,1,5.06168,1.80302,2.807,Q4_late
V000019,B_ParkingCutIn,route10|ParkingCutIn_4,route10,23216,0.0214,5015,11,1,0,4.57942,0.23002,19.909,Q1_early
V000020,B_ParkingCutIn,route10|ParkingCutIn_4,route10,24280,0.7326,5034,16,1,0,3.25849,0.13857,23.515,Q3_late-mid
V000021,B_ParkingCutIn,route10|ParkingCutIn_4,route10,24460,0.8529,3704,1,1,1,9.14147,0.59551,15.351,Q4_late
V000022,B_ParkingCutIn,route10|ParkingCutIn_5,route10,33956,0.4364,5613,8,1,0,5.57824,1.33467,4.179,Q2_early-mid
V000023,B_ParkingCutIn,route10|ParkingCutIn_5,route10,33976,0.5273,3713,1,1,1,3.99717,0.441,9.064,Q3_late-mid
V000024,B_ParkingCutIn,route10|ParkingCutIn_5,route10,34060,0.9091,3713,1,1,1,4.00965,0.05595,71.663,Q4_late
V000025,D_PedestrianCrossing,route10|PedestrianCrossing_3,route10,17612,0.1837,4877,2,1,0,1.23222,0.36383,3.387,Q1_early
V000026,D_PedestrianCrossing,route10|PedestrianCrossing_3,route10,17668,0.4694,4655,8,2,1,4.09795,0.12932,31.688,Q2_early-mid
V000027,D_PedestrianCrossing,route10|PedestrianCrossing_3,route10,17696,0.6122,4882,2,1,0,2.1745,0.70787,3.072,Q3_late-mid
V000028,D_PedestrianCrossing,route10|PedestrianCrossing_3,route10,17736,0.8163,4882,4,1,0,3.34348,1.37666,2.429,Q4_late
V000029,D_PedestrianCrossing,route10|PedestrianCrossing_4,route10,24948,0.1176,5087,4,1,0,1.30191,0.15663,8.312,Q1_early
V000030,D_PedestrianCrossing,route10|PedestrianCrossing_4,route10,25024,0.4902,3708,13,2,1,2.71002,0.75894,3.571,Q2_early-mid
V000031,D_PedestrianCrossing,route10|PedestrianCrossing_4,route10,25040,0.5686,3708,12,2,1,4.97874,0.42748,11.647,Q3_late-mid
V000032,D_PedestrianCrossing,route10|PedestrianCrossing_4,route10,25080,0.7647,3708,12,2,1,1.27729,0.15133,8.441,Q4_late
V000033,D_PedestrianCrossing,route10|PedestrianCrossing_5,route10,33728,0.1795,5611,5,1,0,1.39484,0.20682,6.744,Q1_early
V000034,D_PedestrianCrossing,route10|PedestrianCrossing_5,route10,33740,0.2564,5611,5,1,0,0.80176,0.44243,1.812,Q2_early-mid
V000035,D_PedestrianCrossing,route10|PedestrianCrossing_5,route10,33800,0.641,3734,13,2,1,1.49636,0.28427,5.264,Q3_late-mid
V000036,D_PedestrianCrossing,route10|PedestrianCrossing_5,route10,33820,0.7692,5622,3,1,0,1.75459,0.36883,4.757,Q4_late
V000037,C_VehicleTurning,route10|VehicleTurningRoute_1,route10,14240,0.2042,4762,3,1,0,0.56151,0.1594,3.523,Q1_early
V000038,C_VehicleTurning,route10|VehicleTurningRoute_1,route10,14408,0.5,4087,1,1,1,10.48386,0.19543,53.646,Q3_late-mid
