state_id,scenario_group,unique_instance_id,norm_I1,norm_I2,norm_I3,norm_I4,norm_I5,signature_norm,max_block,max_block_fraction
V000000,A_HardBreak,route10|HardBreakRoute_1,1.1733,1.9259,0.0,0.0,7.6579,7.9831,I5,0.9202
V000001,A_HardBreak,route10|HardBreakRoute_1,0.1119,0.0555,0.2375,0.261,2.1707,2.2027,I5,0.9711
V000002,A_HardBreak,route10|HardBreakRoute_2,8.08,2.6747,1.1616,0.7351,21.7469,23.3935,I5,0.8642
V000003,A_HardBreak,route10|HardBreakRoute_2,0.4619,0.4661,0.0,0.0,17.619,17.6312,I5,0.9986
V000004,A_HardBreak,route10|HardBreakRoute_3,0.5641,0.4868,0.2527,0.383,2.5043,2.6528,I5,0.8912
V000005,A_HardBreak,route10|HardBreakRoute_3,2.1784,1.9644,0.0,0.0,26.7544,26.9147,I5,0.9881
V000006,A_HardBreak,route10|HardBreakRoute_3,0.9019,27.6291,0.314,8.0308,33.9327,44.4994,I5,0.5815
V000007,A_HardBreak,route10|HardBreakRoute_3,4.3509,1.5781,1.8658,1.0374,11.0526,12.1712,I5,0.8246
V000008,A_HardBreak,route10|HardBreakRoute_4,3.4073,0.3436,0.0,0.0,11.7436,12.2327,I5,0.9216
V000009,B_ParkingCutIn,route10|ParkingCutIn_1,0.0312,0.0314,0.1263,2.297,7.4713,7.8176,I5,0.9134
V000010,B_ParkingCutIn,route10|ParkingCutIn_1,0.1654,0.28,0.2624,0.3535,14.7807,14.7908,I5,0.9986
V000011,B_ParkingCutIn,route10|ParkingCutIn_1,0.2637,2.7669,0.0979,0.0345,33.2105,33.3268,I5,0.993
V000012,B_ParkingCutIn,route10|ParkingCutIn_1,2.4495,0.988,0.927,0.7,30.3223,30.4592,I5,0.991
V000013,B_ParkingCutIn,route10|ParkingCutIn_2,1.0861,0.3815,0.0453,0.2053,27.3567,27.3817,I5,0.9982
V000014,B_ParkingCutIn,route10|ParkingCutIn_2,3.2106,7.193,0.5007,0.8549,15.8861,17.7594,I5,0.8002
V000015,B_ParkingCutIn,route10|ParkingCutIn_3,0.6611,1.5342,0.5938,1.7534,24.87,24.9947,I5,0.99
