state_id,scenario_group,unique_instance_id,dominant_actor_type,dominant_belongs_to_target_scenario,signature_path,signature_norm,W0_max
V000000,A_HardBreak,route10|HardBreakRoute_1,6,0,gate6/signatures/V000000.npz,7.9831,16.3655
V000001,A_HardBreak,route10|HardBreakRoute_1,1,0,gate6/signatures/V000001.npz,2.2027,17.9505
V000002,A_HardBreak,route10|HardBreakRoute_2,2,0,gate6/signatures/V000002.npz,23.3935,7.5715
V000003,A_HardBreak,route10|HardBreakRoute_2,6,0,gate6/signatures/V000003.npz,17.6312,7.9623
V000004,A_HardBreak,route10|HardBreakRoute_3,1,0,gate6/signatures/V000004.npz,2.6528,17.6877
V000005,A_HardBreak,route10|HardBreakRoute_3,1,0,gate6/signatures/V000005.npz,26.9147,4.7446
V000006,A_HardBreak,route10|HardBreakRoute_3,1,0,gate6/signatures/V000006.npz,44.4994,0.4204
V000007,A_HardBreak,route10|HardBreakRoute_3,1,0,gate6/signatures/V000007.npz,12.1712,12.2622
V000008,A_HardBreak,route10|HardBreakRoute_4,1,0,gate6/signatures/V000008.npz,12.2327,0.1328
V000009,B_ParkingCutIn,route10|ParkingCutIn_1,1,0,gate6/signatures/V000009.npz,7.8176,19.5968
V000010,B_ParkingCutIn,route10|ParkingCutIn_1,1,0,gate6/signatures/V000010.npz,14.7908,9.2565
V000011,B_ParkingCutIn,route10|ParkingCutIn_1,1,1,gate6/signatures/V000011.npz,33.3268,0.2616
V000012,B_ParkingCutIn,route10|ParkingCutIn_1,1,1,gate6/signatures/V000012.npz,30.4592,1.6531
V000013,B_ParkingCutIn,route10|ParkingCutIn_2,1,1,gate6/signatures/V000013.npz,27.3817,0.7066
V000014,B_ParkingCutIn,route10|ParkingCutIn_2,1,1,gate6/signatures/V000014.npz,17.7594,10.6096
V000015,B_ParkingCutIn,route10|ParkingCutIn_3,6,0,gate6/signatures/V000015.npz,24.9947,5.8457
V000016,B_ParkingCutIn,route10|ParkingCutIn_3,1,1,gate6/signatures/V000016.npz,36.305,1.5912
V000017,B_ParkingCutIn,route10|ParkingCutIn_3,1,1,gate6/signatures/V000017.npz,11.939,1.0894
V000018,B_ParkingCutIn,route10|ParkingCutIn_3,1,1,gate6/signatures/V000018.npz,15.7874,4.3843
V000019,B_ParkingCutIn,route10|ParkingCutIn_4,1,0,gate6/signatures/V000019.npz,13.9815,12.1507
V000020,B_ParkingCutIn,route10|ParkingCutIn_4,1,0,gate6/signatures/V000020.npz,11.5967,14.02
