route_id,source_file,route_length,scenario_type,scenario_group,unique_instance_id,scenario_xml_name,trigger_progress
0,routes_training.xml,7084,HardBreakRoute,A_HardBreak,Town12|0|HardBreakRoute|225.5|6100.9|180.0,HardBreakRoute_1,0.177
0,routes_training.xml,7084,HardBreakRoute,A_HardBreak,Town12|0|HardBreakRoute|97.4|6100.9|180.0,HardBreakRoute_2,0.195
0,routes_training.xml,7084,VehicleTurningRoute,C_VehicleTurning,Town12|0|VehicleTurningRoute|-711.8|6163.6|113.0,VehicleTurningRoute_1,0.399
0,routes_training.xml,7084,HardBreakRoute,A_HardBreak,Town12|0|HardBreakRoute|-817.5|5860.5|269.9,HardBreakRoute_3,0.454
0,routes_training.xml,7084,HardBreakRoute,A_HardBreak,Town12|0|HardBreakRoute|-819.0|5027.2|269.9,HardBreakRoute_4,0.572
0,routes_training.xml,7084,VehicleTurningRoute,C_VehicleTurning,Town12|0|VehicleTurningRoute|-495.9|5033.4|89.7,VehicleTurningRoute_2,0.685
0,routes_training.xml,7084,HardBreakRoute,A_HardBreak,Town12|0|HardBreakRoute|-535.4|5234.1|0.9,HardBreakRoute_5,0.88
0,routes_training.xml,7084,HardBreakRoute,A_HardBreak,Town12|0|HardBreakRoute|-374.1|5188.6|-47.7,HardBreakRoute_6,0.904
0,routes_training.xml,7084,HardBreakRoute,A_HardBreak,Town12|0|HardBreakRoute|-168.0|5395.3|66.3,HardBreakRoute_7,0.956
1,routes_training.xml,5891,ParkingCutIn,B_ParkingCutIn,Town12|1|ParkingCutIn|-710.9|3587.4|-90.0,ParkingCutIn_1,0.008
1,routes_training.xml,5891,HardBreakRoute,A_HardBreak,Town12|1|HardBreakRoute|-764.2|3490.1|179.9,HardBreakRoute_1,0.026
1,routes_training.xml,5891,VehicleTurningRoute,C_VehicleTurning,Town12|1|VehicleTurningRoute|-1158.2|3796.6|180.3,VehicleTurningRoute_1,0.125
1,routes_training.xml,5891,HardBreakRoute,A_HardBreak,Town12|1|HardBreakRoute|-1215.9|3591.3|91.5,HardBreakRoute_2,0.277
1,routes_training.xml,5891,VehicleTurningRoute,C_VehicleTurning,Town12|1|VehicleTurningRoute|-1156.6|3673.1|16.6,VehicleTurningRoute_2,0.294
1,routes_training.xml,5891,HardBreakRoute,A_HardBreak,Town12|1|HardBreakRoute|-1527.0|3567.2|277.0,HardBreakRoute_3,0.49
1,routes_training.xml,5891,PedestrianCrossing,D_PedestrianCrossing,Town12|1|PedestrianCrossing|-1553.4|3309.4|270.1,PedestrianCrossing_1,0.532
1,routes_training.xml,5891,PedestrianCrossing,D_PedestrianCrossing,Town12|1|PedestrianCrossing|-1320.1|3691.8|-12.7,PedestrianCrossing_2,0.628
1,routes_training.xml,5891,HardBreakRoute,A_HardBreak,Town12|1|HardBreakRoute|-1671.8|4950.6|89.8,HardBreakRoute_4,0.92
1,routes_training.xml,5891,HardBreakRoute,A_HardBreak,Town12|1|HardBreakRoute|-1667.7|5154.7|89.8,HardBreakRoute_5,0.955
1,routes_training.xml,5891,VehicleTurningRoute,C_VehicleTurning,Town12|1|VehicleTurningRoute|-1667.1|5294.5|89.8,VehicleTurningRoute_3,0.972
2,routes_training.xml,5121,ParkingCutIn,B_ParkingCutIn,Town12|2|ParkingCutIn|-174.5|4391.1|269.9,ParkingCutIn_1,0.015
2,routes_training.xml,5121,ParkingCutIn,B_ParkingCutIn,Town12|2|ParkingCutIn|-284.4|4056.2|-90.3,ParkingCutIn_2,0.091
2,routes_training.xml,5121,ParkingCutIn,B_ParkingCutIn,Town12|2|ParkingCutIn|-177.4|3996.6|89.7,ParkingCutIn_3,0.119
2,routes_training.xml,5121,PedestrianCrossing,D_PedestrianCrossing,Town12|2|PedestrianCrossing|-177.2|4041.6|89.7,PedestrianCrossing_1,0.125
2,routes_training.xml,5121,PedestrianCrossing,D_PedestrianCrossing,Town12|2|PedestrianCrossing|-390.3|4151.4|90.0,PedestrianCrossing_2,0.174
2,routes_training.xml,5121,HardBreakRoute,A_HardBreak,Town12|2|HardBreakRoute|-412.8|4192.2|179.9,HardBreakRoute_1,0.184
2,routes_training.xml,5121,ParkingCutIn,B_ParkingCutIn,Town12|2|ParkingCutIn|-390.3|4017.5|90.0,ParkingCutIn_4,0.249
