unique_instance_id,scenario_group,scenario_type,town,route_id,scenario_xml_name,trigger_x,trigger_y,trigger_yaw,source_file,notes
Town13|0|VehicleTurningRoute|6623.2|4008.6|270.5,C_VehicleTurning,VehicleTurningRoute,Town13,0,VehicleTurningRoute_2,6623.2,4008.6,270.5,routes_validation_00.xml,
Town13|0|VehicleTurningRoute|3622.9|628.7|271.0,C_VehicleTurning,VehicleTurningRoute,Town13,0,VehicleTurningRoute_5,3622.9,628.7,271.0,routes_validation_00.xml,
Town13|0|PedestrianCrossing|2968.9|637.1|93.6,D_PedestrianCrossing,PedestrianCrossing,Town13,0,PedestrianCrossing_9,2968.90,637.11,93.64,routes_validation_00.xml,
Town13|0|ParkingCutIn|6090.7|4289.8|270.6,B_ParkingCutIn,ParkingCutIn,Town13,0,ParkingCutIn_1,6090.7,4289.8,270.6,routes_validation_00.xml,
Town13|0|PedestrianCrossing|7042.3|4421.6|270.9,D_PedestrianCrossing,PedestrianCrossing,Town13,0,PedestrianCrossing_1,7042.30,4421.61,270.94,routes_validation_00.xml,
Town13|0|VehicleTurningRoute|7044.3|4299.9|270.9,C_VehicleTurning,VehicleTurningRoute,Town13,0,VehicleTurningRoute_1,7044.3,4299.9,270.9,routes_validation_00.xml,
Town13|0|ParkingCutIn|6753.2|3976.9|-0.3,B_ParkingCutIn,ParkingCutIn,Town13,0,ParkingCutIn_3,6753.2,3976.9,-0.3,routes_validation_00.xml,
Town13|0|PedestrianCrossing|6904.9|3851.2|270.4,D_PedestrianCrossing,PedestrianCrossing,Town13,0,PedestrianCrossing_2,6904.92,3851.22,270.45,routes_validation_00.xml,
Town13|0|ParkingCutIn|6928.8|3543.0|-0.6,B_ParkingCutIn,ParkingCutIn,Town13,0,ParkingCutIn_4,6928.8,3543.0,-0.6,routes_validation_00.xml,
Town13|0|PedestrianCrossing|6989.0|3542.4|-0.6,D_PedestrianCrossing,PedestrianCrossing,Town13,0,PedestrianCrossing_3,6989.0,3542.4,-0.6,routes_validation_00.xml,
Town13|0|PedestrianCrossing|7060.4|3398.1|-89.2,D_PedestrianCrossing,PedestrianCrossing,Town13,0,PedestrianCrossing_4,7060.45,3398.09,-89.25,routes_validation_00.xml,
Town13|0|PedestrianCrossing|6324.7|2371.5|-151.3,D_PedestrianCrossing,PedestrianCrossing,Town13,0,PedestrianCrossing_6,6324.7,2371.5,-151.3,routes_validation_00.xml,
Town13|0|ParkingCutIn|3616.0|1012.9|271.0,B_ParkingCutIn,ParkingCutIn,Town13,0,ParkingCutIn_5,3616.0,1012.9,271.0,routes_validation_00.xml,
Town13|0|ParkingCutIn|3345.8|856.4|270.1,B_ParkingCutIn,ParkingCutIn,Town13,0,ParkingCutIn_6,3345.8,856.4,270.1,routes_validation_00.xml,
Town13|0|PedestrianCrossing|3407.9|602.2|180.7,D_PedestrianCrossing,PedestrianCrossing,Town13,0,PedestrianCrossing_8,3407.9,602.2,180.7,routes_validation_00.xml,
Town13|0|ParkingCutIn|3148.7|472.5|270.9,B_ParkingCutIn,ParkingCutIn,Town13,0,ParkingCutIn_8,3148.7,472.5,270.9,routes_validation_00.xml,
Town13|0|PedestrianCrossing|7056.8|3155.5|-90.2,D_PedestrianCrossing,PedestrianCrossing,Town13,0,PedestrianCrossing_5,7056.75,3155.51,-90.19,routes_validation_00.xml,
Town13|0|PedestrianCrossing|4266.9|1010.6|178.0,D_PedestrianCrossing,PedestrianCrossing,Town13,0,PedestrianCrossing_7,4266.89,1010.63,177.99,routes_validation_00.xml,
Town13|0|HardBreakRoute|5920.7|1819.3|213.4,A_HardBreak,HardBreakRoute,Town13,0,HardBreakRoute_4,5920.7,1819.3,213.4,routes_validation_00.xml,
Town13|0|HardBreakRoute|5162.0|1268.0|219.7,A_HardBreak,HardBreakRoute,Town13,0,HardBreakRoute_6,5162.0,1268.0,219.7,routes_validation_00.xml,
