confirm_id,cell_id,fine_mechanism,coarse_mechanism,mech,ego_v0,kind,d_conflict,s0,v0,v_lead,tc,decel_value,L,occ_s,t_leave,away_v,left_lane_actor_params,spec_json
c1_cross_clear_01,cross_clear,cross_clear,cross,cross,6,ped,48,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_clear"", ""d_conflict"": 48, ""ego_v"": 6, ""kind"": ""ped""}"
c1_cross_clear_02,cross_clear,cross_clear,cross,cross,6,veh,50,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_clear"", ""d_conflict"": 50, ""ego_v"": 6, ""kind"": ""veh""}"
c1_cross_clear_03,cross_clear,cross_clear,cross,cross,6,ped,54,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_clear"", ""d_conflict"": 54, ""ego_v"": 6, ""kind"": ""ped""}"
c1_cross_clear_04,cross_clear,cross_clear,cross,cross,6,veh,56,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_clear"", ""d_conflict"": 56, ""ego_v"": 6, ""kind"": ""veh""}"
c1_cross_clear_05,cross_clear,cross_clear,cross,cross,7,ped,60,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_clear"", ""d_conflict"": 60, ""ego_v"": 7, ""kind"": ""ped""}"
c1_cross_clear_06,cross_clear,cross_clear,cross,cross,7,veh,62,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_clear"", ""d_conflict"": 62, ""ego_v"": 7, ""kind"": ""veh""}"
c1_cross_clear_07,cross_clear,cross_clear,cross,cross,8,ped,48,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_clear"", ""d_conflict"": 48, ""ego_v"": 8, ""kind"": ""ped""}"
c1_cross_clear_08,cross_clear,cross_clear,cross,cross,8,veh,54,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_clear"", ""d_conflict"": 54, ""ego_v"": 8, ""kind"": ""veh""}"
c1_cross_stall_01,cross_stall,cross_stall,cross,cross,6,ped,48,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall"", ""d_conflict"": 48, ""ego_v"": 6, ""kind"": ""ped""}"
c1_cross_stall_02,cross_stall,cross_stall,cross,cross,6,ped,52,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall"", ""d_conflict"": 52, ""ego_v"": 6, ""kind"": ""ped""}"
c1_cross_stall_03,cross_stall,cross_stall,cross,cross,6,veh,56,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall"", ""d_conflict"": 56, ""ego_v"": 6, ""kind"": ""veh""}"
c1_cross_stall_04,cross_stall,cross_stall,cross,cross,7,ped,60,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall"", ""d_conflict"": 60, ""ego_v"": 7, ""kind"": ""ped""}"
c1_cross_stall_05,cross_stall,cross_stall,cross,cross,7,veh,62,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall"", ""d_conflict"": 62, ""ego_v"": 7, ""kind"": ""veh""}"
c1_cross_stall_06,cross_stall,cross_stall,cross,cross,7,ped,52,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall"", ""d_conflict"": 52, ""ego_v"": 7, ""kind"": ""ped""}"
c1_cross_stall_07,cross_stall,cross_stall,cross,cross,8,veh,56,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall"", ""d_conflict"": 56, ""ego_v"": 8, ""kind"": ""veh""}"
c1_cross_stall_08,cross_stall,cross_stall,cross,cross,8,ped,60,,,,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall"", ""d_conflict"": 60, ""ego_v"": 8, ""kind"": ""ped""}"
