state_id,mean_pairwise_dist,min_pairwise_dist,max_pairwise_dist
c1_block_cont_01,0.0974,0.0,0.16794
c1_block_cont_02,0.10918,0.0,0.18772
c1_block_cont_03,0.12106,0.0,0.2119
c1_block_cont_04,0.11101,0.0,0.20701
c1_block_cont_05,0.08105,0.0,0.14868
c1_block_cont_06,0.09167,0.0,0.16528
c1_block_cont_07,0.09053,0.0,0.17926
c1_block_cont_08,0.04092,0.0,0.11195
c1_block_nec_01,0.19263,0.0,0.35544
c1_block_nec_02,0.2005,0.0,0.37367
c1_block_nec_03,0.18646,0.0,0.34838
c1_block_nec_04,0.19197,0.0,0.36414
c1_block_nec_05,0.19181,0.0,0.33449
c1_block_nec_06,0.1798,0.0,0.35278
c1_block_nec_07,0.19232,0.0,0.35537
c1_block_nec_08,0.17413,0.0,0.37462
c1_cross_clear_01,0.24789,0.0,0.45776
c1_cross_clear_02,0.24098,0.00702,0.47453
c1_cross_clear_03,0.24911,0.0,0.45655
c1_cross_clear_04,0.24201,0.00217,0.4587
c1_cross_clear_05,0.26292,0.0,0.45734
c1_cross_clear_06,0.24065,0.00973,0.46363
c1_cross_clear_07,0.3064,0.0,0.58556
c1_cross_clear_08,0.20437,0.04936,0.43486
c1_cross_stall_01,0.20735,0.0,0.38145
c1_cross_stall_02,0.2144,0.0,0.39183
c1_cross_stall_03,0.21804,0.0,0.39752
c1_cross_stall_04,0.21222,0.0,0.38794
c1_cross_stall_05,0.21292,0.0,0.38893
c1_cross_stall_06,0.19651,0.0,0.36573
c1_cross_stall_07,0.18735,0.0,0.34066
c1_cross_stall_08,0.2,0.0,0.36136
c1_cross_stall_occ_01,0.12368,0.0,0.2133
c1_cross_stall_occ_02,0.12434,0.0,0.21456
c1_cross_stall_occ_03,0.1205,0.0,0.22613
c1_cross_stall_occ_04,0.1213,0.0,0.22736
c1_cross_stall_occ_05,0.10316,0.0,0.18434
c1_cross_stall_occ_06,0.09783,0.0,0.17512
c1_cross_stall_occ_07,0.15224,0.0,0.24953
c1_cross_stall_occ_08,0.15047,0.0,0.25368
c1_lead_cont_01,0.13058,0.0,0.22594
c1_lead_cont_02,0.14716,0.0,0.25364
c1_lead_cont_03,0.15055,0.0,0.25673
c1_lead_cont_04,0.14546,0.0,0.26341
c1_lead_cont_05,0.13157,0.0,0.23611
c1_lead_cont_06,0.13332,0.0,0.23935
c1_lead_cont_07,0.13044,0.0,0.22058
c1_lead_cont_08,0.1262,0.0,0.22853
c1_lead_nec_01,0.22428,0.0,0.40676
c1_lead_nec_02,0.23964,0.0,0.42823
c1_lead_nec_03,0.21564,0.0,0.39325
c1_lead_nec_04,0.23404,0.0,0.42048
c1_lead_nec_05,0.23022,0.0,0.41461
c1_lead_nec_06,0.23196,0.0,0.4172
c1_lead_nec_07,0.2025,0.0,0.37263
c1_lead_nec_08,0.22694,0.0,0.40857
c1_lead_opt_01,0.23708,0.0,0.42686
c1_lead_opt_02,0.24135,0.0,0.43185
c1_lead_opt_03,0.23862,0.0,0.42857
c1_lead_opt_04,0.22891,0.0,0.41504
c1_lead_opt_05,0.22814,0.0,0.41515
c1_lead_opt_06,0.22113,0.0,0.4046
c1_lead_opt_07,0.20276,0.0,0.39005
c1_lead_opt_08,0.22469,0.0,0.41184
c1_temp_opt_01,0.248,0.0,0.4375
c1_temp_opt_02,0.24655,0.0,0.43745
c1_temp_opt_03,0.25,0.0,0.4375
c1_temp_opt_04,0.23431,0.0,0.42909
c1_temp_opt_05,0.24803,0.0,0.4375
c1_temp_opt_06,0.18996,0.0,0.36775
c1_temp_opt_07,0.24795,0.0,0.43747
c1_temp_opt_08,0.21546,0.0,0.47537
