pair_id,pair_type,state_i,state_j,probe_action,d0_mean,d1_action,feasibility_agree,both_valid,both_infeasible,one_valid
c1_block_cont_01__c1_cross_clear_01,cross,c1_block_cont_01,c1_cross_clear_01,U0,0.336959,0.417481,1,1,0,0
c1_block_cont_01__c1_cross_clear_01,cross,c1_block_cont_01,c1_cross_clear_01,U1,0.336959,0.392172,1,1,0,0
c1_block_cont_01__c1_cross_clear_01,cross,c1_block_cont_01,c1_cross_clear_01,U2,0.336959,0.346228,1,1,0,0
c1_block_cont_01__c1_cross_clear_01,cross,c1_block_cont_01,c1_cross_clear_01,U3,0.336959,0.366264,1,1,0,0
c1_block_cont_01__c1_cross_clear_01,cross,c1_block_cont_01,c1_cross_clear_01,U4,0.336959,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_clear_01,cross,c1_block_cont_01,c1_cross_clear_01,U5,0.336959,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_clear_01,cross,c1_block_cont_01,c1_cross_clear_01,U6,0.336959,0.197917,1,1,0,0
c1_block_cont_01__c1_cross_clear_01,cross,c1_block_cont_01,c1_cross_clear_01,U7,0.336959,0.17621,1,1,0,0
c1_block_cont_01__c1_cross_clear_02,cross,c1_block_cont_01,c1_cross_clear_02,U0,0.271827,0.410862,1,1,0,0
c1_block_cont_01__c1_cross_clear_02,cross,c1_block_cont_01,c1_cross_clear_02,U1,0.271827,0.35176,1,1,0,0
c1_block_cont_01__c1_cross_clear_02,cross,c1_block_cont_01,c1_cross_clear_02,U2,0.271827,0.296705,1,1,0,0
c1_block_cont_01__c1_cross_clear_02,cross,c1_block_cont_01,c1_cross_clear_02,U3,0.271827,0.273595,1,1,0,0
c1_block_cont_01__c1_cross_clear_02,cross,c1_block_cont_01,c1_cross_clear_02,U4,0.271827,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_clear_02,cross,c1_block_cont_01,c1_cross_clear_02,U5,0.271827,0.205483,1,1,0,0
c1_block_cont_01__c1_cross_clear_02,cross,c1_block_cont_01,c1_cross_clear_02,U6,0.271827,0.181272,1,1,0,0
