pair_id,pair_type,state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,same_param_group,ego_speed_diff,d0_mean,d1_mean,d1_validonly,feasibility_agree,n_valid_actions
c1_block_cont_01__c1_cross_clear_01,cross,c1_block_cont_01,c1_cross_clear_01,block_or_occupancy,cross,block_cont,cross_clear,0,0.0,0.336959,0.290159,0.290159,1.0,8
c1_block_cont_01__c1_cross_clear_02,cross,c1_block_cont_01,c1_cross_clear_02,block_or_occupancy,cross,block_cont,cross_clear,0,0.0,0.271827,0.260664,0.260664,1.0,8
c1_block_cont_01__c1_cross_clear_03,cross,c1_block_cont_01,c1_cross_clear_03,block_or_occupancy,cross,block_cont,cross_clear,0,0.0,0.355724,0.300536,0.300536,1.0,8
c1_block_cont_01__c1_cross_clear_04,cross,c1_block_cont_01,c1_cross_clear_04,block_or_occupancy,cross,block_cont,cross_clear,0,0.0,0.317564,0.279395,0.279395,1.0,8
c1_block_cont_01__c1_cross_clear_05,cross,c1_block_cont_01,c1_cross_clear_05,block_or_occupancy,cross,block_cont,cross_clear,0,1.0,0.372242,0.300886,0.300886,1.0,8
c1_block_cont_01__c1_cross_clear_06,cross,c1_block_cont_01,c1_cross_clear_06,block_or_occupancy,cross,block_cont,cross_clear,0,1.0,0.294681,0.267007,0.267007,1.0,8
c1_block_cont_01__c1_cross_clear_07,cross,c1_block_cont_01,c1_cross_clear_07,block_or_occupancy,cross,block_cont,cross_clear,0,2.0,0.263197,0.181415,0.181415,1.0,8
c1_block_cont_01__c1_cross_clear_08,cross,c1_block_cont_01,c1_cross_clear_08,block_or_occupancy,cross,block_cont,cross_clear,0,2.0,0.127834,0.116207,0.116207,1.0,8
c1_block_cont_01__c1_cross_stall_01,cross,c1_block_cont_01,c1_cross_stall_01,block_or_occupancy,cross,block_cont,cross_stall,0,0.0,0.352311,0.288732,0.288732,1.0,8
c1_block_cont_01__c1_cross_stall_02,cross,c1_block_cont_01,c1_cross_stall_02,block_or_occupancy,cross,block_cont,cross_stall,0,0.0,0.363225,0.296258,0.296258,1.0,8
c1_block_cont_01__c1_cross_stall_03,cross,c1_block_cont_01,c1_cross_stall_03,block_or_occupancy,cross,block_cont,cross_stall,0,0.0,0.369343,0.299667,0.299667,1.0,8
c1_block_cont_01__c1_cross_stall_04,cross,c1_block_cont_01,c1_cross_stall_04,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.362314,0.294578,0.294578,1.0,8
c1_block_cont_01__c1_cross_stall_05,cross,c1_block_cont_01,c1_cross_stall_05,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.363642,0.295294,0.295294,1.0,8
c1_block_cont_01__c1_cross_stall_06,cross,c1_block_cont_01,c1_cross_stall_06,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.340422,0.275928,0.275928,1.0,8
c1_block_cont_01__c1_cross_stall_07,cross,c1_block_cont_01,c1_cross_stall_07,block_or_occupancy,cross,block_cont,cross_stall,0,2.0,0.328268,0.237828,0.237828,1.0,8
c1_block_cont_01__c1_cross_stall_08,cross,c1_block_cont_01,c1_cross_stall_08,block_or_occupancy,cross,block_cont,cross_stall,0,2.0,0.334253,0.256518,0.256518,1.0,8
c1_block_cont_01__c1_cross_stall_occ_01,cross,c1_block_cont_01,c1_cross_stall_occ_01,block_or_occupancy,cross,block_cont,cross_stall_occ,0,0.0,0.050927,0.024861,0.024861,1.0,8
c1_block_cont_01__c1_cross_stall_occ_02,cross,c1_block_cont_01,c1_cross_stall_occ_02,block_or_occupancy,cross,block_cont,cross_stall_occ,0,0.0,0.052159,0.025492,0.025492,1.0,8
c1_block_cont_01__c1_cross_stall_occ_03,cross,c1_block_cont_01,c1_cross_stall_occ_03,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.086735,0.036384,0.036384,1.0,8
c1_block_cont_01__c1_cross_stall_occ_04,cross,c1_block_cont_01,c1_cross_stall_occ_04,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.088373,0.037136,0.037136,1.0,8
c1_block_cont_01__c1_cross_stall_occ_05,cross,c1_block_cont_01,c1_cross_stall_occ_05,block_or_occupancy,cross,block_cont,cross_stall_occ,0,2.0,0.060216,0.024955,0.024955,1.0,8
c1_block_cont_01__c1_cross_stall_occ_06,cross,c1_block_cont_01,c1_cross_stall_occ_06,block_or_occupancy,cross,block_cont,cross_stall_occ,0,2.0,0.036136,0.012581,0.012581,1.0,8
c1_block_cont_01__c1_cross_stall_occ_07,cross,c1_block_cont_01,c1_cross_stall_occ_07,block_or_occupancy,cross,block_cont,cross_stall_occ,0,0.0,0.088584,0.046126,0.046126,1.0,8
c1_block_cont_01__c1_cross_stall_occ_08,cross,c1_block_cont_01,c1_cross_stall_occ_08,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.112514,0.05807,0.05807,1.0,8
c1_block_cont_01__c1_lead_cont_01,cross,c1_block_cont_01,c1_lead_cont_01,block_or_occupancy,lead,block_cont,lead_cont,0,0.0,0.062867,0.031457,0.031457,1.0,8
c1_block_cont_01__c1_lead_cont_02,cross,c1_block_cont_01,c1_lead_cont_02,block_or_occupancy,lead,block_cont,lead_cont,0,0.0,0.091372,0.047257,0.047257,1.0,8
c1_block_cont_01__c1_lead_cont_03,cross,c1_block_cont_01,c1_lead_cont_03,block_or_occupancy,lead,block_cont,lead_cont,0,1.0,0.112584,0.057394,0.057394,1.0,8
c1_block_cont_01__c1_lead_cont_04,cross,c1_block_cont_01,c1_lead_cont_04,block_or_occupancy,lead,block_cont,lead_cont,0,1.0,0.129177,0.060152,0.060152,1.0,8
c1_block_cont_01__c1_lead_cont_05,cross,c1_block_cont_01,c1_lead_cont_05,block_or_occupancy,lead,block_cont,lead_cont,0,2.0,0.089821,0.043883,0.043883,1.0,8
c1_block_cont_01__c1_lead_cont_06,cross,c1_block_cont_01,c1_lead_cont_06,block_or_occupancy,lead,block_cont,lead_cont,0,2.0,0.093296,0.045557,0.045557,1.0,8
c1_block_cont_01__c1_lead_cont_07,cross,c1_block_cont_01,c1_lead_cont_07,block_or_occupancy,lead,block_cont,lead_cont,0,3.0,0.084424,0.041369,0.041369,1.0,8
c1_block_cont_01__c1_lead_cont_08,cross,c1_block_cont_01,c1_lead_cont_08,block_or_occupancy,lead,block_cont,lead_cont,0,3.0,0.097812,0.043784,0.043784,1.0,8
