pair_id,pair_type,state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,same_param_group,ego_speed_diff,d0_mean,d1_mean,d1_validonly,feasibility_agree,n_valid_actions
c1_block_cont_04__c1_block_nec_03,same_matched,c1_block_cont_04,c1_block_nec_03,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0,0.0,0.33698,0.245253,0.245253,1.0,8
c1_cross_clear_06__c1_cross_stall_occ_02,same_matched,c1_cross_clear_06,c1_cross_stall_occ_02,cross,cross,cross_clear,cross_stall_occ,0,1.0,0.271865,0.246297,0.246297,1.0,8
c1_lead_cont_01__c1_lead_nec_06,same_matched,c1_lead_cont_01,c1_lead_nec_06,lead,lead,lead_cont,lead_nec,0,2.0,0.355483,0.282271,0.282271,1.0,8
c1_lead_cont_03__c1_lead_nec_04,same_matched,c1_lead_cont_03,c1_lead_nec_04,lead,lead,lead_cont,lead_nec,0,0.0,0.317229,0.272245,0.272245,1.0,8
c1_cross_stall_02__c1_cross_stall_occ_06,same_matched,c1_cross_stall_02,c1_cross_stall_occ_06,cross,cross,cross_stall,cross_stall_occ,0,2.0,0.372379,0.292919,0.292919,1.0,8
c1_block_cont_03__c1_block_nec_06,same_matched,c1_block_cont_03,c1_block_nec_06,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0,1.0,0.295853,0.239599,0.239599,1.0,8
c1_cross_clear_08__c1_cross_stall_04,same_matched,c1_cross_clear_08,c1_cross_stall_04,cross,cross,cross_clear,cross_stall,0,1.0,0.265932,0.204986,0.204986,1.0,8
c1_cross_clear_01__c1_cross_stall_07,same_matched,c1_cross_clear_01,c1_cross_stall_07,cross,cross,cross_clear,cross_stall,0,2.0,0.127893,0.08304,0.08304,1.0,8
c1_cross_clear_04__c1_cross_stall_occ_05,same_matched,c1_cross_clear_04,c1_cross_stall_occ_05,cross,cross,cross_clear,cross_stall_occ,0,2.0,0.352177,0.290147,0.290147,1.0,8
c1_block_cont_05__c1_block_nec_06,same_matched,c1_block_cont_05,c1_block_nec_06,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0,0.0,0.363272,0.266513,0.266513,1.0,8
