state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,group_i,group_j,same_coarse,same_fine,same_param_group,ego_speed_diff,d0_mean,d0_max
block_cont_r1,block_cont_r10,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v7|L6,1,1,0,1.0,0.395737,1.0
block_cont_r1,block_cont_r11,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v8|L6,1,1,0,2.0,0.129637,1.0
block_cont_r1,block_cont_r12,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v6|L6,1,1,0,0.0,0.04215,0.1015
block_cont_r1,block_cont_r2,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v6|L5,1,1,1,0.0,0.021275,0.0504
block_cont_r1,block_cont_r3,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v7|L5,1,1,0,1.0,0.251525,1.0
block_cont_r1,block_cont_r4,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v7|L6,1,1,0,1.0,0.27825,1.0
block_cont_r1,block_cont_r5,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v8|L6,1,1,0,2.0,0.12955,1.0
block_cont_r1,block_cont_r6,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v8|L7,1,1,0,2.0,0.013925,0.0324
block_cont_r1,block_cont_r7,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v8|L7,1,1,0,2.0,0.032775,0.0669
block_cont_r1,block_cont_r8,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v9|L7,1,1,0,3.0,0.253575,1.0
block_cont_r1,block_cont_r9,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v9|L8,1,1,0,3.0,0.148475,1.0
block_cont_r1,block_nec_r1,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v6|L5,1,0,0,0.0,0.891238,1.0
block_cont_r1,block_nec_r10,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v7|L6,1,0,0,1.0,0.9131,1.0
block_cont_r1,block_nec_r11,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v8|L6,1,0,0,2.0,0.870912,1.0
