pair_id,state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,d0_mean,d0_max,probe_action,successor_valid_i,successor_valid_j,d1_action_mean,d1_action_max
block_cont_r1__block_cont_r10,block_cont_r1,block_cont_r10,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.395737,1.0,U0,1,1,0.525035,0.525035
block_cont_r1__block_cont_r10,block_cont_r1,block_cont_r10,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.395737,1.0,U1,1,1,0.401645,0.401645
block_cont_r1__block_cont_r10,block_cont_r1,block_cont_r10,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.395737,1.0,U2,1,1,0.269325,0.269325
block_cont_r1__block_cont_r10,block_cont_r1,block_cont_r10,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.395737,1.0,U3,1,1,0.256463,0.256463
block_cont_r1__block_cont_r10,block_cont_r1,block_cont_r10,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.395737,1.0,U4,1,1,0.375,0.375
block_cont_r1__block_cont_r10,block_cont_r1,block_cont_r10,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.395737,1.0,U5,1,1,0.125,0.125
block_cont_r1__block_cont_r10,block_cont_r1,block_cont_r10,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.395737,1.0,U6,1,1,0.0,0.0
block_cont_r1__block_cont_r10,block_cont_r1,block_cont_r10,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.395737,1.0,U7,1,1,0.0,0.0
block_cont_r1__block_cont_r11,block_cont_r1,block_cont_r11,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.129637,1.0,U0,1,1,0.022563,0.022563
block_cont_r1__block_cont_r11,block_cont_r1,block_cont_r11,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.129637,1.0,U1,1,1,0.511377,0.511377
block_cont_r1__block_cont_r11,block_cont_r1,block_cont_r11,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.129637,1.0,U2,1,1,0.500928,0.500928
