pair_id,state_i,state_j,coarse_i,coarse_j,same_coarse,d0_mean,d0_max,d1_mean,d1_max,closure_drift,n_common_actions,pair_type
block_cont_r1__block_cont_r10,block_cont_r1,block_cont_r10,block_or_occupancy,block_or_occupancy,1,0.395737,1.0,0.244059,0.525035,-0.151678,8,same
block_cont_r1__block_cont_r11,block_cont_r1,block_cont_r11,block_or_occupancy,block_or_occupancy,1,0.129637,1.0,0.160609,0.511377,0.030972,8,same
block_cont_r1__block_cont_r12,block_cont_r1,block_cont_r12,block_or_occupancy,block_or_occupancy,1,0.04215,0.1015,0.064544,0.261034,0.022394,8,same
block_cont_r1__block_cont_r2,block_cont_r1,block_cont_r2,block_or_occupancy,block_or_occupancy,1,0.021275,0.0504,0.040711,0.141563,0.019436,8,same
block_cont_r1__block_cont_r3,block_cont_r1,block_cont_r3,block_or_occupancy,block_or_occupancy,1,0.251525,1.0,0.236805,0.507252,-0.01472,8,same
block_cont_r1__block_cont_r4,block_cont_r1,block_cont_r4,block_or_occupancy,block_or_occupancy,1,0.27825,1.0,0.242518,0.516473,-0.035732,8,same
block_cont_r1__block_cont_r5,block_cont_r1,block_cont_r5,block_or_occupancy,block_or_occupancy,1,0.12955,1.0,0.129722,0.389367,0.000172,8,same
block_cont_r1__block_cont_r6,block_cont_r1,block_cont_r6,block_or_occupancy,block_or_occupancy,1,0.013925,0.0324,0.080571,0.25561,0.066646,8,same
block_cont_r1__block_cont_r7,block_cont_r1,block_cont_r7,block_or_occupancy,block_or_occupancy,1,0.032775,0.0669,0.088672,0.276054,0.055897,8,same
block_cont_r1__block_cont_r8,block_cont_r1,block_cont_r8,block_or_occupancy,block_or_occupancy,1,0.253575,1.0,0.190337,0.507622,-0.063238,8,same
block_cont_r1__block_cont_r9,block_cont_r1,block_cont_r9,block_or_occupancy,block_or_occupancy,1,0.148475,1.0,0.158965,0.502621,0.01049,8,same
block_cont_r1__block_nec_r1,block_cont_r1,block_nec_r1,block_or_occupancy,block_or_occupancy,1,0.891238,1.0,0.60304,0.910391,-0.288198,8,same
block_cont_r1__block_nec_r10,block_cont_r1,block_nec_r10,block_or_occupancy,block_or_occupancy,1,0.9131,1.0,0.680905,0.910391,-0.232195,8,same
block_cont_r1__block_nec_r11,block_cont_r1,block_nec_r11,block_or_occupancy,block_or_occupancy,1,0.870912,1.0,0.570687,0.885021,-0.300225,8,same
block_cont_r1__block_nec_r12,block_cont_r1,block_nec_r12,block_or_occupancy,block_or_occupancy,1,0.9131,1.0,0.699457,0.931232,-0.213643,8,same
block_cont_r1__block_nec_r2,block_cont_r1,block_nec_r2,block_or_occupancy,block_or_occupancy,1,0.9131,1.0,0.681999,0.916566,-0.231101,8,same
block_cont_r1__block_nec_r3,block_cont_r1,block_nec_r3,block_or_occupancy,block_or_occupancy,1,0.8777,1.0,0.570881,0.910391,-0.306819,8,same
block_cont_r1__block_nec_r4,block_cont_r1,block_nec_r4,block_or_occupancy,block_or_occupancy,1,0.910975,1.0,0.645481,0.910391,-0.265494,8,same
block_cont_r1__block_nec_r5,block_cont_r1,block_nec_r5,block_or_occupancy,block_or_occupancy,1,0.903188,1.0,0.560491,0.877934,-0.342697,8,same
block_cont_r1__block_nec_r6,block_cont_r1,block_nec_r6,block_or_occupancy,block_or_occupancy,1,0.901925,1.0,0.609404,0.910391,-0.292521,8,same
block_cont_r1__block_nec_r7,block_cont_r1,block_nec_r7,block_or_occupancy,block_or_occupancy,1,0.9131,1.0,0.662993,0.910391,-0.250107,8,same
block_cont_r1__block_nec_r8,block_cont_r1,block_nec_r8,block_or_occupancy,block_or_occupancy,1,0.920825,1.0,0.574083,0.909922,-0.346742,8,same
block_cont_r1__block_nec_r9,block_cont_r1,block_nec_r9,block_or_occupancy,block_or_occupancy,1,0.896863,1.0,0.589152,0.899962,-0.307711,8,same
block_cont_r1__cross_clear_r1,block_cont_r1,cross_clear_r1,block_or_occupancy,cross,0,0.88565,1.0,0.712826,0.975603,-0.172824,8,cross
block_cont_r1__cross_clear_r10,block_cont_r1,cross_clear_r10,block_or_occupancy,cross,0,0.625875,1.0,0.414677,0.828159,-0.211198,8,cross
block_cont_r1__cross_clear_r11,block_cont_r1,cross_clear_r11,block_or_occupancy,cross,0,0.9131,1.0,0.604176,0.910391,-0.308924,8,cross
block_cont_r1__cross_clear_r12,block_cont_r1,cross_clear_r12,block_or_occupancy,cross,0,0.68335,1.0,0.59039,0.859254,-0.09296,8,cross
block_cont_r1__cross_clear_r2,block_cont_r1,cross_clear_r2,block_or_occupancy,cross,0,0.819425,1.0,0.712243,0.975603,-0.107182,8,cross
block_cont_r1__cross_clear_r3,block_cont_r1,cross_clear_r3,block_or_occupancy,cross,0,0.911975,1.0,0.715082,0.975603,-0.196893,8,cross
block_cont_r1__cross_clear_r4,block_cont_r1,cross_clear_r4,block_or_occupancy,cross,0,0.825163,1.0,0.714076,0.975603,-0.111087,8,cross
block_cont_r1__cross_clear_r5,block_cont_r1,cross_clear_r5,block_or_occupancy,cross,0,0.8691,1.0,0.520495,0.893856,-0.348605,8,cross
block_cont_r1__cross_clear_r6,block_cont_r1,cross_clear_r6,block_or_occupancy,cross,0,0.703937,1.0,0.506126,0.854835,-0.197811,8,cross
block_cont_r1__cross_clear_r7,block_cont_r1,cross_clear_r7,block_or_occupancy,cross,0,0.905937,1.0,0.708591,0.975603,-0.197346,8,cross
block_cont_r1__cross_clear_r8,block_cont_r1,cross_clear_r8,block_or_occupancy,cross,0,0.794062,1.0,0.681659,0.910391,-0.112403,8,cross
block_cont_r1__cross_clear_r9,block_cont_r1,cross_clear_r9,block_or_occupancy,cross,0,0.6631,1.0,0.480928,0.986379,-0.182172,8,cross
block_cont_r1__cross_stall_occ_r1,block_cont_r1,cross_stall_occ_r1,block_or_occupancy,cross,0,0.071275,0.1714,0.092131,0.393534,0.020856,8,cross
block_cont_r1__cross_stall_occ_r10,block_cont_r1,cross_stall_occ_r10,block_or_occupancy,cross,0,0.3277,1.0,0.29342,0.519236,-0.03428,8,cross
block_cont_r1__cross_stall_occ_r11,block_cont_r1,cross_stall_occ_r11,block_or_occupancy,cross,0,0.032775,0.0669,0.088672,0.276054,0.055897,8,cross
block_cont_r1__cross_stall_occ_r12,block_cont_r1,cross_stall_occ_r12,block_or_occupancy,cross,0,0.060712,0.1269,0.130509,0.388955,0.069797,8,cross
block_cont_r1__cross_stall_occ_r2,block_cont_r1,cross_stall_occ_r2,block_or_occupancy,cross,0,0.102788,0.2461,0.099051,0.40181,-0.003737,8,cross
block_cont_r1__cross_stall_occ_r3,block_cont_r1,cross_stall_occ_r3,block_or_occupancy,cross,0,0.305375,1.0,0.271925,0.442915,-0.03345,8,cross
block_cont_r1__cross_stall_occ_r4,block_cont_r1,cross_stall_occ_r4,block_or_occupancy,cross,0,0.3477,1.0,0.298538,0.524458,-0.049162,8,cross
block_cont_r1__cross_stall_occ_r5,block_cont_r1,cross_stall_occ_r5,block_or_occupancy,cross,0,0.060862,0.1276,0.098809,0.307651,0.037947,8,cross
