state_id,run_id,case_id,fine_mechanism,coarse_mechanism,param_group_id,ego_speed,ego_s,ego_lane_id,target_actor_ids,decision_frame,n_rows,sim_t_max,ok
block_cont_r1,block/block_cont/row1,block_cont_r1,block_cont,block_or_occupancy,block_cont|v6|L5,6.0,18.15,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,573,239,11.95,True
block_cont_r10,block/block_cont/row10,block_cont_r10,block_cont,block_or_occupancy,block_cont|v7|L6,7.0,23.391,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,596,239,11.95,True
block_cont_r11,block/block_cont/row11,block_cont_r11,block_cont,block_or_occupancy,block_cont|v8|L6,8.0,29.266,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,605,239,11.95,True
block_cont_r12,block/block_cont/row12,block_cont_r12,block_cont,block_or_occupancy,block_cont|v6|L6,6.0,18.15,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,581,239,11.95,True
block_cont_r2,block/block_cont/row2,block_cont_r2,block_cont,block_or_occupancy,block_cont|v6|L5,6.0,18.15,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,576,239,11.95,True
block_cont_r3,block/block_cont/row3,block_cont_r3,block_cont,block_or_occupancy,block_cont|v7|L5,7.0,23.391,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,600,239,11.95,True
block_cont_r4,block/block_cont/row4,block_cont_r4,block_cont,block_or_occupancy,block_cont|v7|L6,7.0,23.391,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,586,239,11.95,True
block_cont_r5,block/block_cont/row5,block_cont_r5,block_cont,block_or_occupancy,block_cont|v8|L6,8.0,29.266,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,617,239,11.95,True
block_cont_r6,block/block_cont/row6,block_cont_r6,block_cont,block_or_occupancy,block_cont|v8|L7,8.0,29.266,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,602,239,11.95,True
block_cont_r7,block/block_cont/row7,block_cont_r7,block_cont,block_or_occupancy,block_cont|v8|L7,8.0,29.266,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,614,239,11.95,True
block_cont_r8,block/block_cont/row8,block_cont_r8,block_cont,block_or_occupancy,block_cont|v9|L7,9.0,36.225,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,607,239,11.95,True
block_cont_r9,block/block_cont/row9,block_cont_r9,block_cont,block_or_occupancy,block_cont|v9|L8,9.0,36.225,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,636,239,11.95,True
block_nec_r1,block/block_nec/row1,block_nec_r1,block_nec,block_or_occupancy,block_nec|v6|L5,6.0,18.15,-2,3696,237,239,11.95,True
block_nec_r10,block/block_nec/row10,block_nec_r10,block_nec,block_or_occupancy,block_nec|v7|L6,7.0,23.391,-2,3696,255,239,11.95,True
block_nec_r11,block/block_nec/row11,block_nec_r11,block_nec,block_or_occupancy,block_nec|v8|L6,8.0,29.266,-2,3696,276,239,11.95,True
block_nec_r12,block/block_nec/row12,block_nec_r12,block_nec,block_or_occupancy,block_nec|v6|L6,6.0,18.15,-2,3696,247,239,11.95,True
block_nec_r2,block/block_nec/row2,block_nec_r2,block_nec,block_or_occupancy,block_nec|v6|L5,6.0,18.15,-2,3696,240,239,11.95,True
block_nec_r3,block/block_nec/row3,block_nec_r3,block_nec,block_or_occupancy,block_nec|v7|L5,7.0,23.391,-2,3696,249,239,11.95,True
block_nec_r4,block/block_nec/row4,block_nec_r4,block_nec,block_or_occupancy,block_nec|v7|L6,7.0,23.391,-2,3696,250,239,11.95,True
block_nec_r5,block/block_nec/row5,block_nec_r5,block_nec,block_or_occupancy,block_nec|v8|L6,8.0,29.266,-2,3696,256,239,11.95,True
block_nec_r6,block/block_nec/row6,block_nec_r6,block_nec,block_or_occupancy,block_nec|v8|L7,8.0,29.266,-2,3696,283,239,11.95,True
block_nec_r7,block/block_nec/row7,block_nec_r7,block_nec,block_or_occupancy,block_nec|v8|L7,8.0,29.266,-2,3696,252,239,11.95,True
block_nec_r8,block/block_nec/row8,block_nec_r8,block_nec,block_or_occupancy,block_nec|v9|L7,9.0,36.225,-2,3696,275,239,11.95,True
block_nec_r9,block/block_nec/row9,block_nec_r9,block_nec,block_or_occupancy,block_nec|v9|L8,9.0,36.225,-2,3696,290,239,11.95,True
cross_clear_r1,cross/cross_clear/row1,cross_clear_r1,cross_clear,cross,cross_clear|v6|d5,6.0,18.15,-2,3696,297,239,11.95,True
cross_clear_r10,cross/cross_clear/row10,cross_clear_r10,cross_clear,cross,cross_clear|v8|d6,8.0,29.266,-2,3696,265,239,11.95,True
cross_clear_r11,cross/cross_clear/row11,cross_clear_r11,cross_clear,cross,cross_clear|v8|d7,8.0,29.266,-2,3696,316,239,11.95,True
cross_clear_r12,cross/cross_clear/row12,cross_clear_r12,cross_clear,cross,cross_clear|v8|d8,8.0,29.266,-2,3696,280,239,11.95,True
cross_clear_r2,cross/cross_clear/row2,cross_clear_r2,cross_clear,cross,cross_clear|v6|d6,6.0,18.15,-2,3696,243,239,11.95,True
cross_clear_r3,cross/cross_clear/row3,cross_clear_r3,cross_clear,cross,cross_clear|v6|d7,6.0,18.15,-2,3696,279,239,11.95,True
cross_clear_r4,cross/cross_clear/row4,cross_clear_r4,cross_clear,cross,cross_clear|v6|d8,6.0,18.15,-2,3696,243,239,11.95,True
cross_clear_r5,cross/cross_clear/row5,cross_clear_r5,cross_clear,cross,cross_clear|v7|d5,7.0,23.391,-2,3696,303,239,11.95,True
cross_clear_r6,cross/cross_clear/row6,cross_clear_r6,cross_clear,cross,cross_clear|v7|d6,7.0,23.391,-2,3696,244,239,11.95,True
cross_clear_r7,cross/cross_clear/row7,cross_clear_r7,cross_clear,cross,cross_clear|v7|d7,7.0,23.391,-2,3696,294,239,11.95,True
cross_clear_r8,cross/cross_clear/row8,cross_clear_r8,cross_clear,cross,cross_clear|v7|d8,7.0,23.391,-2,3696,260,239,11.95,True
cross_clear_r9,cross/cross_clear/row9,cross_clear_r9,cross_clear,cross,cross_clear|v8|d5,8.0,29.266,-2,3696,317,239,11.95,True
cross_stall_r1,cross/cross_stall/row1,cross_stall_r1,cross_stall,cross,cross_stall|v6|d6,6.0,18.15,-2,3696,286,239,11.95,True
cross_stall_r10,cross/cross_stall/row10,cross_stall_r10,cross_stall,cross,cross_stall|v7|d7,7.0,23.391,-2,3696,271,239,11.95,True
cross_stall_r11,cross/cross_stall/row11,cross_stall_r11,cross_stall,cross,cross_stall|v8|d7,8.0,29.266,-2,3696,263,239,11.95,True
cross_stall_r12,cross/cross_stall/row12,cross_stall_r12,cross_stall,cross,cross_stall|v8|d8,8.0,29.266,-2,3696,273,239,11.95,True
cross_stall_r2,cross/cross_stall/row2,cross_stall_r2,cross_stall,cross,cross_stall|v6|d6,6.0,18.15,-2,3696,286,239,11.95,True
cross_stall_r3,cross/cross_stall/row3,cross_stall_r3,cross_stall,cross,cross_stall|v7|d6,7.0,23.391,-2,3696,299,239,11.95,True
cross_stall_r4,cross/cross_stall/row4,cross_stall_r4,cross_stall,cross,cross_stall|v7|d7,7.0,23.391,-2,3696,294,239,11.95,True
cross_stall_r5,cross/cross_stall/row5,cross_stall_r5,cross_stall,cross,cross_stall|v8|d7,8.0,29.266,-2,3696,315,239,11.95,True
cross_stall_r6,cross/cross_stall/row6,cross_stall_r6,cross_stall,cross,cross_stall|v8|d8,8.0,29.266,-2,3696,301,239,11.95,True
cross_stall_r7,cross/cross_stall/row7,cross_stall_r7,cross_stall,cross,cross_stall|v6|d6,6.0,18.15,-2,3696,244,239,11.95,True
cross_stall_r8,cross/cross_stall/row8,cross_stall_r8,cross_stall,cross,cross_stall|v6|d6,6.0,18.15,-2,3696,233,239,11.95,True
cross_stall_r9,cross/cross_stall/row9,cross_stall_r9,cross_stall,cross,cross_stall|v7|d6,7.0,23.391,-2,3696,244,239,11.95,True
cross_stall_occ_r1,cross/cross_stall_occ/row1,cross_stall_occ_r1,cross_stall_occ,cross,cross_stall_occ|v6|d6,6.0,18.15,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,593,239,11.95,True
cross_stall_occ_r10,cross/cross_stall_occ/row10,cross_stall_occ_r10,cross_stall_occ,cross,cross_stall_occ|v7|d7,7.0,23.391,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,593,239,11.95,True
cross_stall_occ_r11,cross/cross_stall_occ/row11,cross_stall_occ_r11,cross_stall_occ,cross,cross_stall_occ|v8|d7,8.0,29.266,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,627,239,11.95,True
cross_stall_occ_r12,cross/cross_stall_occ/row12,cross_stall_occ_r12,cross_stall_occ,cross,cross_stall_occ|v8|d8,8.0,29.266,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,655,239,11.95,True
cross_stall_occ_r2,cross/cross_stall_occ/row2,cross_stall_occ_r2,cross_stall_occ,cross,cross_stall_occ|v6|d7,6.0,18.15,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,632,239,11.95,True
cross_stall_occ_r3,cross/cross_stall_occ/row3,cross_stall_occ_r3,cross_stall_occ,cross,cross_stall_occ|v7|d7,7.0,23.391,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,646,239,11.95,True
cross_stall_occ_r4,cross/cross_stall_occ/row4,cross_stall_occ_r4,cross_stall_occ,cross,cross_stall_occ|v7|d7,7.0,23.391,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,639,239,11.95,True
cross_stall_occ_r5,cross/cross_stall_occ/row5,cross_stall_occ_r5,cross_stall_occ,cross,cross_stall_occ|v8|d7,8.0,29.266,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,644,239,11.95,True
cross_stall_occ_r6,cross/cross_stall_occ/row6,cross_stall_occ_r6,cross_stall_occ,cross,cross_stall_occ|v8|d8,8.0,29.266,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,652,239,11.95,True
cross_stall_occ_r7,cross/cross_stall_occ/row7,cross_stall_occ_r7,cross_stall_occ,cross,cross_stall_occ|v6|d6,6.0,18.15,-2,3696;3697;3698;3699;3700;3701;3702;3703;3704;3705,655,239,11.95,True
