state_id,coarse_mechanism,fine_mechanism,param_group_id,M_U0,V_U0,M_U1,V_U1,M_U2,V_U2,M_U3,V_U3,M_U4,V_U4,M_U5,V_U5,M_U6,V_U6,M_U7,V_U7,datarow_valid,health_reason
block_cont_r1,block_or_occupancy,block_cont,block_cont|v6|L5,1,0.2075,1,0.1781,1,0.1588,1,0.1508,0,0.0,0,0.0,0,0.0,0,0.0,1,
block_cont_r10,block_or_occupancy,block_cont,block_cont|v7|L6,0,0.0,1,0.2355,1,0.2138,1,0.2043,1,0.1076,1,0.0945,0,0.0,0,0.0,1,
block_cont_r11,block_or_occupancy,block_cont,block_cont|v8|L6,1,0.1855,1,0.1669,1,0.1549,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,
block_cont_r12,block_or_occupancy,block_cont,block_cont|v6|L6,1,0.309,1,0.2641,1,0.2359,1,0.2234,0,0.0,0,0.0,0,0.0,0,0.0,1,
block_cont_r2,block_or_occupancy,block_cont,block_cont|v6|L5,1,0.2579,1,0.2218,1,0.1986,1,0.1871,0,0.0,0,0.0,0,0.0,0,0.0,1,
block_cont_r3,block_or_occupancy,block_cont,block_cont|v7|L5,1,0.1994,1,0.1751,1,0.1586,1,0.1517,1,0.1076,1,0.0945,0,0.0,0,0.0,1,
block_cont_r4,block_or_occupancy,block_cont,block_cont|v7|L6,1,0.2683,1,0.2343,1,0.2138,1,0.2048,1,0.1076,1,0.0945,0,0.0,0,0.0,1,
block_cont_r5,block_or_occupancy,block_cont,block_cont|v8|L6,1,0.1862,1,0.1669,1,0.1549,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,
block_cont_r6,block_or_occupancy,block_cont,block_cont|v8|L7,1,0.2281,1,0.205,1,0.1903,1,0.1832,0,0.0,0,0.0,0,0.0,0,0.0,1,
block_cont_r7,block_or_occupancy,block_cont,block_cont|v8|L7,1,0.2713,1,0.2431,1,0.2257,1,0.2173,0,0.0,0,0.0,0,0.0,0,0.0,1,
block_cont_r8,block_or_occupancy,block_cont,block_cont|v9|L7,1,0.2051,1,0.1868,1,0.1763,0,0.0,1,0.1054,0,0.0,0,0.0,0,0.0,1,
block_cont_r9,block_or_occupancy,block_cont,block_cont|v9|L8,1,0.2444,1,0.2238,1,0.2101,1,0.2047,1,0.1054,0,0.0,0,0.0,0,0.0,1,
block_nec_r1,block_or_occupancy,block_nec,block_nec|v6|L5,1,1.0,1,1.0,1,0.9765,1,0.8486,1,1.0,1,1.0,1,1.0,1,1.0,1,
block_nec_r10,block_or_occupancy,block_nec,block_nec|v7|L6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
block_nec_r11,block_or_occupancy,block_nec,block_nec|v8|L6,1,1.0,1,0.8707,1,0.641,0,0.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
block_nec_r12,block_or_occupancy,block_nec,block_nec|v6|L6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
block_nec_r2,block_or_occupancy,block_nec,block_nec|v6|L5,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
block_nec_r3,block_or_occupancy,block_nec,block_nec|v7|L5,1,1.0,1,1.0,1,0.9052,1,0.8116,1,1.0,1,1.0,1,1.0,1,1.0,1,
block_nec_r4,block_or_occupancy,block_nec,block_nec|v7|L6,1,1.0,1,1.0,1,1.0,1,0.983,1,1.0,1,1.0,1,1.0,1,1.0,1,
block_nec_r5,block_or_occupancy,block_nec,block_nec|v8|L6,1,1.0,1,0.9768,1,0.7931,0,0.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
block_nec_r6,block_or_occupancy,block_nec,block_nec|v8|L7,1,1.0,1,1.0,1,0.9873,1,0.9233,1,1.0,1,1.0,1,1.0,1,1.0,1,
block_nec_r7,block_or_occupancy,block_nec,block_nec|v8|L7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
block_nec_r8,block_or_occupancy,block_nec,block_nec|v9|L7,1,1.0,1,1.0,1,0.911,0,0.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
block_nec_r9,block_or_occupancy,block_nec,block_nec|v9|L8,1,1.0,1,1.0,1,0.9566,1,0.9135,1,1.0,1,1.0,1,1.0,1,1.0,1,
cross_clear_r1,cross,cross_clear,cross_clear|v6|d5,1,1.0,1,1.0,1,0.7804,1,1.0,1,1.0,1,1.0,1,0.9296,1,0.7772,1,
