state_id,action_id,ax,lateral_mode,first_1s_feasible,successor_s,successor_v,successor_mode,lane_change_elapsed,Q,Q_free,V_raw,V_clipped
block_nec_r1,U0,,keep,True,4.0,2.0,KEEP,0.0,79.5,79.5,1.0,1.0
block_nec_r1,U1,,keep,True,5.0,4.0,KEEP,0.0,93.0,93.0,1.0,1.0
block_nec_r1,U2,,keep,True,6.0,6.0,KEEP,0.0,101.4375,103.875,0.9765,0.9765
block_nec_r1,U3,,keep,True,6.75,7.5,KEEP,0.0,93.5625,110.25,0.8486,0.8486
block_nec_r1,U4,,left,True,4.0,2.0,CHANGING_LEFT,1.0,79.5,79.5,1.0,1.0
block_nec_r1,U5,,left,True,5.0,4.0,CHANGING_LEFT,1.0,93.0,93.0,1.0,1.0
block_nec_r1,U6,,left,True,6.0,6.0,CHANGING_LEFT,1.0,103.875,103.875,1.0,1.0
block_nec_r1,U7,,left,True,6.75,7.5,CHANGING_LEFT,1.0,110.25,110.25,1.0,1.0
lead_nec_r1,U0,,keep,True,4.0,2.0,KEEP,0.0,79.5,79.5,1.0,1.0
lead_nec_r1,U1,,keep,True,5.0,4.0,KEEP,0.0,93.0,93.0,1.0,1.0
lead_nec_r1,U2,,keep,True,6.0,6.0,KEEP,0.0,103.875,103.875,1.0,1.0
lead_nec_r1,U3,,keep,True,6.75,7.5,KEEP,0.0,110.25,110.25,1.0,1.0
lead_nec_r1,U4,,left,True,4.0,2.0,CHANGING_LEFT,1.0,79.5,79.5,1.0,1.0
lead_nec_r1,U5,,left,True,5.0,4.0,CHANGING_LEFT,1.0,93.0,93.0,1.0,1.0
lead_nec_r1,U6,,left,True,6.0,6.0,CHANGING_LEFT,1.0,103.875,103.875,1.0,1.0
lead_nec_r1,U7,,left,True,6.75,7.5,CHANGING_LEFT,1.0,110.25,110.25,1.0,1.0
cross_stall_r1,U0,,keep,True,4.0,2.0,KEEP,0.0,79.5,79.5,1.0,1.0
cross_stall_r1,U1,,keep,True,5.0,4.0,KEEP,0.0,93.0,93.0,1.0,1.0
cross_stall_r1,U2,,keep,True,6.0,6.0,KEEP,0.0,103.875,103.875,1.0,1.0
cross_stall_r1,U3,,keep,True,6.75,7.5,KEEP,0.0,110.25,110.25,1.0,1.0
cross_stall_r1,U4,,left,True,4.0,2.0,CHANGING_LEFT,1.0,79.5,79.5,1.0,1.0
cross_stall_r1,U5,,left,True,5.0,4.0,CHANGING_LEFT,1.0,93.0,93.0,1.0,1.0
cross_stall_r1,U6,,left,True,6.0,6.0,CHANGING_LEFT,1.0,103.875,103.875,1.0,1.0
cross_stall_r1,U7,,left,True,6.75,7.5,CHANGING_LEFT,1.0,110.25,110.25,1.0,1.0
lead_opt_r1,U0,,keep,True,4.0,2.0,KEEP,0.0,79.5,79.5,1.0,1.0
lead_opt_r1,U1,,keep,True,5.0,4.0,KEEP,0.0,93.0,93.0,1.0,1.0
lead_opt_r1,U2,,keep,True,6.0,6.0,KEEP,0.0,103.875,103.875,1.0,1.0
lead_opt_r1,U3,,keep,True,6.75,7.5,KEEP,0.0,110.25,110.25,1.0,1.0
lead_opt_r1,U4,,left,True,4.0,2.0,CHANGING_LEFT,1.0,79.5,79.5,1.0,1.0
lead_opt_r1,U5,,left,True,5.0,4.0,CHANGING_LEFT,1.0,93.0,93.0,1.0,1.0
lead_opt_r1,U6,,left,True,6.0,6.0,CHANGING_LEFT,1.0,103.875,103.875,1.0,1.0
lead_opt_r1,U7,,left,True,6.75,7.5,CHANGING_LEFT,1.0,110.25,110.25,1.0,1.0
