state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,group_i,group_j,same_coarse,same_fine,same_param_group,ego_speed_diff,d0_mean
block_cont_r1,block_cont_r10,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v7|L6,1,1,0,1.0,0.070637
block_cont_r1,block_cont_r11,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v8|L6,1,1,0,2.0,0.036692
block_cont_r1,block_cont_r12,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v6|L6,1,1,0,0.0,0.038678
block_cont_r1,block_cont_r2,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v6|L5,1,1,1,0.0,0.025542
block_cont_r1,block_cont_r3,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v7|L5,1,1,0,1.0,0.050969
block_cont_r1,block_cont_r4,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v7|L6,1,1,0,1.0,0.073744
block_cont_r1,block_cont_r5,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v8|L6,1,1,0,2.0,0.040308
block_cont_r1,block_cont_r6,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v8|L7,1,1,0,2.0,0.028153
block_cont_r1,block_cont_r7,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v8|L7,1,1,0,2.0,0.038336
block_cont_r1,block_cont_r8,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v9|L7,1,1,0,3.0,0.042981
block_cont_r1,block_cont_r9,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v6|L5,block_cont|v9|L8,1,1,0,3.0,0.057642
block_cont_r1,block_nec_r1,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v6|L5,1,0,0,0.0,0.316792
block_cont_r1,block_nec_r10,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v7|L6,1,0,0,1.0,0.343732
block_cont_r1,block_nec_r11,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v8|L6,1,0,0,2.0,0.28343
block_cont_r1,block_nec_r12,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v6|L6,1,0,0,0.0,0.355833
block_cont_r1,block_nec_r2,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v6|L5,1,0,0,0.0,0.342725
block_cont_r1,block_nec_r3,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v7|L5,1,0,0,1.0,0.315958
block_cont_r1,block_nec_r4,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v7|L6,1,0,0,1.0,0.335701
block_cont_r1,block_nec_r5,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v8|L6,1,0,0,2.0,0.285781
block_cont_r1,block_nec_r6,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v8|L7,1,0,0,2.0,0.327082
block_cont_r1,block_nec_r7,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v8|L7,1,0,0,2.0,0.34301
block_cont_r1,block_nec_r8,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v9|L7,1,0,0,3.0,0.290563
block_cont_r1,block_nec_r9,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v6|L5,block_nec|v9|L8,1,0,0,3.0,0.326574
