state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,group_i,group_j,same_coarse,same_fine,same_param_group,ego_speed_diff,d0_mean,pair_id,matched_to,pair_type
lead_nec_r7,lead_opt_r9,lead,lead,lead_nec,lead_opt,lead_nec|v8|s7,lead_opt|v7|s6,1,0,0,1.0,0.024037,match__block_cont_r10__cross_stall_occ_r3,block_cont_r10__cross_stall_occ_r3,same_matched
lead_cont_r10,lead_cont_r8,lead,lead,lead_cont,lead_cont,lead_cont|v9|s8,lead_cont|v9|s7,1,1,0,0.0,0.000546,match__block_cont_r7__cross_stall_occ_r11,block_cont_r7__cross_stall_occ_r11,same_matched
lead_nec_r4,lead_nec_r6,lead,lead,lead_nec,lead_nec,lead_nec|v7|s6,lead_nec|v8|s7,1,1,0,1.0,0.005889,match__block_nec_r10__cross_stall_r9,block_nec_r10__cross_stall_r9,same_matched
lead_nec_r10,lead_nec_r11,lead,lead,lead_nec,lead_nec,lead_nec|v9|s8,lead_nec|v7|s6,1,1,0,2.0,0.004978,match__block_nec_r12__cross_stall_r12,block_nec_r12__cross_stall_r12,same_matched
cross_stall_r10,cross_stall_r6,cross,cross,cross_stall,cross_stall,cross_stall|v7|d7,cross_stall|v8|d8,1,1,0,1.0,0.003192,match__block_nec_r4__cross_stall_r11,block_nec_r4__cross_stall_r11,same_matched
lead_nec_r11,lead_opt_r3,lead,lead,lead_nec,lead_opt,lead_nec|v7|s6,lead_opt|v7|s6,1,0,0,0.0,0.00781,match__cross_stall_r2__lead_nec_r1,cross_stall_r2__lead_nec_r1,same_matched
lead_nec_r3,lead_nec_r8,lead,lead,lead_nec,lead_nec,lead_nec|v7|s5,lead_nec|v9|s7,1,1,0,2.0,0.003846,match__cross_stall_r6__temp_opt_r9,cross_stall_r6__temp_opt_r9,same_matched
lead_nec_r4,lead_opt_r3,lead,lead,lead_nec,lead_opt,lead_nec|v7|s6,lead_opt|v7|s6,1,0,0,0.0,0.016813,match__cross_stall_occ_r10__lead_cont_r11,cross_stall_occ_r10__lead_cont_r11,same_matched
lead_opt_r12,lead_opt_r4,lead,lead,lead_opt,lead_opt,lead_opt|v7|s7,lead_opt|v7|s6,1,1,0,0.0,0.001274,match__cross_stall_occ_r2__lead_cont_r1,cross_stall_occ_r2__lead_cont_r1,same_matched
lead_nec_r2,lead_opt_r12,lead,lead,lead_nec,lead_opt,lead_nec|v6|s5,lead_opt|v7|s7,1,0,0,1.0,0.00696,match__lead_opt_r11__temp_opt_r2,lead_opt_r11__temp_opt_r2,same_matched
lead_nec_r2,lead_opt_r12,lead,lead,lead_nec,lead_opt,lead_nec|v6|s5,lead_opt|v7|s7,1,0,0,1.0,0.00696,match__lead_opt_r12__temp_opt_r3,lead_opt_r12__temp_opt_r3,same_matched
