pair_id,group,rho_action_mean,rho_action_min,rho_action_std
block_cont_r10__cross_stall_occ_r3,A,0.968,0.9277,0.035
block_cont_r7__cross_stall_occ_r11,A,1.0,1.0,0.0
block_nec_r10__cross_stall_r9,A,0.9878,0.7559,0.0532
block_nec_r12__cross_stall_r12,A,0.9997,0.9932,0.0015
block_nec_r4__cross_stall_r11,A,1.0,1.0,0.0
cross_stall_r2__lead_nec_r1,A,0.9996,0.9932,0.0016
cross_stall_r6__temp_opt_r9,A,1.0,1.0,0.0
cross_stall_occ_r10__lead_cont_r11,A,0.9913,0.9435,0.0154
cross_stall_occ_r2__lead_cont_r1,A,0.999,0.9792,0.0045
lead_opt_r11__temp_opt_r2,A,0.99,0.9562,0.0165
lead_opt_r12__temp_opt_r3,A,0.996,0.9562,0.0108
cross_stall_occ_r8__lead_cont_r1,B,1.0,1.0,0.0
cross_stall_r10__temp_opt_r9,B,0.9868,0.7559,0.0544
block_nec_r12__cross_stall_r3,B,0.9997,0.9932,0.0015
block_nec_r12__cross_stall_r6,B,0.9996,0.9932,0.0015
block_nec_r12__cross_stall_r10,B,0.9872,0.7559,0.0545
block_nec_r12__cross_stall_r7,B,0.9872,0.7559,0.0545
cross_stall_r4__temp_opt_r9,B,0.9868,0.7559,0.0544
block_nec_r12__cross_stall_r9,B,0.9997,0.9932,0.0015
block_nec_r7__cross_stall_r9,B,0.9815,0.7559,0.0585
cross_stall_r7__temp_opt_r9,B,0.9868,0.7559,0.0544
block_nec_r2__cross_stall_r9,B,0.9878,0.7559,0.0532
lead_opt_r4__temp_opt_r3,B,0.9964,0.9562,0.0109
lead_opt_r2__temp_opt_r3,B,0.9996,0.9932,0.0016
lead_opt_r11__temp_opt_r11,B,0.9929,0.966,0.0118
cross_stall_r12__temp_opt_r9,B,1.0,1.0,0.0
cross_stall_r1__temp_opt_r9,B,0.9868,0.7559,0.0544
block_nec_r7__cross_stall_r11,B,0.9978,0.9562,0.0095
block_nec_r10__cross_stall_r11,B,0.9916,0.875,0.0284
block_nec_r2__cross_stall_r11,B,0.9916,0.875,0.0284
block_nec_r12__cross_stall_r4,B,0.9872,0.7559,0.0545
lead_nec_r4__temp_opt_r3,B,0.9996,0.9932,0.0016
lead_opt_r11__temp_opt_r1,B,0.9973,0.9792,0.0052
lead_nec_r2__temp_opt_r3,B,0.996,0.9562,0.0108
lead_nec_r12__temp_opt_r3,B,0.9996,0.9932,0.0016
lead_nec_r7__temp_opt_r3,B,0.9972,0.9562,0.0101
lead_nec_r6__temp_opt_r3,B,0.996,0.9562,0.0108
block_nec_r12__cross_stall_r1,B,0.9872,0.7559,0.0545
lead_opt_r1__temp_opt_r3,B,0.9929,0.9363,0.0175
cross_stall_r3__temp_opt_r9,B,1.0,1.0,0.0
block_nec_r6__cross_stall_r11,B,0.9927,0.875,0.0274
cross_stall_r2__lead_opt_r9,B,0.9985,0.9792,0.0049
block_nec_r10__cross_stall_r12,B,0.9878,0.7559,0.0532
lead_opt_r1__temp_opt_r6,B,0.9992,0.9932,0.0021
lead_opt_r6__temp_opt_r6,B,0.9988,0.9792,0.0048
lead_opt_r11__temp_opt_r4,B,0.9863,0.9363,0.0233
cross_stall_r8__lead_nec_r1,B,0.9985,0.9792,0.0049
block_nec_r7__cross_stall_r12,B,0.9815,0.7559,0.0585
cross_stall_r8__temp_opt_r9,B,0.9992,0.9932,0.0021
block_nec_r2__cross_stall_r12,B,0.9878,0.7559,0.0532
block_cont_r10__cross_stall_r4,C,0.8185,-0.0835,0.2289
cross_stall_occ_r6__lead_nec_r8,C,0.9717,0.8378,0.0529
cross_clear_r7__lead_cont_r6,C,0.8456,0.378,0.1511
cross_stall_occ_r6__lead_nec_r5,C,0.9728,0.8378,0.0532
lead_cont_r8__temp_opt_r2,C,0.9421,0.7538,0.0658
lead_cont_r4__temp_opt_r9,C,0.7923,-0.535,0.3261
block_nec_r2__cross_stall_occ_r12,C,0.8484,-0.3756,0.3909
cross_clear_r8__lead_cont_r4,C,0.8767,0.7545,0.0918
block_nec_r1__cross_clear_r6,C,0.6389,0.3298,0.2272
block_nec_r5__lead_opt_r11,C,0.4996,0.0,0.3132
cross_stall_r1__lead_cont_r3,C,0.7922,-0.3539,0.285
block_nec_r1__cross_clear_r5,C,0.4198,-0.4795,0.4447
block_cont_r11__lead_cont_r4,C,0.8599,0.7586,0.0816
lead_cont_r10__temp_opt_r3,C,0.9436,0.7538,0.0656
cross_clear_r5__temp_opt_r7,C,0.5822,-0.5314,0.397
cross_clear_r6__lead_cont_r3,C,0.735,0.2207,0.2157
cross_stall_occ_r2__lead_nec_r10,C,0.9807,0.9562,0.0135
cross_clear_r4__lead_cont_r8,C,0.9377,0.7609,0.0661
block_nec_r7__cross_stall_occ_r12,C,0.8353,-0.5121,0.4299
block_nec_r12__cross_clear_r5,C,0.595,-0.5314,0.382
cross_stall_occ_r2__lead_opt_r5,C,0.8339,-0.5714,0.4375
cross_clear_r12__lead_cont_r3,C,0.8203,0.1351,0.2372
cross_clear_r12__lead_nec_r9,C,0.8026,0.5581,0.1657
cross_stall_occ_r12__lead_nec_r9,C,0.9717,0.8378,0.0529
cross_clear_r8__lead_cont_r12,C,0.9211,0.8752,0.0526
block_cont_r10__lead_opt_r10,C,0.8185,-0.0835,0.2289
cross_stall_occ_r3__lead_opt_r8,C,0.7329,-0.535,0.3864
cross_stall_occ_r8__lead_nec_r11,C,0.9795,0.9363,0.016
lead_cont_r4__temp_opt_r5,C,0.8022,-0.3539,0.2876
block_nec_r3__cross_clear_r6,C,0.5914,0.1268,0.2658
block_cont_r4__cross_clear_r5,C,0.8118,0.6627,0.1155
block_nec_r11__cross_stall_occ_r4,C,0.2349,-0.8708,0.5406
cross_stall_r2__lead_cont_r5,C,0.9551,0.7838,0.0788
block_nec_r5__cross_stall_occ_r11,C,0.4484,-0.7297,0.4458
block_cont_r9__cross_clear_r5,C,0.7973,0.6995,0.1205
block_cont_r4__lead_opt_r1,C,0.9327,0.7837,0.0631
cross_stall_occ_r10__lead_opt_r3,C,0.8119,-0.085,0.2302
cross_stall_occ_r3__lead_opt_r10,C,0.8081,-0.0835,0.2295
cross_stall_r8__lead_cont_r4,C,0.8667,0.7586,0.0942
