pair_id,group,d_raw,D_U0,D_U1,D_U2,D_U3,D_U4,D_U5,D_U6,D_U7,D_current,D_left,D_early,D_mid,D_late
block_cont_r10__cross_stall_occ_r3,A,0.024037,0.031197,0.093852,0.033392,0.033857,0.0,0.0,0.0,0.0,0.032448,0.015627,0.001964,0.031346,0.035649
block_cont_r7__cross_stall_occ_r11,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block_nec_r10__cross_stall_r9,A,0.006026,0.012065,0.01206,0.011483,0.012598,0.0,0.0,0.0,0.0,0.012051,0.0,0.001025,0.010121,0.006217
block_nec_r12__cross_stall_r12,A,0.00498,0.013748,0.008595,0.00789,0.009607,0.0,0.0,0.0,0.0,0.00996,0.0,0.000345,0.00876,0.005173
block_nec_r4__cross_stall_r11,A,0.003178,0.006538,0.005008,0.00424,0.009642,0.0,0.0,0.0,0.0,0.005219,0.001137,0.00038,0.005609,0.003146
cross_stall_r2__lead_nec_r1,A,0.007857,0.01345,0.015235,0.016705,0.01747,0.0,0.0,0.0,0.0,0.015715,0.0,0.0,0.010603,0.011847
cross_stall_r6__temp_opt_r9,A,0.003806,0.010487,0.006687,0.006815,0.006458,0.0,0.0,0.0,0.0,0.007612,0.0,0.0,0.002483,0.008391
cross_stall_occ_r10__lead_cont_r11,A,0.016832,0.0292,0.033168,0.035665,0.036625,0.0,0.0,0.0,0.0,0.033664,0.0,0.0,0.023333,0.024759
cross_stall_occ_r2__lead_cont_r1,A,0.001063,0.001643,0.002175,0.002163,0.002527,0.0,0.0,0.0,0.0,0.002127,0.0,0.0,0.001403,0.001636
lead_opt_r11__temp_opt_r2,A,0.006923,0.006512,0.013207,0.01539,0.020272,0.0,0.0,0.0,0.0,0.013846,0.0,0.0,0.004366,0.015413
lead_opt_r12__temp_opt_r3,A,0.006983,0.008005,0.01137,0.017155,0.019333,0.0,0.0,0.0,0.0,0.013966,0.0,0.0,0.004735,0.015216
cross_stall_occ_r8__lead_cont_r1,B,0.002368,0.004992,0.004162,0.004917,0.004873,0.0,0.0,0.0,0.0,0.004736,0.0,0.0,0.003356,0.00341
cross_stall_r10__temp_opt_r9,B,0.00469,0.012935,0.009338,0.007965,0.007282,0.0,0.0,0.0,0.0,0.00938,0.0,0.0,0.005075,0.008325
block_nec_r12__cross_stall_r3,B,0.005299,0.008722,0.00486,0.00421,0.024602,0.0,0.0,0.0,0.0,0.005564,0.005035,0.000273,0.009387,0.00552
block_nec_r12__cross_stall_r6,B,0.005404,0.00995,0.006845,0.010535,0.015903,0.0,0.0,0.0,0.0,0.010808,0.0,7.9e-05,0.007527,0.007846
block_nec_r12__cross_stall_r10,B,0.005519,0.004538,0.01002,0.01359,0.016008,0.0,0.0,0.0,0.0,0.011039,0.0,7.9e-05,0.007463,0.008238
block_nec_r12__cross_stall_r7,B,0.005858,0.01082,0.01238,0.011672,0.011995,0.0,0.0,0.0,0.0,0.011717,0.0,7.9e-05,0.009843,0.006828
cross_stall_r4__temp_opt_r9,B,0.005927,0.015867,0.013003,0.01106,0.007482,0.0,0.0,0.0,0.0,0.011853,0.0,0.0,0.010175,0.006758
block_nec_r12__cross_stall_r9,B,0.006075,0.016977,0.012862,0.010965,0.007797,0.0,0.0,0.0,0.0,0.012151,0.0,0.000859,0.012471,0.00415
block_nec_r7__cross_stall_r9,B,0.006747,0.019232,0.015277,0.010722,0.008745,0.0,0.0,0.0,0.0,0.013494,0.0,0.001419,0.013331,0.00473
