pair_id,group
block_cont_r10__cross_stall_occ_r3,A
block_cont_r10__cross_stall_r4,C
block_cont_r10__lead_opt_r10,C
block_cont_r11__lead_cont_r4,C
block_cont_r4__cross_clear_r5,C
block_cont_r4__lead_opt_r1,C
block_cont_r7__cross_stall_occ_r11,A
block_cont_r9__cross_clear_r5,C
block_nec_r10__cross_stall_r11,B
block_nec_r10__cross_stall_r12,B
block_nec_r10__cross_stall_r9,A
block_nec_r11__cross_stall_occ_r4,C
block_nec_r12__cross_clear_r5,C
block_nec_r12__cross_stall_r1,B
block_nec_r12__cross_stall_r10,B
block_nec_r12__cross_stall_r12,A
block_nec_r12__cross_stall_r3,B
block_nec_r12__cross_stall_r4,B
block_nec_r12__cross_stall_r6,B
block_nec_r12__cross_stall_r7,B
block_nec_r12__cross_stall_r9,B
block_nec_r1__cross_clear_r5,C
block_nec_r1__cross_clear_r6,C
block_nec_r2__cross_stall_occ_r12,C
block_nec_r2__cross_stall_r11,B
block_nec_r2__cross_stall_r12,B
block_nec_r2__cross_stall_r9,B
block_nec_r3__cross_clear_r6,C
block_nec_r4__cross_stall_r11,A
block_nec_r5__cross_stall_occ_r11,C
block_nec_r5__lead_opt_r11,C
block_nec_r6__cross_stall_r11,B
block_nec_r7__cross_stall_occ_r12,C
block_nec_r7__cross_stall_r11,B
block_nec_r7__cross_stall_r12,B
block_nec_r7__cross_stall_r9,B
cross_clear_r12__lead_cont_r3,C
cross_clear_r12__lead_nec_r9,C
cross_clear_r4__lead_cont_r8,C
cross_clear_r5__temp_opt_r7,C
cross_clear_r6__lead_cont_r3,C
cross_clear_r7__lead_cont_r6,C
cross_clear_r8__lead_cont_r12,C
cross_clear_r8__lead_cont_r4,C
cross_stall_occ_r10__lead_cont_r11,A
cross_stall_occ_r10__lead_opt_r3,C
cross_stall_occ_r12__lead_nec_r9,C
cross_stall_occ_r2__lead_cont_r1,A
cross_stall_occ_r2__lead_nec_r10,C
cross_stall_occ_r2__lead_opt_r5,C
cross_stall_occ_r3__lead_opt_r10,C
cross_stall_occ_r3__lead_opt_r8,C
cross_stall_occ_r6__lead_nec_r5,C
cross_stall_occ_r6__lead_nec_r8,C
cross_stall_occ_r8__lead_cont_r1,B
cross_stall_occ_r8__lead_nec_r11,C
cross_stall_r10__temp_opt_r9,B
cross_stall_r12__temp_opt_r9,B
cross_stall_r1__lead_cont_r3,C
cross_stall_r1__temp_opt_r9,B
cross_stall_r2__lead_cont_r5,C
cross_stall_r2__lead_nec_r1,A
cross_stall_r2__lead_opt_r9,B
cross_stall_r3__temp_opt_r9,B
cross_stall_r4__temp_opt_r9,B
cross_stall_r6__temp_opt_r9,A
cross_stall_r7__temp_opt_r9,B
cross_stall_r8__lead_cont_r4,C
cross_stall_r8__lead_nec_r1,B
cross_stall_r8__temp_opt_r9,B
lead_cont_r10__temp_opt_r3,C
lead_cont_r4__temp_opt_r5,C
lead_cont_r4__temp_opt_r9,C
lead_cont_r8__temp_opt_r2,C
lead_nec_r12__temp_opt_r3,B
lead_nec_r2__temp_opt_r3,B
lead_nec_r4__temp_opt_r3,B
lead_nec_r6__temp_opt_r3,B
lead_nec_r7__temp_opt_r3,B
lead_opt_r11__temp_opt_r1,B
lead_opt_r11__temp_opt_r11,B
lead_opt_r11__temp_opt_r2,A
lead_opt_r11__temp_opt_r4,B
lead_opt_r12__temp_opt_r3,A
lead_opt_r1__temp_opt_r3,B
lead_opt_r1__temp_opt_r6,B
lead_opt_r2__temp_opt_r3,B
lead_opt_r4__temp_opt_r3,B
lead_opt_r6__temp_opt_r6,B
