pair_id,group,d_raw,R_scale,mean_alpha
block_cont_r10__cross_stall_occ_r3,A,0.024037,0.032,0.9818
block_cont_r7__cross_stall_occ_r11,A,0.0,0.0,1.0
block_nec_r10__cross_stall_r9,A,0.006026,0.0198,0.9933
block_nec_r12__cross_stall_r12,A,0.00498,-0.1719,1.0025
block_nec_r4__cross_stall_r11,A,0.003178,0.0217,1.0022
cross_stall_r2__lead_nec_r1,A,0.007857,-0.0885,0.9921
cross_stall_r6__temp_opt_r9,A,0.003806,-0.0248,0.9968
cross_stall_occ_r10__lead_cont_r11,A,0.016832,-0.0456,0.9829
cross_stall_occ_r2__lead_cont_r1,A,0.001063,-0.1204,1.001
lead_opt_r11__temp_opt_r2,A,0.006923,-0.2412,0.9965
lead_opt_r12__temp_opt_r3,A,0.006983,-0.2049,1.0037
cross_stall_occ_r8__lead_cont_r1,B,0.002368,-0.1434,0.9976
cross_stall_r10__temp_opt_r9,B,0.00469,-0.0724,1.0003
block_nec_r12__cross_stall_r3,B,0.005299,0.26,1.0064
block_nec_r12__cross_stall_r6,B,0.005404,-0.0872,0.9982
block_nec_r12__cross_stall_r10,B,0.005519,-0.0111,0.9947
block_nec_r12__cross_stall_r7,B,0.005858,-0.0487,0.9938
cross_stall_r4__temp_opt_r9,B,0.005927,-0.1336,1.004
block_nec_r12__cross_stall_r9,B,0.006075,-0.0877,1.0074
block_nec_r7__cross_stall_r9,B,0.006747,0.0331,0.9916
cross_stall_r7__temp_opt_r9,B,0.006933,-0.1094,1.0011
block_nec_r2__cross_stall_r9,B,0.007033,0.0177,0.9928
lead_opt_r4__temp_opt_r3,B,0.007125,-0.1915,1.0033
lead_opt_r2__temp_opt_r3,B,0.007588,-0.1873,1.0059
lead_opt_r11__temp_opt_r11,B,0.007727,-0.3723,0.9925
cross_stall_r12__temp_opt_r9,B,0.007752,0.0181,0.9924
cross_stall_r1__temp_opt_r9,B,0.008023,-0.162,1.0055
block_nec_r7__cross_stall_r11,B,0.008139,0.1913,1.0105
block_nec_r10__cross_stall_r11,B,0.008861,0.1621,1.0121
block_nec_r2__cross_stall_r11,B,0.008883,0.0402,1.0115
