pair_id,group,d_raw,d_shift,R_time,mean_abs_dtstar,frac_dtstar_nonzero
block_cont_r10__cross_stall_occ_r3,A,0.024037,0.011725,0.5122,1.375,0.812
block_cont_r7__cross_stall_occ_r11,A,0.0,0.0,0.0,1.5,0.75
block_nec_r10__cross_stall_r9,A,0.006026,0.004158,0.31,0.625,0.5
block_nec_r12__cross_stall_r12,A,0.00498,0.003784,0.2402,0.531,0.312
block_nec_r4__cross_stall_r11,A,0.003178,0.003178,0.0,0.5,0.25
cross_stall_r2__lead_nec_r1,A,0.007857,0.001943,0.7527,0.625,0.5
cross_stall_r6__temp_opt_r9,A,0.003806,0.003806,0.0,0.5,0.25
cross_stall_occ_r10__lead_cont_r11,A,0.016832,0.00406,0.7588,1.375,0.812
cross_stall_occ_r2__lead_cont_r1,A,0.001063,0.001063,0.0,1.375,0.688
lead_opt_r11__temp_opt_r2,A,0.006923,0.004726,0.3173,0.75,0.5
lead_opt_r12__temp_opt_r3,A,0.006983,0.005613,0.1962,0.625,0.5
cross_stall_occ_r8__lead_cont_r1,B,0.002368,0.002368,0.0,1.375,0.688
cross_stall_r10__temp_opt_r9,B,0.00469,0.00469,0.0,0.5,0.25
block_nec_r12__cross_stall_r3,B,0.005299,0.005299,0.0,0.5,0.25
block_nec_r12__cross_stall_r6,B,0.005404,0.005129,0.0509,0.531,0.312
block_nec_r12__cross_stall_r10,B,0.005519,0.004482,0.1879,0.562,0.375
block_nec_r12__cross_stall_r7,B,0.005858,0.003803,0.3509,0.625,0.5
cross_stall_r4__temp_opt_r9,B,0.005927,0.004216,0.2887,0.562,0.375
block_nec_r12__cross_stall_r9,B,0.006075,0.002908,0.5214,0.594,0.438
block_nec_r7__cross_stall_r9,B,0.006747,0.002842,0.5787,0.594,0.438
cross_stall_r7__temp_opt_r9,B,0.006933,0.005669,0.1824,0.531,0.312
block_nec_r2__cross_stall_r9,B,0.007033,0.005199,0.2607,0.594,0.438
lead_opt_r4__temp_opt_r3,B,0.007125,0.006355,0.108,0.625,0.5
lead_opt_r2__temp_opt_r3,B,0.007588,0.005039,0.3359,0.625,0.438
lead_opt_r11__temp_opt_r11,B,0.007727,0.003683,0.5234,0.812,0.5
cross_stall_r12__temp_opt_r9,B,0.007752,0.006172,0.2038,0.625,0.5
cross_stall_r1__temp_opt_r9,B,0.008023,0.005068,0.3683,0.594,0.438
block_nec_r7__cross_stall_r11,B,0.008139,0.005556,0.3173,0.625,0.5
