pair_id,pair_type,state_i,state_j,probe_action,d0_mean,d1_action,feasibility_agree,both_valid,both_infeasible,one_valid
block_cont_r1__cross_clear_r1,cross,block_cont_r1,cross_clear_r1,U0,0.352591,0.420714,1,1,0,0
block_cont_r1__cross_clear_r1,cross,block_cont_r1,cross_clear_r1,U1,0.352591,0.392976,1,1,0,0
block_cont_r1__cross_clear_r1,cross,block_cont_r1,cross_clear_r1,U2,0.352591,0.359158,1,1,0,0
block_cont_r1__cross_clear_r1,cross,block_cont_r1,cross_clear_r1,U3,0.352591,0.39532,1,1,0,0
block_cont_r1__cross_clear_r1,cross,block_cont_r1,cross_clear_r1,U4,0.352591,0.2125,1,1,0,0
block_cont_r1__cross_clear_r1,cross,block_cont_r1,cross_clear_r1,U5,0.352591,0.2125,1,1,0,0
block_cont_r1__cross_clear_r1,cross,block_cont_r1,cross_clear_r1,U6,0.352591,0.207726,1,1,0,0
block_cont_r1__cross_clear_r1,cross,block_cont_r1,cross_clear_r1,U7,0.352591,0.185097,1,1,0,0
block_cont_r1__cross_clear_r10,cross,block_cont_r1,cross_clear_r10,U0,0.126214,0.307995,1,1,0,0
block_cont_r1__cross_clear_r10,cross,block_cont_r1,cross_clear_r10,U1,0.126214,0.183787,1,1,0,0
block_cont_r1__cross_clear_r10,cross,block_cont_r1,cross_clear_r10,U2,0.126214,0.065312,1,1,0,0
block_cont_r1__cross_clear_r10,cross,block_cont_r1,cross_clear_r10,U3,0.126214,0.057455,1,1,0,0
block_cont_r1__cross_clear_r10,cross,block_cont_r1,cross_clear_r10,U4,0.126214,0.173138,1,1,0,0
block_cont_r1__cross_clear_r10,cross,block_cont_r1,cross_clear_r10,U5,0.126214,0.103783,1,1,0,0
block_cont_r1__cross_clear_r10,cross,block_cont_r1,cross_clear_r10,U6,0.126214,0.029383,1,1,0,0
block_cont_r1__cross_clear_r10,cross,block_cont_r1,cross_clear_r10,U7,0.126214,0.0,1,1,0,0
block_cont_r1__cross_clear_r11,cross,block_cont_r1,cross_clear_r11,U0,0.371948,0.392002,1,1,0,0
block_cont_r1__cross_clear_r11,cross,block_cont_r1,cross_clear_r11,U1,0.371948,0.36166,1,1,0,0
block_cont_r1__cross_clear_r11,cross,block_cont_r1,cross_clear_r11,U2,0.371948,0.349765,1,1,0,0
block_cont_r1__cross_clear_r11,cross,block_cont_r1,cross_clear_r11,U3,0.371948,0.363717,1,1,0,0
block_cont_r1__cross_clear_r11,cross,block_cont_r1,cross_clear_r11,U4,0.371948,0.2125,1,1,0,0
block_cont_r1__cross_clear_r11,cross,block_cont_r1,cross_clear_r11,U5,0.371948,0.187269,1,1,0,0
block_cont_r1__cross_clear_r11,cross,block_cont_r1,cross_clear_r11,U6,0.371948,0.136249,1,1,0,0
block_cont_r1__cross_clear_r11,cross,block_cont_r1,cross_clear_r11,U7,0.371948,0.06353,1,1,0,0
block_cont_r1__cross_clear_r12,cross,block_cont_r1,cross_clear_r12,U0,0.229241,0.356632,1,1,0,0
block_cont_r1__cross_clear_r12,cross,block_cont_r1,cross_clear_r12,U1,0.229241,0.256591,1,1,0,0
block_cont_r1__cross_clear_r12,cross,block_cont_r1,cross_clear_r12,U2,0.229241,0.199227,1,1,0,0
block_cont_r1__cross_clear_r12,cross,block_cont_r1,cross_clear_r12,U3,0.229241,0.155787,1,1,0,0
block_cont_r1__cross_clear_r12,cross,block_cont_r1,cross_clear_r12,U4,0.229241,0.200301,1,1,0,0
block_cont_r1__cross_clear_r12,cross,block_cont_r1,cross_clear_r12,U5,0.229241,0.174537,1,1,0,0
block_cont_r1__cross_clear_r12,cross,block_cont_r1,cross_clear_r12,U6,0.229241,0.138439,1,1,0,0
block_cont_r1__cross_clear_r12,cross,block_cont_r1,cross_clear_r12,U7,0.229241,0.108989,1,1,0,0
block_cont_r1__cross_clear_r2,cross,block_cont_r1,cross_clear_r2,U0,0.312361,0.42219,1,1,0,0
block_cont_r1__cross_clear_r2,cross,block_cont_r1,cross_clear_r2,U1,0.312361,0.402893,1,1,0,0
block_cont_r1__cross_clear_r2,cross,block_cont_r1,cross_clear_r2,U2,0.312361,0.345761,1,1,0,0
block_cont_r1__cross_clear_r2,cross,block_cont_r1,cross_clear_r2,U3,0.312361,0.32553,1,1,0,0
block_cont_r1__cross_clear_r2,cross,block_cont_r1,cross_clear_r2,U4,0.312361,0.2125,1,1,0,0
block_cont_r1__cross_clear_r2,cross,block_cont_r1,cross_clear_r2,U5,0.312361,0.2125,1,1,0,0
block_cont_r1__cross_clear_r2,cross,block_cont_r1,cross_clear_r2,U6,0.312361,0.18901,1,1,0,0
block_cont_r1__cross_clear_r2,cross,block_cont_r1,cross_clear_r2,U7,0.312361,0.170265,1,1,0,0
block_cont_r1__cross_clear_r3,cross,block_cont_r1,cross_clear_r3,U0,0.397838,0.433728,1,1,0,0
block_cont_r1__cross_clear_r3,cross,block_cont_r1,cross_clear_r3,U1,0.397838,0.41742,1,1,0,0
block_cont_r1__cross_clear_r3,cross,block_cont_r1,cross_clear_r3,U2,0.397838,0.41226,1,1,0,0
block_cont_r1__cross_clear_r3,cross,block_cont_r1,cross_clear_r3,U3,0.397838,0.41092,1,1,0,0
block_cont_r1__cross_clear_r3,cross,block_cont_r1,cross_clear_r3,U4,0.397838,0.2125,1,1,0,0
block_cont_r1__cross_clear_r3,cross,block_cont_r1,cross_clear_r3,U5,0.397838,0.2125,1,1,0,0
block_cont_r1__cross_clear_r3,cross,block_cont_r1,cross_clear_r3,U6,0.397838,0.211928,1,1,0,0
block_cont_r1__cross_clear_r3,cross,block_cont_r1,cross_clear_r3,U7,0.397838,0.196827,1,1,0,0
block_cont_r1__cross_clear_r4,cross,block_cont_r1,cross_clear_r4,U0,0.355275,0.434675,1,1,0,0
block_cont_r1__cross_clear_r4,cross,block_cont_r1,cross_clear_r4,U1,0.355275,0.420177,1,1,0,0
block_cont_r1__cross_clear_r4,cross,block_cont_r1,cross_clear_r4,U2,0.355275,0.374676,1,1,0,0
block_cont_r1__cross_clear_r4,cross,block_cont_r1,cross_clear_r4,U3,0.355275,0.362609,1,1,0,0
block_cont_r1__cross_clear_r4,cross,block_cont_r1,cross_clear_r4,U4,0.355275,0.2125,1,1,0,0
block_cont_r1__cross_clear_r4,cross,block_cont_r1,cross_clear_r4,U5,0.355275,0.2125,1,1,0,0
