state_id,n_actions,mean_pairwise_dist,min_pairwise_dist,max_pairwise_dist
block_cont_r1,8,0.09163,0.0,0.1587
block_cont_r10,8,0.11549,0.0,0.20299
block_cont_r11,8,0.07175,0.0,0.15193
block_cont_r12,8,0.11104,0.0,0.19052
block_cont_r2,8,0.10256,0.0,0.17583
block_cont_r3,8,0.08989,0.0,0.17789
block_cont_r4,8,0.12392,0.0,0.2165
block_cont_r5,8,0.0814,0.0,0.15263
block_cont_r6,8,0.084,0.0,0.15316
block_cont_r7,8,0.09363,0.0,0.16812
block_cont_r8,8,0.06814,0.0,0.14058
block_cont_r9,8,0.09504,0.0,0.18577
block_nec_r1,8,0.19365,0.0,0.3462
block_nec_r10,8,0.18872,0.0,0.36011
block_nec_r11,8,0.18979,0.0,0.4419
block_nec_r12,8,0.20274,0.0,0.37681
block_nec_r2,8,0.19092,0.0,0.36333
block_nec_r3,8,0.20136,0.0,0.35191
block_nec_r4,8,0.19073,0.0,0.35297
block_nec_r5,8,0.19735,0.0,0.43212
block_nec_r6,8,0.18735,0.0,0.34066
block_nec_r7,8,0.18256,0.0,0.35562
block_nec_r8,8,0.1952,0.0,0.41545
block_nec_r9,8,0.1901,0.0,0.3612
cross_clear_r1,8,0.24128,0.0,0.44147
cross_clear_r10,8,0.20105,0.02938,0.42894
cross_clear_r11,8,0.30831,0.02523,0.56694
cross_clear_r12,8,0.22409,0.02576,0.45299
cross_clear_r2,8,0.24384,0.0,0.46019
cross_clear_r3,8,0.24444,0.0,0.4456
cross_clear_r4,8,0.24704,0.0,0.45971
cross_clear_r5,8,0.29646,0.02108,0.5406
cross_clear_r6,8,0.23414,0.03506,0.45633
cross_clear_r7,8,0.25756,0.00467,0.4599
cross_clear_r8,8,0.24313,0.02033,0.47608
cross_clear_r9,8,0.3167,0.0,0.59643
cross_stall_r1,8,0.21095,0.0,0.38652
cross_stall_r10,8,0.20618,0.0,0.37898
cross_stall_r11,8,0.18566,0.0,0.34873
cross_stall_r12,8,0.19799,0.0,0.36865
cross_stall_r2,8,0.21738,0.0,0.39663
cross_stall_r3,8,0.2004,0.0,0.37207
cross_stall_r4,8,0.20885,0.0,0.38318
cross_stall_r5,8,0.20591,0.0,0.35447
cross_stall_r6,8,0.20219,0.0,0.37316
cross_stall_r7,8,0.20824,0.0,0.38264
cross_stall_r8,8,0.21512,0.0,0.39304
cross_stall_r9,8,0.19574,0.0,0.36668
cross_stall_occ_r1,8,0.12624,0.0,0.20811
cross_stall_occ_r10,8,0.12432,0.0,0.23183
cross_stall_occ_r11,8,0.09363,0.0,0.16812
cross_stall_occ_r12,8,0.13009,0.0,0.22406
cross_stall_occ_r2,8,0.12884,0.0,0.22246
cross_stall_occ_r3,8,0.11714,0.0,0.22087
cross_stall_occ_r4,8,0.15047,0.0,0.25368
cross_stall_occ_r5,8,0.12053,0.0,0.21921
cross_stall_occ_r6,8,0.12783,0.0,0.22072
cross_stall_occ_r7,8,0.12966,0.0,0.21261
cross_stall_occ_r8,8,0.127,0.0,0.21951
cross_stall_occ_r9,8,0.11684,0.0,0.21593
lead_cont_r1,8,0.12827,0.0,0.22158
lead_cont_r10,8,0.14512,0.0,0.24104
lead_cont_r11,8,0.13455,0.0,0.24744
lead_cont_r12,8,0.13331,0.0,0.23935
lead_cont_r2,8,0.14159,0.0,0.24579
lead_cont_r3,8,0.13565,0.0,0.24908
lead_cont_r4,8,0.15848,0.0,0.27313
lead_cont_r5,8,0.14213,0.0,0.2378
lead_cont_r6,8,0.14924,0.0,0.25635
lead_cont_r7,8,0.13332,0.0,0.23935
lead_cont_r8,8,0.14512,0.0,0.24104
lead_cont_r9,8,0.12942,0.0,0.22493
lead_nec_r1,8,0.22197,0.0,0.40356
lead_nec_r10,8,0.22227,0.0,0.40155
lead_nec_r11,8,0.22312,0.0,0.40449
lead_nec_r12,8,0.23196,0.0,0.4172
lead_nec_r2,8,0.23529,0.0,0.42254
lead_nec_r3,8,0.22422,0.0,0.40613
lead_nec_r4,8,0.23171,0.0,0.41746
lead_nec_r5,8,0.22177,0.0,0.40227
lead_nec_r6,8,0.23402,0.0,0.41999
lead_nec_r7,8,0.23196,0.0,0.4172
lead_nec_r8,8,0.22222,0.0,0.40149
lead_nec_r9,8,0.22496,0.0,0.40497
lead_opt_r1,8,0.23257,0.0,0.42089
lead_opt_r10,8,0.22256,0.0,0.4064
lead_opt_r11,8,0.24481,0.0,0.43492
lead_opt_r12,8,0.2389,0.0,0.42875
lead_opt_r2,8,0.24087,0.0,0.43155
lead_opt_r3,8,0.22529,0.0,0.41014
lead_opt_r4,8,0.23927,0.0,0.42919
lead_opt_r5,8,0.22171,0.0,0.40668
lead_opt_r6,8,0.22933,0.0,0.41649
lead_opt_r7,8,0.21968,0.0,0.40596
lead_opt_r8,8,0.20919,0.0,0.39301
lead_opt_r9,8,0.22263,0.0,0.4067
temp_opt_r1,8,0.24863,0.0,0.4375
temp_opt_r10,8,0.25,0.0,0.4375
temp_opt_r11,8,0.24829,0.0,0.4375
temp_opt_r12,8,0.22097,0.0,0.42403
temp_opt_r2,8,0.24764,0.0,0.43745
temp_opt_r3,8,0.24015,0.0,0.43274
temp_opt_r4,8,0.2431,0.0,0.43678
temp_opt_r5,8,0.23865,0.0,0.43403
temp_opt_r6,8,0.23848,0.0,0.43506
temp_opt_r7,8,0.27201,0.0,0.4358
temp_opt_r8,8,0.20769,0.0,0.41171
temp_opt_r9,8,0.21114,0.0,0.39358
