cross_pair,d0_cross,d0_same,abs_diff
block_cont_r1__cross_clear_r1,0.352591,0.352595,4e-06
block_cont_r1__cross_clear_r10,0.126214,0.126456,0.000242
block_cont_r1__cross_clear_r11,0.371948,0.371988,4e-05
block_cont_r1__cross_clear_r12,0.229241,0.228355,0.000886
block_cont_r1__cross_clear_r2,0.312361,0.312355,6e-06
block_cont_r1__cross_clear_r3,0.397838,0.397989,0.000151
block_cont_r1__cross_clear_r4,0.355275,0.355347,7.2e-05
block_cont_r1__cross_clear_r5,0.316002,0.315958,4.4e-05
block_cont_r1__cross_clear_r6,0.223977,0.223719,0.000258
block_cont_r1__cross_clear_r7,0.371434,0.371215,0.000219
block_cont_r1__cross_clear_r8,0.305332,0.305561,0.000229
block_cont_r1__cross_clear_r9,0.291534,0.291448,8.6e-05
block_cont_r1__cross_stall_occ_r1,0.053997,0.054001,4e-06
block_cont_r1__cross_stall_occ_r10,0.101238,0.101055,0.000183
block_cont_r1__cross_stall_occ_r11,0.038336,0.038336,0.0
block_cont_r1__cross_stall_occ_r12,0.067498,0.06748,1.8e-05
block_cont_r1__cross_stall_occ_r2,0.067803,0.067834,3.1e-05
block_cont_r1__cross_stall_occ_r3,0.089732,0.089496,0.000236
block_cont_r1__cross_stall_occ_r4,0.12047,0.119695,0.000775
block_cont_r1__cross_stall_occ_r5,0.057092,0.056998,9.4e-05
block_cont_r1__cross_stall_occ_r6,0.068568,0.068504,6.4e-05
block_cont_r1__cross_stall_occ_r7,0.057968,0.05801,4.2e-05
block_cont_r1__cross_stall_occ_r8,0.064372,0.064357,1.5e-05
block_cont_r1__cross_stall_occ_r9,0.073841,0.073855,1.4e-05
block_cont_r1__cross_stall_r1,0.365982,0.365795,0.000187
block_cont_r1__cross_stall_r10,0.361347,0.361418,7.1e-05
block_cont_r1__cross_stall_r11,0.335235,0.335212,2.3e-05
block_cont_r1__cross_stall_r12,0.354635,0.354625,1e-05
block_cont_r1__cross_stall_r2,0.37603,0.375955,7.5e-05
block_cont_r1__cross_stall_r3,0.351861,0.351776,8.5e-05
block_cont_r1__cross_stall_r4,0.365048,0.365059,1.1e-05
block_cont_r1__cross_stall_r5,0.32556,0.325545,1.5e-05
block_cont_r1__cross_stall_r6,0.358581,0.358575,6e-06
block_cont_r1__cross_stall_r7,0.361691,0.361712,2.1e-05
block_cont_r1__cross_stall_r8,0.372361,0.37231,5.1e-05
block_cont_r1__cross_stall_r9,0.349758,0.349829,7.1e-05
block_cont_r1__lead_cont_r1,0.06674,0.066734,6e-06
block_cont_r1__lead_cont_r10,0.116763,0.11593,0.000833
block_cont_r1__lead_cont_r11,0.11807,0.118495,0.000425
block_cont_r1__lead_cont_r12,0.101078,0.101055,2.3e-05
block_cont_r1__lead_cont_r2,0.090803,0.090856,5.3e-05
block_cont_r1__lead_cont_r3,0.119908,0.119695,0.000213
block_cont_r1__lead_cont_r4,0.142259,0.142029,0.00023
block_cont_r1__lead_cont_r5,0.099299,0.099543,0.000244
block_cont_r1__lead_cont_r6,0.116561,0.11593,0.000631
block_cont_r1__lead_cont_r7,0.101252,0.101055,0.000197
block_cont_r1__lead_cont_r8,0.116217,0.11593,0.000287
block_cont_r1__lead_cont_r9,0.110683,0.110548,0.000135
block_cont_r1__lead_nec_r1,0.383887,0.383724,0.000163
block_cont_r1__lead_nec_r10,0.392074,0.392251,0.000177
block_cont_r1__lead_nec_r11,0.388285,0.388017,0.000268
block_cont_r1__lead_nec_r12,0.405753,0.405467,0.000286
block_cont_r1__lead_nec_r2,0.407956,0.407802,0.000154
block_cont_r1__lead_nec_r3,0.390131,0.391344,0.001213
block_cont_r1__lead_nec_r4,0.403396,0.403661,0.000265
block_cont_r1__lead_nec_r5,0.388242,0.388017,0.000225
block_cont_r1__lead_nec_r6,0.409285,0.409041,0.000244
block_cont_r1__lead_nec_r7,0.405926,0.405467,0.000459
block_cont_r1__lead_nec_r8,0.391482,0.391344,0.000138
block_cont_r1__lead_nec_r9,0.396831,0.396517,0.000314
block_cont_r1__lead_opt_r1,0.397059,0.397414,0.000355
block_cont_r1__lead_opt_r10,0.383765,0.383724,4.1e-05
block_cont_r1__lead_opt_r11,0.423447,0.422555,0.000892
block_cont_r1__lead_opt_r12,0.41142,0.412135,0.000715
block_cont_r1__lead_opt_r2,0.413554,0.413332,0.000222
block_cont_r1__lead_opt_r3,0.386582,0.388017,0.001435
block_cont_r1__lead_opt_r4,0.411287,0.412135,0.000848
block_cont_r1__lead_opt_r5,0.381786,0.381542,0.000244
block_cont_r1__lead_opt_r6,0.393853,0.393452,0.000401
block_cont_r1__lead_opt_r7,0.383803,0.383724,7.9e-05
block_cont_r1__lead_opt_r8,0.372202,0.372161,4.1e-05
block_cont_r1__lead_opt_r9,0.381889,0.381542,0.000347
block_cont_r10__cross_clear_r1,0.314917,0.314841,7.6e-05
block_cont_r10__cross_clear_r10,0.132323,0.132301,2.2e-05
block_cont_r10__cross_clear_r11,0.320498,0.320519,2.1e-05
block_cont_r10__cross_clear_r12,0.182038,0.18213,9.2e-05
block_cont_r10__cross_clear_r2,0.282317,0.282836,0.000519
block_cont_r10__cross_clear_r3,0.361841,0.361879,3.8e-05
block_cont_r10__cross_clear_r4,0.319279,0.319241,3.8e-05
block_cont_r10__cross_clear_r5,0.27836,0.278033,0.000327
block_cont_r10__cross_clear_r6,0.166282,0.166277,5e-06
block_cont_r10__cross_clear_r7,0.335437,0.335385,5.2e-05
block_cont_r10__cross_clear_r8,0.269336,0.269938,0.000602
block_cont_r10__cross_clear_r9,0.254429,0.254676,0.000247
block_cont_r10__cross_stall_occ_r1,0.071482,0.071487,5e-06
block_cont_r10__cross_stall_occ_r10,0.035543,0.035505,3.8e-05
block_cont_r10__cross_stall_occ_r11,0.044876,0.044876,0.0
block_cont_r10__cross_stall_occ_r12,0.065438,0.065298,0.00014
block_cont_r10__cross_stall_occ_r2,0.085288,0.085051,0.000237
block_cont_r10__cross_stall_occ_r3,0.024037,0.024037,0.0
block_cont_r10__cross_stall_occ_r4,0.059801,0.059787,1.4e-05
