pair_id,pair_type,state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,same_param_group,ego_speed_diff,d0_mean,d1_mean,d1_validonly,feasibility_agree,n_valid_actions
block_cont_r1__cross_clear_r1,cross,block_cont_r1,cross_clear_r1,block_or_occupancy,cross,block_cont,cross_clear,0,0.0,0.352591,0.298249,0.298249,1.0,8
block_cont_r1__cross_clear_r10,cross,block_cont_r1,cross_clear_r10,block_or_occupancy,cross,block_cont,cross_clear,0,2.0,0.126214,0.115107,0.115107,1.0,8
block_cont_r1__cross_clear_r11,cross,block_cont_r1,cross_clear_r11,block_or_occupancy,cross,block_cont,cross_clear,0,2.0,0.371948,0.258337,0.258337,1.0,8
block_cont_r1__cross_clear_r12,cross,block_cont_r1,cross_clear_r12,block_or_occupancy,cross,block_cont,cross_clear,0,2.0,0.229241,0.198813,0.198813,1.0,8
block_cont_r1__cross_clear_r2,cross,block_cont_r1,cross_clear_r2,block_or_occupancy,cross,block_cont,cross_clear,0,0.0,0.312361,0.285081,0.285081,1.0,8
block_cont_r1__cross_clear_r3,cross,block_cont_r1,cross_clear_r3,block_or_occupancy,cross,block_cont,cross_clear,0,0.0,0.397838,0.313511,0.313511,1.0,8
block_cont_r1__cross_clear_r4,cross,block_cont_r1,cross_clear_r4,block_or_occupancy,cross,block_cont,cross_clear,0,0.0,0.355275,0.29962,0.29962,1.0,8
block_cont_r1__cross_clear_r5,cross,block_cont_r1,cross_clear_r5,block_or_occupancy,cross,block_cont,cross_clear,0,1.0,0.316002,0.215671,0.215671,1.0,8
block_cont_r1__cross_clear_r6,cross,block_cont_r1,cross_clear_r6,block_or_occupancy,cross,block_cont,cross_clear,0,1.0,0.223977,0.186279,0.186279,1.0,8
block_cont_r1__cross_clear_r7,cross,block_cont_r1,cross_clear_r7,block_or_occupancy,cross,block_cont,cross_clear,0,1.0,0.371434,0.293472,0.293472,1.0,8
block_cont_r1__cross_clear_r8,cross,block_cont_r1,cross_clear_r8,block_or_occupancy,cross,block_cont,cross_clear,0,1.0,0.305332,0.259826,0.259826,1.0,8
block_cont_r1__cross_clear_r9,cross,block_cont_r1,cross_clear_r9,block_or_occupancy,cross,block_cont,cross_clear,0,2.0,0.291534,0.19251,0.19251,1.0,8
block_cont_r1__cross_stall_occ_r1,cross,block_cont_r1,cross_stall_occ_r1,block_or_occupancy,cross,block_cont,cross_stall_occ,0,0.0,0.053997,0.030205,0.030205,1.0,8
block_cont_r1__cross_stall_occ_r10,cross,block_cont_r1,cross_stall_occ_r10,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.101238,0.045313,0.045313,1.0,8
block_cont_r1__cross_stall_occ_r11,cross,block_cont_r1,cross_stall_occ_r11,block_or_occupancy,cross,block_cont,cross_stall_occ,0,2.0,0.038336,0.013969,0.013969,1.0,8
block_cont_r1__cross_stall_occ_r12,cross,block_cont_r1,cross_stall_occ_r12,block_or_occupancy,cross,block_cont,cross_stall_occ,0,2.0,0.067498,0.040347,0.040347,1.0,8
block_cont_r1__cross_stall_occ_r2,cross,block_cont_r1,cross_stall_occ_r2,block_or_occupancy,cross,block_cont,cross_stall_occ,0,0.0,0.067803,0.035139,0.035139,1.0,8
block_cont_r1__cross_stall_occ_r3,cross,block_cont_r1,cross_stall_occ_r3,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.089732,0.038609,0.038609,1.0,8
block_cont_r1__cross_stall_occ_r4,cross,block_cont_r1,cross_stall_occ_r4,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.12047,0.063422,0.063422,1.0,8
block_cont_r1__cross_stall_occ_r5,cross,block_cont_r1,cross_stall_occ_r5,block_or_occupancy,cross,block_cont,cross_stall_occ,0,2.0,0.057092,0.031703,0.031703,1.0,8
block_cont_r1__cross_stall_occ_r6,cross,block_cont_r1,cross_stall_occ_r6,block_or_occupancy,cross,block_cont,cross_stall_occ,0,2.0,0.068568,0.039461,0.039461,1.0,8
block_cont_r1__cross_stall_occ_r7,cross,block_cont_r1,cross_stall_occ_r7,block_or_occupancy,cross,block_cont,cross_stall_occ,0,0.0,0.057968,0.032281,0.032281,1.0,8
block_cont_r1__cross_stall_occ_r8,cross,block_cont_r1,cross_stall_occ_r8,block_or_occupancy,cross,block_cont,cross_stall_occ,0,0.0,0.064372,0.033375,0.033375,1.0,8
block_cont_r1__cross_stall_occ_r9,cross,block_cont_r1,cross_stall_occ_r9,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.073841,0.037302,0.037302,1.0,8
block_cont_r1__cross_stall_r1,cross,block_cont_r1,cross_stall_r1,block_or_occupancy,cross,block_cont,cross_stall,0,0.0,0.365982,0.298058,0.298058,1.0,8
block_cont_r1__cross_stall_r10,cross,block_cont_r1,cross_stall_r10,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.361347,0.293613,0.293613,1.0,8
block_cont_r1__cross_stall_r11,cross,block_cont_r1,cross_stall_r11,block_or_occupancy,cross,block_cont,cross_stall,0,2.0,0.335235,0.246921,0.246921,1.0,8
block_cont_r1__cross_stall_r12,cross,block_cont_r1,cross_stall_r12,block_or_occupancy,cross,block_cont,cross_stall,0,2.0,0.354635,0.282649,0.282649,1.0,8
block_cont_r1__cross_stall_r2,cross,block_cont_r1,cross_stall_r2,block_or_occupancy,cross,block_cont,cross_stall,0,0.0,0.37603,0.304387,0.304387,1.0,8
block_cont_r1__cross_stall_r3,cross,block_cont_r1,cross_stall_r3,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.351861,0.283483,0.283483,1.0,8
block_cont_r1__cross_stall_r4,cross,block_cont_r1,cross_stall_r4,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.365048,0.296273,0.296273,1.0,8
block_cont_r1__cross_stall_r5,cross,block_cont_r1,cross_stall_r5,block_or_occupancy,cross,block_cont,cross_stall,0,2.0,0.32556,0.24911,0.24911,1.0,8
block_cont_r1__cross_stall_r6,cross,block_cont_r1,cross_stall_r6,block_or_occupancy,cross,block_cont,cross_stall,0,2.0,0.358581,0.289555,0.289555,1.0,8
block_cont_r1__cross_stall_r7,cross,block_cont_r1,cross_stall_r7,block_or_occupancy,cross,block_cont,cross_stall,0,0.0,0.361691,0.295258,0.295258,1.0,8
block_cont_r1__cross_stall_r8,cross,block_cont_r1,cross_stall_r8,block_or_occupancy,cross,block_cont,cross_stall,0,0.0,0.372361,0.302282,0.302282,1.0,8
block_cont_r1__cross_stall_r9,cross,block_cont_r1,cross_stall_r9,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.349758,0.279431,0.279431,1.0,8
block_cont_r1__lead_cont_r1,cross,block_cont_r1,lead_cont_r1,block_or_occupancy,lead,block_cont,lead_cont,0,0.0,0.06674,0.03457,0.03457,1.0,8
block_cont_r1__lead_cont_r10,cross,block_cont_r1,lead_cont_r10,block_or_occupancy,lead,block_cont,lead_cont,0,3.0,0.116763,0.061501,0.061501,1.0,8
block_cont_r1__lead_cont_r11,cross,block_cont_r1,lead_cont_r11,block_or_occupancy,lead,block_cont,lead_cont,0,1.0,0.11807,0.054954,0.054954,1.0,8
block_cont_r1__lead_cont_r12,cross,block_cont_r1,lead_cont_r12,block_or_occupancy,lead,block_cont,lead_cont,0,2.0,0.101078,0.050884,0.050884,1.0,8
