pair_id,pair_type,state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,same_param_group,ego_speed_diff,d0_mean,d1_mean,d1_validonly,feasibility_agree,n_valid_actions
block_cont_r7__block_nec_r10,same_matched,block_cont_r7,block_nec_r10,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0,1.0,0.352595,0.264747,0.264747,1.0,8
block_nec_r3__temp_opt_r11,same_matched,block_nec_r3,temp_opt_r11,block_or_occupancy,block_or_occupancy,block_nec,temp_opt,0,0.0,0.126456,0.125109,0.125109,1.0,8
lead_cont_r12__lead_opt_r10,same_matched,lead_cont_r12,lead_opt_r10,lead,lead,lead_cont,lead_opt,0,0.0,0.371988,0.286442,0.286442,1.0,8
cross_clear_r9__cross_stall_r10,same_matched,cross_clear_r9,cross_stall_r10,cross,cross,cross_clear,cross_stall,0,1.0,0.228355,0.199908,0.199908,1.0,8
lead_cont_r4__lead_nec_r8,same_matched,lead_cont_r4,lead_nec_r8,lead,lead,lead_cont,lead_nec,0,2.0,0.312355,0.267965,0.267965,1.0,8
block_cont_r1__temp_opt_r5,same_matched,block_cont_r1,temp_opt_r5,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,0,1.0,0.397989,0.321495,0.321495,1.0,8
lead_cont_r2__lead_nec_r3,same_matched,lead_cont_r2,lead_nec_r3,lead,lead,lead_cont,lead_nec,0,1.0,0.355347,0.28459,0.28459,1.0,8
block_cont_r1__block_nec_r3,same_matched,block_cont_r1,block_nec_r3,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0,1.0,0.315958,0.221705,0.221705,1.0,8
cross_clear_r9__cross_stall_r1,same_matched,cross_clear_r9,cross_stall_r1,cross,cross,cross_clear,cross_stall,0,2.0,0.223719,0.198009,0.198009,1.0,8
block_cont_r10__temp_opt_r3,same_matched,block_cont_r10,temp_opt_r3,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,0,1.0,0.371215,0.305713,0.305713,1.0,8
cross_clear_r5__cross_stall_occ_r7,same_matched,cross_clear_r5,cross_stall_occ_r7,cross,cross,cross_clear,cross_stall_occ,0,1.0,0.305561,0.204383,0.204383,1.0,8
cross_stall_occ_r4__cross_stall_r4,same_matched,cross_stall_occ_r4,cross_stall_r4,cross,cross,cross_stall_occ,cross_stall,0,0.0,0.291448,0.258151,0.258151,1.0,8
lead_cont_r10__lead_cont_r7,same_matched,lead_cont_r10,lead_cont_r7,lead,lead,lead_cont,lead_cont,0,1.0,0.054001,0.033834,0.033834,1.0,8
cross_clear_r7__cross_stall_r3,same_matched,cross_clear_r7,cross_stall_r3,cross,cross,cross_clear,cross_stall,0,0.0,0.101055,0.0552,0.0552,1.0,8
block_cont_r1__block_cont_r7,same_matched,block_cont_r1,block_cont_r7,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0,2.0,0.038336,0.013969,0.013969,1.0,8
block_nec_r11__block_nec_r3,same_matched,block_nec_r11,block_nec_r3,block_or_occupancy,block_or_occupancy,block_nec,block_nec,0,1.0,0.06748,0.071548,0.071548,1.0,8
lead_cont_r11__lead_cont_r6,same_matched,lead_cont_r11,lead_cont_r6,lead,lead,lead_cont,lead_cont,0,1.0,0.067834,0.035769,0.035769,1.0,8
cross_clear_r7__cross_stall_r4,same_matched,cross_clear_r7,cross_stall_r4,cross,cross,cross_clear,cross_stall,0,0.0,0.089496,0.044319,0.044319,1.0,8
cross_clear_r2__cross_clear_r6,same_matched,cross_clear_r2,cross_clear_r6,cross,cross,cross_clear,cross_clear,0,1.0,0.119695,0.098816,0.098816,1.0,8
cross_stall_occ_r10__cross_stall_occ_r8,same_matched,cross_stall_occ_r10,cross_stall_occ_r8,cross,cross,cross_stall_occ,cross_stall_occ,0,1.0,0.056998,0.02575,0.02575,1.0,8
cross_stall_occ_r3__cross_stall_occ_r8,same_matched,cross_stall_occ_r3,cross_stall_occ_r8,cross,cross,cross_stall_occ,cross_stall_occ,0,1.0,0.068504,0.032454,0.032454,1.0,8
block_nec_r5__block_nec_r9,same_matched,block_nec_r5,block_nec_r9,block_or_occupancy,block_or_occupancy,block_nec,block_nec,0,1.0,0.05801,0.027351,0.027351,1.0,8
cross_stall_occ_r2__cross_stall_occ_r6,same_matched,cross_stall_occ_r2,cross_stall_occ_r6,cross,cross,cross_stall_occ,cross_stall_occ,0,2.0,0.064357,0.039027,0.039027,1.0,8
block_nec_r6__temp_opt_r5,same_matched,block_nec_r6,temp_opt_r5,block_or_occupancy,block_or_occupancy,block_nec,temp_opt,0,1.0,0.073855,0.092271,0.092271,1.0,8
lead_cont_r7__lead_nec_r3,same_matched,lead_cont_r7,lead_nec_r3,lead,lead,lead_cont,lead_nec,0,1.0,0.365795,0.284767,0.284767,1.0,8
block_cont_r10__temp_opt_r6,same_matched,block_cont_r10,temp_opt_r6,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,0,0.0,0.361418,0.302266,0.302266,1.0,8
lead_cont_r11__lead_nec_r2,same_matched,lead_cont_r11,lead_nec_r2,lead,lead,lead_cont,lead_nec,0,1.0,0.335212,0.280931,0.280931,1.0,8
block_cont_r12__block_nec_r3,same_matched,block_cont_r12,block_nec_r3,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0,1.0,0.354625,0.239969,0.239969,1.0,8
block_cont_r6__block_nec_r12,same_matched,block_cont_r6,block_nec_r12,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0,2.0,0.375955,0.290638,0.290638,1.0,8
cross_stall_occ_r1__cross_stall_r3,same_matched,cross_stall_occ_r1,cross_stall_r3,cross,cross,cross_stall_occ,cross_stall,0,1.0,0.351776,0.278403,0.278403,1.0,8
lead_cont_r1__lead_opt_r12,same_matched,lead_cont_r1,lead_opt_r12,lead,lead,lead_cont,lead_opt,0,1.0,0.365059,0.29029,0.29029,1.0,8
block_cont_r3__block_nec_r9,same_matched,block_cont_r3,block_nec_r9,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0,2.0,0.325545,0.20393,0.20393,1.0,8
cross_stall_occ_r7__cross_stall_r11,same_matched,cross_stall_occ_r7,cross_stall_r11,cross,cross,cross_stall_occ,cross_stall,0,2.0,0.358575,0.263827,0.263827,1.0,8
lead_cont_r2__lead_opt_r10,same_matched,lead_cont_r2,lead_opt_r10,lead,lead,lead_cont,lead_opt,0,2.0,0.361712,0.28629,0.28629,1.0,8
lead_cont_r7__lead_opt_r7,same_matched,lead_cont_r7,lead_opt_r7,lead,lead,lead_cont,lead_opt,0,1.0,0.37231,0.28205,0.28205,1.0,8
lead_cont_r6__lead_nec_r8,same_matched,lead_cont_r6,lead_nec_r8,lead,lead,lead_cont,lead_nec,0,1.0,0.349829,0.278999,0.278999,1.0,8
temp_opt_r10__temp_opt_r12,same_matched,temp_opt_r10,temp_opt_r12,block_or_occupancy,block_or_occupancy,temp_opt,temp_opt,0,2.0,0.066734,0.069162,0.069162,1.0,8
block_nec_r6__temp_opt_r10,same_matched,block_nec_r6,temp_opt_r10,block_or_occupancy,block_or_occupancy,block_nec,temp_opt,0,2.0,0.11593,0.109332,0.109332,1.0,8
cross_clear_r7__cross_stall_r11,same_matched,cross_clear_r7,cross_stall_r11,cross,cross,cross_clear,cross_stall,0,1.0,0.118495,0.08068,0.08068,1.0,8
cross_clear_r7__cross_stall_r3,same_matched,cross_clear_r7,cross_stall_r3,cross,cross,cross_clear,cross_stall,0,0.0,0.101055,0.0552,0.0552,1.0,8
cross_clear_r7__cross_stall_r1,same_matched,cross_clear_r7,cross_stall_r1,cross,cross,cross_clear,cross_stall,0,1.0,0.090856,0.044084,0.044084,1.0,8
cross_clear_r2__cross_clear_r6,same_matched,cross_clear_r2,cross_clear_r6,cross,cross,cross_clear,cross_clear,0,1.0,0.119695,0.098816,0.098816,1.0,8
cross_clear_r11__cross_stall_r12,same_matched,cross_clear_r11,cross_stall_r12,cross,cross,cross_clear,cross_stall,0,0.0,0.142029,0.112638,0.112638,1.0,8
block_nec_r8__temp_opt_r12,same_matched,block_nec_r8,temp_opt_r12,block_or_occupancy,block_or_occupancy,block_nec,temp_opt,0,1.0,0.099543,0.093723,0.093723,1.0,8
block_nec_r6__temp_opt_r10,same_matched,block_nec_r6,temp_opt_r10,block_or_occupancy,block_or_occupancy,block_nec,temp_opt,0,2.0,0.11593,0.109332,0.109332,1.0,8
cross_clear_r7__cross_stall_r3,same_matched,cross_clear_r7,cross_stall_r3,cross,cross,cross_clear,cross_stall,0,0.0,0.101055,0.0552,0.0552,1.0,8
block_nec_r6__temp_opt_r10,same_matched,block_nec_r6,temp_opt_r10,block_or_occupancy,block_or_occupancy,block_nec,temp_opt,0,2.0,0.11593,0.109332,0.109332,1.0,8
block_nec_r1__temp_opt_r2,same_matched,block_nec_r1,temp_opt_r2,block_or_occupancy,block_or_occupancy,block_nec,temp_opt,0,0.0,0.110548,0.100163,0.100163,1.0,8
lead_cont_r7__lead_opt_r8,same_matched,lead_cont_r7,lead_opt_r8,lead,lead,lead_cont,lead_opt,0,1.0,0.383724,0.28392,0.28392,1.0,8
block_cont_r2__temp_opt_r6,same_matched,block_cont_r2,temp_opt_r6,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,0,1.0,0.392251,0.311069,0.311069,1.0,8
block_cont_r4__temp_opt_r10,same_matched,block_cont_r4,temp_opt_r10,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,0,1.0,0.388017,0.315637,0.315637,1.0,8
block_cont_r9__temp_opt_r10,same_matched,block_cont_r9,temp_opt_r10,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,0,3.0,0.405467,0.337325,0.337325,1.0,8
block_cont_r11__temp_opt_r7,same_matched,block_cont_r11,temp_opt_r7,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,0,0.0,0.407802,0.292635,0.292635,1.0,8
block_cont_r10__temp_opt_r2,same_matched,block_cont_r10,temp_opt_r2,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,0,1.0,0.391344,0.315037,0.315037,1.0,8
block_cont_r3__temp_opt_r5,same_matched,block_cont_r3,temp_opt_r5,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,0,0.0,0.403661,0.322486,0.322486,1.0,8
block_cont_r4__temp_opt_r10,same_matched,block_cont_r4,temp_opt_r10,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,0,1.0,0.388017,0.315637,0.315637,1.0,8
block_cont_r12__temp_opt_r2,same_matched,block_cont_r12,temp_opt_r2,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,0,0.0,0.409041,0.315872,0.315872,1.0,8
block_cont_r9__temp_opt_r10,same_matched,block_cont_r9,temp_opt_r10,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,0,3.0,0.405467,0.337325,0.337325,1.0,8
block_cont_r10__temp_opt_r2,same_matched,block_cont_r10,temp_opt_r2,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,0,1.0,0.391344,0.315037,0.315037,1.0,8
