state_i,state_j,mechanism_i,mechanism_j,d
2e10359a52c4c299,6064f2415be71eba,M6_temp_occupancy,M2_vehicle_crossing,0.146677
2e10359a52c4c299,5618d078fc67e99f,M6_temp_occupancy,M6_temp_occupancy,0.198167
2e10359a52c4c299,fb6064f3ad03fffb,M6_temp_occupancy,M1_lead_slow_stop,0.173426
2e10359a52c4c299,3418ee634f3920df,M6_temp_occupancy,M6_temp_occupancy,0.17757
2e10359a52c4c299,63eccbae339d909d,M6_temp_occupancy,M3_vru_crossing,0.249252
2e10359a52c4c299,8fe7e309e8650a73,M6_temp_occupancy,M4_cut_in,0.172086
2e10359a52c4c299,cb86548c32715796,M6_temp_occupancy,M1_lead_slow_stop,0.165821
2e10359a52c4c299,b1d458988d0b5eae,M6_temp_occupancy,M1_lead_slow_stop,0.327535
2e10359a52c4c299,61633963c7b2e131,M6_temp_occupancy,M3_vru_crossing,0.258598
2e10359a52c4c299,555d8f939efafbb,M6_temp_occupancy,M5_merge,0.106667
2e10359a52c4c299,365017521542bd4f,M6_temp_occupancy,M4_cut_in,0.173426
2e10359a52c4c299,39e70c8ed6235491,M6_temp_occupancy,M5_merge,0.209357
2e10359a52c4c299,c4a6a9720515bbc5,M6_temp_occupancy,M2_vehicle_crossing,0.214229
2e10359a52c4c299,831e9f7c915d9a33,M6_temp_occupancy,M2_vehicle_crossing,0.175671
2e10359a52c4c299,2657143ee43948be,M6_temp_occupancy,M5_merge,0.155158
2e10359a52c4c299,e17b50b6b8aba55b,M6_temp_occupancy,M6_temp_occupancy,0.235821
2e10359a52c4c299,702634b51c1ddcf5,M6_temp_occupancy,M6_temp_occupancy,0.20077
2e10359a52c4c299,1e98bdb2802fdab1,M6_temp_occupancy,M3_vru_crossing,0.179508
2e10359a52c4c299,762f088d61c4d918,M6_temp_occupancy,M4_cut_in,0.17757
2e10359a52c4c299,ee768f89b03a5398,M6_temp_occupancy,M5_merge,0.218089
2e10359a52c4c299,53aaa12123cda64d,M6_temp_occupancy,M6_temp_occupancy,0.217086
2e10359a52c4c299,5ff2fe3e4c0d3691,M6_temp_occupancy,M3_vru_crossing,0.283498
2e10359a52c4c299,230e1123fe6c5ae0,M6_temp_occupancy,M3_vru_crossing,0.268879
2e10359a52c4c299,3f229274b2913801,M6_temp_occupancy,M3_vru_crossing,0.17642
2e10359a52c4c299,dfd9bef1399b05fe,M6_temp_occupancy,M3_vru_crossing,0.197102
2e10359a52c4c299,38c3cd000a1ba860,M6_temp_occupancy,M2_vehicle_crossing,0.206889
2e10359a52c4c299,b1e5c3613f253cd6,M6_temp_occupancy,M6_temp_occupancy,0.146755
2e10359a52c4c299,e4248acdea6c8a04,M6_temp_occupancy,M6_temp_occupancy,0.173426
2e10359a52c4c299,f4f8114477b9d87,M6_temp_occupancy,M6_temp_occupancy,0.194291
2e10359a52c4c299,1d5aa678fbcf98f7,M6_temp_occupancy,M4_cut_in,0.172071
2e10359a52c4c299,df00457ce0737194,M6_temp_occupancy,M3_vru_crossing,0.179854
2e10359a52c4c299,793ca3974b95f19e,M6_temp_occupancy,M5_merge,0.173426
2e10359a52c4c299,96a816b2f4b62e88,M6_temp_occupancy,M1_lead_slow_stop,0.272342
2e10359a52c4c299,d1005ff0ae21f95d,M6_temp_occupancy,M5_merge,0.173426
2e10359a52c4c299,be42918ebd3fa0f0,M6_temp_occupancy,M6_temp_occupancy,0.246086
2e10359a52c4c299,549511458b4973c3,M6_temp_occupancy,M2_vehicle_crossing,0.17757
2e10359a52c4c299,e43d8ba5feec2f4c,M6_temp_occupancy,M5_merge,0.178121
2e10359a52c4c299,47b9320b31ab33ac,M6_temp_occupancy,M4_cut_in,0.173426
2e10359a52c4c299,fe2d2a81d65a9c2d,M6_temp_occupancy,M2_vehicle_crossing,0.197536
2e10359a52c4c299,818472857e729867,M6_temp_occupancy,M3_vru_crossing,0.17757
2e10359a52c4c299,cdbe6aeb876ca6f8,M6_temp_occupancy,M5_merge,0.157801
2e10359a52c4c299,675099d84cf0212,M6_temp_occupancy,M4_cut_in,0.065921
2e10359a52c4c299,cccc1c64881dde01,M6_temp_occupancy,M3_vru_crossing,0.150227
2e10359a52c4c299,5f76aca0e8d6d060,M6_temp_occupancy,M6_temp_occupancy,0.20077
2e10359a52c4c299,6f94728ea8b0deba,M6_temp_occupancy,M2_vehicle_crossing,0.149988
2e10359a52c4c299,bda923bbd61198da,M6_temp_occupancy,M4_cut_in,0.173426
