type,state_i,state_j,mech_i,mech_j,d,action_rank_consistency,dVL_trend_corr
cross_nearest,fb6064f3ad03fffb,365017521542bd4f,M1_lead_slow_stop,M4_cut_in,0.0,0.9999999999999999,1.0
cross_nearest,fb6064f3ad03fffb,e4248acdea6c8a04,M1_lead_slow_stop,M6_temp_occupancy,0.0,0.9999999999999999,1.0
cross_nearest,fb6064f3ad03fffb,793ca3974b95f19e,M1_lead_slow_stop,M5_merge,0.0,0.9999999999999999,1.0
cross_nearest,fb6064f3ad03fffb,d1005ff0ae21f95d,M1_lead_slow_stop,M5_merge,0.0,0.9999999999999999,1.0
cross_nearest,fb6064f3ad03fffb,47b9320b31ab33ac,M1_lead_slow_stop,M4_cut_in,0.0,0.9999999999999999,1.0
cross_nearest,fb6064f3ad03fffb,bda923bbd61198da,M1_lead_slow_stop,M4_cut_in,0.0,0.9999999999999999,1.0
cross_nearest,fb6064f3ad03fffb,a0ba5287bfa5fa01,M1_lead_slow_stop,M6_temp_occupancy,0.0,0.9999999999999999,1.0
cross_nearest,fb6064f3ad03fffb,3a6c26ba1a3aaad6,M1_lead_slow_stop,M4_cut_in,0.0,0.9999999999999999,1.0
cross_nearest,fb6064f3ad03fffb,cd8a838bce665a70,M1_lead_slow_stop,M2_vehicle_crossing,0.0,0.9999999999999999,1.0
cross_nearest,fb6064f3ad03fffb,d7d4b8d47a368383,M1_lead_slow_stop,M5_merge,0.0,0.9999999999999999,1.0
same_farthest,363b09f9d01e1606,cc9c4cee498b7d33,M5_merge,M5_merge,0.5625,,
same_farthest,4d99ac365cde07cb,cc9c4cee498b7d33,M5_merge,M5_merge,0.5625,,
same_farthest,eb1cfd2cec3f1bb4,cc9c4cee498b7d33,M5_merge,M5_merge,0.5625,,
same_farthest,b4593a7849572046,cc9c4cee498b7d33,M5_merge,M5_merge,0.5625,,
same_farthest,3523d1b97fde5dd7,cc9c4cee498b7d33,M5_merge,M5_merge,0.5625,,
same_farthest,28db5dc9611a9081,cc9c4cee498b7d33,M5_merge,M5_merge,0.5625,,
same_farthest,7cbf0e765fca9e76,cc9c4cee498b7d33,M5_merge,M5_merge,0.5625,,
same_farthest,a9d519a871369ec9,cc9c4cee498b7d33,M5_merge,M5_merge,0.5625,,
same_farthest,32e165cf3f26d718,cc9c4cee498b7d33,M5_merge,M5_merge,0.5625,,
same_farthest,eb6df0134d7ac47f,cc9c4cee498b7d33,M5_merge,M5_merge,0.5625,,
