scenario_id,file,primary_mechanism,auxiliary,lane_width,ego_speed,evidence
9928daa89a7f867b,9928daa89a7f867b.json,M1_lead_slow_stop,M1_lead_slow_stop,3.106,0.0,"{""M1"": 0.0}"
193973f267c0e3f8,193973f267c0e3f8.json,M1_lead_slow_stop,M1_lead_slow_stop;M6_temp_occupancy,1.735,2.48,"{""M1"": 0.0, ""M6"": 23.06}"
a05540d6a0f4e3ab,a05540d6a0f4e3ab.json,M1_lead_slow_stop,M1_lead_slow_stop,2.991,0.0,"{""M1"": 0.03}"
62bad9e61da6dc44,62bad9e61da6dc44.json,M1_lead_slow_stop,M1_lead_slow_stop,3.717,0.0,"{""M1"": 0.0}"
b01112211aeddce1,b01112211aeddce1.json,M1_lead_slow_stop,M1_lead_slow_stop,3.48,0.0,"{""M1"": 0.0}"
e3b4e3f3a09617e4,e3b4e3f3a09617e4.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.378,6.17,"{""M1"": 1.22, ""M5"": [-23.76, 12.75]}"
10fa6689840a045e,10fa6689840a045e.json,M1_lead_slow_stop,M1_lead_slow_stop;M4_cut_in,3.618,0.0,"{""M1"": 0.36, ""M4"": [-3.51]}"
a70f5b2aa2077f39,a70f5b2aa2077f39.json,M1_lead_slow_stop,M1_lead_slow_stop;M2_vehicle_crossing;M3_vru_crossing,1.52,0.02,"{""M1"": 0.0, ""M2"": 94.68, ""M3"": 8.48}"
e527e1e12a9fdc28,e527e1e12a9fdc28.json,M1_lead_slow_stop,M1_lead_slow_stop,3.174,0.33,"{""M1"": 0.0}"
fb6064f3ad03fffb,fb6064f3ad03fffb.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.664,12.92,"{""M1"": 5.39, ""M5"": [-34.55, 43.27]}"
ae672ec38ffe80b5,ae672ec38ffe80b5.json,M1_lead_slow_stop,M1_lead_slow_stop,4.708,0.01,"{""M1"": 0.0}"
8191df8947207928,8191df8947207928.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge;M6_temp_occupancy,3.29,8.97,"{""M1"": 5.32, ""M5"": [-24.17, 46.45], ""M6"": 3.11}"
6e1e3cbc291ef7,6e1e3cbc291ef7.json,M1_lead_slow_stop,M1_lead_slow_stop,2.963,0.01,"{""M1"": 0.0}"
a3b3a764aab8ba8f,a3b3a764aab8ba8f.json,M1_lead_slow_stop,M2_vehicle_crossing;M5_merge;M1_lead_slow_stop;M6_temp_occupancy,3.299,5.36,"{""M2"": 22.33, ""M5"": [-24.24, 8.86], ""M1"": 0.67, ""M6"": 47.54}"
683cae1a10f71fcd,683cae1a10f71fcd.json,M1_lead_slow_stop,M5_merge;M1_lead_slow_stop,3.742,0.0,"{""M5"": [-77.78, 13.59], ""M1"": 0.02}"
92fac5998e2feef1,92fac5998e2feef1.json,M1_lead_slow_stop,M1_lead_slow_stop,3.399,0.0,"{""M1"": 0.0}"
61e1636e2ab9f43e,61e1636e2ab9f43e.json,M1_lead_slow_stop,M1_lead_slow_stop,2.887,5.88,"{""M1"": 0.0}"
46be633224ba688d,46be633224ba688d.json,M1_lead_slow_stop,M1_lead_slow_stop,3.097,0.44,"{""M1"": 0.02}"
5b48eebb6ae9a031,5b48eebb6ae9a031.json,M1_lead_slow_stop,M1_lead_slow_stop;M2_vehicle_crossing;M6_temp_occupancy,3.069,0.0,"{""M1"": 0.0, ""M2"": 27.15, ""M6"": -33.98}"
5401f9f7a98e3b87,5401f9f7a98e3b87.json,M1_lead_slow_stop,M1_lead_slow_stop,4.106,0.0,"{""M1"": 0.02}"
f2abf57c98faabf3,f2abf57c98faabf3.json,M1_lead_slow_stop,M1_lead_slow_stop,4.103,0.0,"{""M1"": 0.0}"
c99507df4ad4899,c99507df4ad4899.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge;M4_cut_in,3.825,9.45,"{""M1"": 1.71, ""M5"": [-38.18, 23.57], ""M4"": [-27.53]}"
3fa0d9d7e10ebb40,3fa0d9d7e10ebb40.json,M1_lead_slow_stop,M1_lead_slow_stop,4.356,0.0,"{""M1"": 0.0}"
2b77998b1f344810,2b77998b1f344810.json,M1_lead_slow_stop,M6_temp_occupancy;M1_lead_slow_stop,2.935,1.2,"{""M6"": 43.34, ""M1"": 0.0}"
1784b3c9084080c2,1784b3c9084080c2.json,M1_lead_slow_stop,M4_cut_in;M1_lead_slow_stop,4.202,0.01,"{""M4"": [-67.47], ""M1"": 0.0}"
d1d63331ff4d4642,d1d63331ff4d4642.json,M1_lead_slow_stop,M2_vehicle_crossing;M1_lead_slow_stop,4.173,9.69,"{""M2"": 8.18, ""M1"": 0.05}"
d37498e9d40b6473,d37498e9d40b6473.json,M1_lead_slow_stop,M1_lead_slow_stop;M4_cut_in;M5_merge,3.353,2.81,"{""M1"": 0.04, ""M4"": [-2.86], ""M5"": [-10.9, 7.55]}"
498676f3a2f5b632,498676f3a2f5b632.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.258,12.57,"{""M1"": 4.33, ""M5"": [-51.96, 64.89]}"
c36348cd92f7095b,c36348cd92f7095b.json,M1_lead_slow_stop,M1_lead_slow_stop,3.457,0.0,"{""M1"": 0.0}"
df45bb47c8a8b6fa,df45bb47c8a8b6fa.json,M1_lead_slow_stop,M1_lead_slow_stop;M4_cut_in,2.844,0.0,"{""M1"": 0.0, ""M4"": [57.05]}"
38e85776dd8b8106,38e85776dd8b8106.json,M1_lead_slow_stop,M4_cut_in;M5_merge;M1_lead_slow_stop,3.383,0.0,"{""M4"": [-2.68], ""M5"": [-17.86, 34.05], ""M1"": 0.05}"
8f228d2e5a4fae1e,8f228d2e5a4fae1e.json,M1_lead_slow_stop,M1_lead_slow_stop,3.083,0.0,"{""M1"": 0.0}"
f1eead8948b039b3,f1eead8948b039b3.json,M1_lead_slow_stop,M1_lead_slow_stop,3.434,0.0,"{""M1"": 0.0}"
e0849e47fc78ca2a,e0849e47fc78ca2a.json,M1_lead_slow_stop,M1_lead_slow_stop;M6_temp_occupancy,3.609,1.01,"{""M1"": 0.03, ""M6"": 5.04}"
d63a72ef3cd6a570,d63a72ef3cd6a570.json,M1_lead_slow_stop,M1_lead_slow_stop,3.818,4.92,"{""M1"": 0.03}"
8387e91c8d9ef4e5,8387e91c8d9ef4e5.json,M1_lead_slow_stop,M1_lead_slow_stop;M6_temp_occupancy,3.767,0.67,"{""M1"": 0.02, ""M6"": 4.39}"
a0a7a5764d3e2c97,a0a7a5764d3e2c97.json,M1_lead_slow_stop,M1_lead_slow_stop,3.188,0.0,"{""M1"": 0.0}"
2d25cf74c78398d6,2d25cf74c78398d6.json,M1_lead_slow_stop,M1_lead_slow_stop;M4_cut_in,3.268,0.0,"{""M1"": 0.0, ""M4"": [6.95]}"
