file,scenario_id,ego_lane_id,ego_lat,left_lane_id,left_lat,lane_width,ego_speed
tfrecord-00418-of-01000_295.json,bed36c3c5c332883,72,0.389,85,3.105,3.105,15.0
tfrecord-00296-of-01000_437.json,c5b98725126393f4,279,0.018,291,3.004,3.004,18.908
tfrecord-00059-of-01000_458.json,eb1de1c0e336dd6f,260,0.012,286,3.168,3.168,15.79
tfrecord-00481-of-01000_369.json,63bdcc777d217340,145,-0.043,89,3.481,3.481,15.765
tfrecord-00446-of-01000_249.json,bf3a07350495077b,54,-0.478,51,3.767,3.767,18.11
tfrecord-00156-of-01000_58.json,398319e7bc0aa033,367,-0.055,438,3.585,3.585,13.703
tfrecord-00446-of-01000_225.json,e3f5799fa8da91c8,293,-0.019,292,3.53,3.53,13.492
tfrecord-00019-of-01000_186.json,ebd10629faa46b15,504,0.0,410,3.438,3.438,0.771
tfrecord-00466-of-01000_359.json,f881f9d5683c6f21,95,-0.026,180,2.877,2.877,20.221
tfrecord-00344-of-01000_445.json,149e00cc6d036c93,356,-0.054,629,2.895,2.895,19.271
tfrecord-00202-of-01000_449.json,4d41b496fa1aa0b5,129,-0.006,145,3.643,3.643,19.593
tfrecord-00146-of-01000_451.json,3aa436ed4f65b5e9,385,-0.039,382,3.293,3.293,9.03
tfrecord-00463-of-01000_305.json,572a69ec78d9dbcb,75,0.316,73,2.724,2.724,15.698
tfrecord-00023-of-01000_39.json,9ad20e9d19584fc8,217,0.0,146,3.94,3.94,14.163
tfrecord-00362-of-01000_166.json,ab738c3becdf93f3,102,-0.007,103,4.229,4.229,0.602
tfrecord-00244-of-01000_19.json,6832a3be1720ecba,139,0.004,162,3.515,3.515,18.291
tfrecord-00343-of-01000_210.json,f64799d6293e889b,912,-0.22,309,3.167,3.167,15.058
tfrecord-00036-of-01000_39.json,5aecbb8faff01aeb,118,-0.059,117,3.634,3.634,10.305
tfrecord-00460-of-01000_334.json,ec9628feaea01e49,93,0.029,155,3.003,3.003,15.656
tfrecord-00209-of-01000_500.json,72c4f7fc0a1add09,126,0.005,116,3.004,3.004,2.019
tfrecord-00175-of-01000_332.json,79ce12a6c622439e,130,0.004,260,3.464,3.464,7.441
tfrecord-00210-of-01000_428.json,6b1621bbbcf66091,276,0.003,212,3.286,3.286,13.361
tfrecord-00439-of-01000_163.json,885182ba96f7381,103,0.07,92,2.818,2.818,15.696
tfrecord-00006-of-01000_306.json,a37d6b07628db755,202,0.17,173,4.343,4.343,14.987
tfrecord-00243-of-01000_355.json,4ba890de8e0e6b02,105,-0.18,106,3.2,3.2,2.194
tfrecord-00258-of-01000_328.json,377e4cb6dfb0aabb,106,-0.044,107,3.435,3.435,20.19
tfrecord-00317-of-01000_174.json,7613457f672007b7,605,-0.017,355,4.252,4.252,17.836
tfrecord-00428-of-01000_92.json,9b62ba9683925460,113,-0.955,231,4.0,4.0,0.733
tfrecord-00197-of-01000_54.json,17b876946b25411c,638,0.0,887,3.37,3.37,12.454
tfrecord-00080-of-01000_153.json,b816c18488c2cf87,192,0.27,198,2.786,2.786,14.677
tfrecord-00332-of-01000_434.json,7e4bbedada5d5c0f,559,0.013,551,3.817,3.817,15.165
tfrecord-00280-of-01000_194.json,de3c1fde1e0bcd29,72,-0.123,92,3.505,3.505,26.914
tfrecord-00076-of-01000_75.json,6e694c5acaa75ba3,72,-0.521,79,2.892,2.892,0.0
tfrecord-00000-of-01000_166.json,179359c3a28d98bc,597,0.003,424,3.408,3.408,20.181
tfrecord-00116-of-01000_51.json,315b144ad48e2581,342,-0.128,291,3.545,3.545,15.429
tfrecord-00269-of-01000_295.json,157f18359cb7469e,144,-0.002,224,3.264,3.264,19.938
tfrecord-00233-of-01000_81.json,76e5430a3b7d2c4c,321,-0.116,290,2.506,2.506,20.177
tfrecord-00329-of-01000_174.json,d79d954230b2fb0b,229,-0.283,235,2.826,2.826,0.001
tfrecord-00262-of-01000_372.json,b3184458850c9ace,240,-0.0,144,3.118,3.118,12.138
tfrecord-00485-of-01000_175.json,a16b8f54cecb1d0a,67,0.177,87,3.35,3.35,10.305
tfrecord-00360-of-01000_380.json,9d30b6d4aa368c01,351,0.011,357,3.116,3.116,13.819
tfrecord-00142-of-01000_463.json,f6bcef1d89ae2ee3,134,0.012,253,2.805,2.805,20.18
tfrecord-00256-of-01000_278.json,73606437ead57920,110,0.16,200,2.764,2.764,18.901
tfrecord-00054-of-01000_366.json,e09994e5f9f4cd22,392,-0.009,328,2.648,2.648,11.429
tfrecord-00294-of-01000_78.json,baa3126bd62a6e6e,177,0.136,180,2.78,2.78,15.685
tfrecord-00326-of-01000_120.json,e9cef312c1f25000,180,-0.018,281,2.691,2.691,20.174
tfrecord-00190-of-01000_317.json,237ac6f1713476e2,189,-0.055,182,3.89,3.89,2.808
tfrecord-00152-of-01000_383.json,af0c2951756b9cb7,341,-0.174,280,3.206,3.206,19.649
tfrecord-00347-of-01000_286.json,15d9cb7d05ac803d,214,-0.094,213,3.326,3.326,19.521
tfrecord-00019-of-01000_273.json,3b242b1c579e2fb5,364,0.0,210,3.474,3.474,0.501
tfrecord-00010-of-01000_504.json,2f1dd59135c3046e,136,-0.233,83,3.64,3.64,15.629
tfrecord-00250-of-01000_15.json,8549a69f67106e60,490,-0.114,488,3.482,3.482,20.069
tfrecord-00124-of-01000_149.json,14bd1d89cc554cb8,114,-0.302,71,4.049,4.049,28.074
tfrecord-00315-of-01000_308.json,d66622e25634fa0d,1081,-0.034,657,3.761,3.761,16.72
tfrecord-00323-of-01000_165.json,45b329596bfc181e,322,-0.199,429,3.715,3.715,17.08
tfrecord-00127-of-01000_457.json,8cc56d601947907b,335,-0.012,221,3.081,3.081,19.567
tfrecord-00393-of-01000_374.json,cdab4f8c485e2c45,416,-0.015,547,2.879,2.879,17.032
tfrecord-00463-of-01000_471.json,13fd5c00c599c37a,87,-0.322,85,3.2,3.2,0.0
tfrecord-00307-of-01000_315.json,99fd91f69ab9a9f3,180,-0.103,188,3.522,3.522,20.946
tfrecord-00194-of-01000_67.json,859993733db11e96,204,-0.088,157,3.065,3.065,12.424
tfrecord-00146-of-01000_102.json,922b660a1ed8d211,248,0.045,260,3.233,3.233,20.062
tfrecord-00432-of-01000_92.json,e2ed137ec1e2bbe0,365,0.02,298,2.826,2.826,20.058
tfrecord-00168-of-01000_284.json,12874031ead93ca7,311,0.033,312,4.464,4.464,8.802
tfrecord-00270-of-01000_39.json,1d47f7f4f99e282e,156,-0.052,106,3.222,3.222,0.001
tfrecord-00097-of-01000_218.json,b6977389fa4e894,322,-0.002,286,3.627,3.627,10.425
tfrecord-00486-of-01000_288.json,ecc77fa850c3178f,179,-0.111,180,2.794,2.794,12.853
tfrecord-00432-of-01000_213.json,d9030936333f71f9,165,0.022,185,3.858,3.858,11.733
tfrecord-00241-of-01000_395.json,e0a221e9b01d73f7,635,-0.018,460,3.375,3.375,15.89
tfrecord-00362-of-01000_254.json,9c399535d7859970,136,0.019,184,3.248,3.248,7.399
tfrecord-00059-of-01000_323.json,c753ec7071688587,924,0.181,1236,3.515,3.515,13.036
tfrecord-00097-of-01000_495.json,5d94c170ffa985b3,799,-0.001,837,3.45,3.45,20.169
tfrecord-00107-of-01000_469.json,e1bf97354bfc43a9,108,0.016,90,3.427,3.427,28.036
tfrecord-00060-of-01000_45.json,bb1ebb622e2521e0,197,-1.994,214,3.657,3.657,0.001
tfrecord-00230-of-01000_114.json,268356ac812f364c,187,0.0,113,3.586,3.586,3.964
tfrecord-00081-of-01000_342.json,f2c86a4e5779faa2,204,-0.022,203,3.337,3.337,0.307
tfrecord-00307-of-01000_303.json,cf408cad363d0c24,109,0.021,103,3.414,3.414,17.777
tfrecord-00391-of-01000_487.json,ae001c8997cddbb4,155,-0.048,154,3.537,3.537,2.226
tfrecord-00052-of-01000_454.json,6d546fc960739c3,247,0.015,388,3.354,3.354,19.857
tfrecord-00185-of-01000_374.json,3eea244aa8dc0318,367,-0.196,457,3.808,3.808,17.036
tfrecord-00001-of-01000_235.json,5547558649a0f3fa,251,0.036,264,3.207,3.207,17.56
tfrecord-00417-of-01000_37.json,269111f7d760197e,99,-0.075,100,2.709,2.709,10.812
tfrecord-00316-of-01000_384.json,1dbce32c33b909cc,848,-0.07,897,3.438,3.438,9.797
tfrecord-00007-of-01000_291.json,fbbe3c2178ee4237,87,-0.017,118,4.126,4.126,0.001
tfrecord-00102-of-01000_91.json,e61070d45efb1f43,430,0.012,479,3.25,3.25,14.736
tfrecord-00411-of-01000_51.json,a9e0afe5291a18a,232,-0.175,315,3.864,3.864,10.032
tfrecord-00086-of-01000_112.json,c69ae96d90ccfdef,254,-0.026,259,3.272,3.272,19.441
tfrecord-00046-of-01000_466.json,35fe1b09163fd696,720,-0.146,354,2.538,2.538,0.287
tfrecord-00492-of-01000_542.json,2d39b847e71f2e2e,142,-0.028,229,3.408,3.408,10.049
tfrecord-00378-of-01000_308.json,2962a6a8c2b03bc0,116,-0.206,115,3.797,3.797,22.788
tfrecord-00181-of-01000_230.json,2c6336f9eb0a9f0b,182,0.113,198,3.4,3.4,8.987
tfrecord-00017-of-01000_310.json,b9e9dcc18726d9a3,120,-0.055,168,3.619,3.619,14.815
tfrecord-00471-of-01000_352.json,e63c92303a8b256,78,-0.318,83,3.463,3.463,0.001
tfrecord-00434-of-01000_242.json,eaf89c6fe7a09a73,437,0.024,191,3.436,3.436,17.525
tfrecord-00318-of-01000_268.json,b9a413f571e25e5f,458,0.018,283,2.653,2.653,20.113
tfrecord-00194-of-01000_97.json,b5b8d4b6b43f8c0,159,0.075,190,3.418,3.418,10.732
tfrecord-00274-of-01000_386.json,3d448d22404be923,86,-0.018,85,3.162,3.162,15.882
tfrecord-00202-of-01000_296.json,bcf3cb010ae9b88e,196,-0.018,198,3.7,3.7,14.36
tfrecord-00218-of-01000_401.json,4014fa14174d7920,88,-0.454,92,2.918,2.918,3.008
tfrecord-00404-of-01000_486.json,4bcb592fd34febff,146,0.017,196,2.932,2.932,15.636
tfrecord-00157-of-01000_72.json,9ffa9e4610bd86a2,172,-0.038,185,3.795,3.795,13.504
tfrecord-00315-of-01000_283.json,655c4a804ab717bc,272,-0.041,259,3.551,3.551,17.662
tfrecord-00068-of-01000_365.json,76573c0ae77c7f2a,93,0.132,90,2.831,2.831,0.001
tfrecord-00000-of-01000_108.json,afc4981f28c9ed9d,326,0.0,828,3.418,3.418,19.195
tfrecord-00234-of-01000_82.json,cb4643cda6dfed93,52,0.007,68,3.719,3.719,0.629
tfrecord-00409-of-01000_470.json,a6d046e69e0d70f8,171,-0.094,197,2.787,2.787,9.319
tfrecord-00029-of-01000_308.json,88a9394e697b46b5,96,-0.216,80,3.742,3.742,1.099
tfrecord-00101-of-01000_146.json,26601b4e0e08fccf,325,0.043,464,3.596,3.596,16.186
