file,scenario_id,ego_speed,primary_mechanism,auxiliary_mechanism_tags,n_actors,evidence
tfrecord-00498-of-01000_319.json,93125e6936297df5,3.51,M1_lead_slow_stop,M1_lead_slow_stop;M2_vehicle_crossing;M4_cut_in;M5_merge,19,"{""M1"": {""min_spd"": 0.08, ""dspd"": 0.17}, ""M2"": {""lat_span"": 25.83}, ""M4"": {""lat0"": -24.4, ""lat_min"": 0.22}, ""M5"": {""lon0"": -7.31, ""lon_end"": 11.39}}"
tfrecord-00241-of-01000_3.json,de95771b95f36c6f,0.05,M0_none,,17,{}
tfrecord-00469-of-01000_183.json,33afa7cc252ac898,15.57,M4_cut_in,M4_cut_in;M5_merge,22,"{""M4"": {""lat0"": 3.52, ""lat_min"": 1.08}, ""M5"": {""lon0"": -46.16, ""lon_end"": 83.34}}"
tfrecord-00133-of-01000_512.json,259a7e466448718b,0.0,M1_lead_slow_stop,M1_lead_slow_stop;M2_vehicle_crossing;M4_cut_in,25,"{""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}, ""M2"": {""lat_span"": 61.53}, ""M4"": {""lat0"": -42.01, ""lat_min"": 0.78}}"
tfrecord-00334-of-01000_197.json,20ea68bed2db1113,6.25,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,24,"{""M2"": {""lat_span"": 6.2}, ""M5"": {""lon0"": -23.0, ""lon_end"": 43.56}}"
tfrecord-00451-of-01000_181.json,191ba5b871816b87,3.8,M3_vru_crossing,M3_vru_crossing,40,"{""M3"": {""lat_span"": 21.21}}"
tfrecord-00354-of-01000_261.json,61d6ed4c28274548,5.13,M2_vehicle_crossing,M2_vehicle_crossing,17,"{""M2"": {""lat_span"": 9.92}}"
tfrecord-00372-of-01000_132.json,8c1863f5c52455a,3.49,M1_lead_slow_stop,M2_vehicle_crossing;M4_cut_in;M5_merge;M1_lead_slow_stop,13,"{""M2"": {""lat_span"": 6.57}, ""M4"": {""lat0"": -7.75, ""lat_min"": 1.18}, ""M5"": {""lon0"": -9.81, ""lon_end"": 7.44}, ""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}}"
tfrecord-00429-of-01000_202.json,518e0a83d3a7b0c2,0.0,M3_vru_crossing,M3_vru_crossing,42,"{""M3"": {""lat_span"": 5.6}}"
tfrecord-00390-of-01000_333.json,19a26ec24f038426,0.0,M1_lead_slow_stop,M6_temp_occupancy;M1_lead_slow_stop;M2_vehicle_crossing;M4_cut_in;M3_vru_crossing,67,"{""M6"": {""lat_end"": 3.03}, ""M1"": {""min_spd"": 0.87, ""dspd"": 0.19}, ""M2"": {""lat_span"": 61.19}, ""M4"": {""lat0"": -50.96, ""lat_min"": 1.18}, ""M3"": {""lat_span"": 21.05}}"
