file,scenario_id,ego_speed,primary_mechanism,auxiliary_mechanism_tags,n_actors,evidence
tfrecord-00241-of-01000_3.json,de95771b95f36c6f,0.05,M0_none,,17,{}
tfrecord-00103-of-01000_406.json,a108cee3eba053e3,0.07,M0_none,,33,{}
tfrecord-00042-of-01000_390.json,d8e00c11816321c1,7.08,M0_none,,4,{}
tfrecord-00296-of-01000_437.json,c5b98725126393f4,18.91,M0_none,,39,{}
tfrecord-00027-of-01000_374.json,d8f6023986d99361,10.75,M0_none,,21,{}
tfrecord-00059-of-01000_458.json,eb1de1c0e336dd6f,15.79,M0_none,,10,{}
tfrecord-00428-of-01000_307.json,5c54e925b2fd20ad,7.27,M0_none,,24,{}
tfrecord-00016-of-01000_431.json,ed39b1e1a3b05c53,5.19,M0_none,,22,{}
tfrecord-00048-of-01000_24.json,c0594438491090bf,8.45,M0_none,,6,{}
tfrecord-00002-of-01000_83.json,4b0df1b89be06059,0.75,M0_none,,159,{}
tfrecord-00195-of-01000_444.json,5da1f1b730bdebd8,1.94,M0_none,,73,{}
tfrecord-00219-of-01000_135.json,c3fa0b28f5ea2897,2.19,M0_none,,64,{}
tfrecord-00023-of-01000_39.json,9ad20e9d19584fc8,14.16,M0_none,,37,{}
tfrecord-00315-of-01000_379.json,b0bf7dcc43df3e94,10.85,M0_none,,31,{}
tfrecord-00399-of-01000_315.json,8734d76f4838f111,9.22,M0_none,,5,{}
tfrecord-00266-of-01000_114.json,fb4093df68fd2508,0.24,M0_none,,16,{}
tfrecord-00343-of-01000_210.json,f64799d6293e889b,15.06,M0_none,,36,{}
tfrecord-00363-of-01000_100.json,b563f6aa28c25680,6.8,M0_none,,4,{}
tfrecord-00167-of-01000_303.json,785f9ff8497ddbc1,0.54,M0_none,,101,{}
tfrecord-00447-of-01000_423.json,c331fd25872f1594,0.0,M0_none,,54,{}
