file,scenario_id,ego_speed,primary_mechanism,auxiliary_mechanism_tags,n_actors,evidence
tfrecord-00498-of-01000_319.json,93125e6936297df5,3.51,M1_lead_slow_stop,M1_lead_slow_stop;M2_vehicle_crossing;M4_cut_in;M5_merge,19,"{""M1"": {""min_spd"": 0.08, ""dspd"": 0.17}, ""M2"": {""lat_span"": 25.83}, ""M4"": {""lat0"": -24.4, ""lat_min"": 0.22}, ""M5"": {""lon0"": -7.31, ""lon_end"": 11.39}}"
tfrecord-00133-of-01000_512.json,259a7e466448718b,0.0,M1_lead_slow_stop,M1_lead_slow_stop;M2_vehicle_crossing;M4_cut_in,25,"{""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}, ""M2"": {""lat_span"": 61.53}, ""M4"": {""lat0"": -42.01, ""lat_min"": 0.78}}"
tfrecord-00372-of-01000_132.json,8c1863f5c52455a,3.49,M1_lead_slow_stop,M2_vehicle_crossing;M4_cut_in;M5_merge;M1_lead_slow_stop,13,"{""M2"": {""lat_span"": 6.57}, ""M4"": {""lat0"": -7.75, ""lat_min"": 1.18}, ""M5"": {""lon0"": -9.81, ""lon_end"": 7.44}, ""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}}"
tfrecord-00390-of-01000_333.json,19a26ec24f038426,0.0,M1_lead_slow_stop,M6_temp_occupancy;M1_lead_slow_stop;M2_vehicle_crossing;M4_cut_in;M3_vru_crossing,67,"{""M6"": {""lat_end"": 3.03}, ""M1"": {""min_spd"": 0.87, ""dspd"": 0.19}, ""M2"": {""lat_span"": 61.19}, ""M4"": {""lat0"": -50.96, ""lat_min"": 1.18}, ""M3"": {""lat_span"": 21.05}}"
tfrecord-00420-of-01000_179.json,de152d69e26d2885,1.19,M1_lead_slow_stop,M1_lead_slow_stop;M6_temp_occupancy,125,"{""M1"": {""min_spd"": 0.41, ""dspd"": 0.14}, ""M6"": {""lat_end"": 3.6}}"
tfrecord-00414-of-01000_333.json,f2a4cccd488f3e06,0.01,M1_lead_slow_stop,M1_lead_slow_stop,122,"{""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}}"
tfrecord-00220-of-01000_432.json,b55a784cecc4965c,2.15,M1_lead_slow_stop,M5_merge;M1_lead_slow_stop,94,"{""M5"": {""lon0"": -9.72, ""lon_end"": 5.9}, ""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}}"
tfrecord-00446-of-01000_248.json,5763dcd5fb0e7fe6,5.23,M1_lead_slow_stop,M1_lead_slow_stop,39,"{""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}}"
tfrecord-00421-of-01000_93.json,c51d25640bf53624,0.0,M1_lead_slow_stop,M4_cut_in;M3_vru_crossing;M6_temp_occupancy;M1_lead_slow_stop,88,"{""M4"": {""lat0"": 6.62, ""lat_min"": 0.2}, ""M3"": {""lat_span"": 6.41}, ""M6"": {""lat_end"": -9.5}, ""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}}"
tfrecord-00282-of-01000_36.json,2e28db36b9e4f0d2,4.09,M1_lead_slow_stop,M1_lead_slow_stop,9,"{""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}}"
tfrecord-00032-of-01000_88.json,8bc973d141973c10,8.73,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,58,"{""M1"": {""min_spd"": 4.17, ""dspd"": 3.12}, ""M5"": {""lon0"": -39.95, ""lon_end"": 18.53}}"
tfrecord-00426-of-01000_13.json,219462e5539aa8c1,9.44,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,39,"{""M1"": {""min_spd"": 4.12, ""dspd"": 2.35}, ""M5"": {""lon0"": -44.77, ""lon_end"": 8.81}}"
tfrecord-00364-of-01000_198.json,bafe78b8ffa1fc0e,3.26,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,56,"{""M1"": {""min_spd"": 0.01, ""dspd"": 1.27}, ""M5"": {""lon0"": -13.88, ""lon_end"": 3.78}}"
tfrecord-00001-of-01000_214.json,fa91fa59fec69b0,0.0,M1_lead_slow_stop,M1_lead_slow_stop,95,"{""M1"": {""min_spd"": 0.75, ""dspd"": 0.28}}"
