file,scenario_id,ego_speed,primary_mechanism,auxiliary_mechanism_tags,n_actors,evidence
tfrecord-00334-of-01000_197.json,20ea68bed2db1113,6.25,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,24,"{""M2"": {""lat_span"": 6.2}, ""M5"": {""lon0"": -23.0, ""lon_end"": 43.56}}"
tfrecord-00354-of-01000_261.json,61d6ed4c28274548,5.13,M2_vehicle_crossing,M2_vehicle_crossing,17,"{""M2"": {""lat_span"": 9.92}}"
tfrecord-00023-of-01000_307.json,23753bc3b7a68c32,6.8,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,58,"{""M2"": {""lat_span"": 4.09}, ""M5"": {""lon0"": -17.71, ""lon_end"": 39.8}}"
tfrecord-00259-of-01000_0.json,480ef7b94ee582d8,0.3,M2_vehicle_crossing,M5_merge;M2_vehicle_crossing;M6_temp_occupancy,9,"{""M5"": {""lon0"": -8.5, ""lon_end"": 9.03}, ""M2"": {""lat_span"": 67.24}, ""M6"": {""lat_end"": 65.69}}"
tfrecord-00256-of-01000_276.json,b4110134cae06e0b,7.25,M2_vehicle_crossing,M5_merge;M2_vehicle_crossing;M6_temp_occupancy,37,"{""M5"": {""lon0"": -21.03, ""lon_end"": 29.15}, ""M2"": {""lat_span"": 8.81}, ""M6"": {""lat_end"": -9.91}}"
tfrecord-00198-of-01000_473.json,ce969964b3de01e7,4.71,M2_vehicle_crossing,M2_vehicle_crossing,28,"{""M2"": {""lat_span"": 5.3}}"
tfrecord-00225-of-01000_323.json,159ffe8d830f0db7,8.69,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in;M5_merge,62,"{""M2"": {""lat_span"": 7.74}, ""M4"": {""lat0"": -4.94, ""lat_min"": 0.32}, ""M5"": {""lon0"": -14.38, ""lon_end"": 14.47}}"
tfrecord-00481-of-01000_369.json,63bdcc777d217340,15.77,M2_vehicle_crossing,M5_merge;M2_vehicle_crossing,28,"{""M5"": {""lon0"": -28.46, ""lon_end"": 123.44}, ""M2"": {""lat_span"": 4.4}}"
tfrecord-00381-of-01000_173.json,55f4dbc4940cbab1,5.05,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in,144,"{""M2"": {""lat_span"": 9.75}, ""M4"": {""lat0"": -10.68, ""lat_min"": 0.93}}"
tfrecord-00317-of-01000_150.json,5bf65bcc2ff5a858,0.0,M2_vehicle_crossing,M2_vehicle_crossing;M6_temp_occupancy,180,"{""M2"": {""lat_span"": 21.79}, ""M6"": {""lat_end"": -20.83}}"
tfrecord-00320-of-01000_377.json,a404f3545d4d151c,0.04,M2_vehicle_crossing,M2_vehicle_crossing;M3_vru_crossing;M6_temp_occupancy,45,"{""M2"": {""lat_span"": 18.48}, ""M3"": {""lat_span"": 14.22}, ""M6"": {""lat_end"": -5.76}}"
tfrecord-00146-of-01000_451.json,3aa436ed4f65b5e9,9.03,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in;M5_merge,41,"{""M2"": {""lat_span"": 7.22}, ""M4"": {""lat0"": 6.42, ""lat_min"": 0.25}, ""M5"": {""lon0"": -1.23, ""lon_end"": 53.71}}"
tfrecord-00182-of-01000_469.json,25a6004f455d1290,0.01,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in,12,"{""M2"": {""lat_span"": 99.37}, ""M4"": {""lat0"": -43.55, ""lat_min"": 0.63}}"
tfrecord-00083-of-01000_379.json,207571e5d9e68fa5,0.57,M2_vehicle_crossing,M2_vehicle_crossing,88,"{""M2"": {""lat_span"": 26.65}}"
tfrecord-00065-of-01000_273.json,9320d67a05e410c5,5.63,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in,36,"{""M2"": {""lat_span"": 37.65}, ""M4"": {""lat0"": -12.91, ""lat_min"": 0.85}}"
tfrecord-00344-of-01000_75.json,b455424deba358a5,6.71,M2_vehicle_crossing,M5_merge;M2_vehicle_crossing;M4_cut_in,30,"{""M5"": {""lon0"": -14.01, ""lon_end"": 19.14}, ""M2"": {""lat_span"": 9.59}, ""M4"": {""lat0"": -8.44, ""lat_min"": 0.03}}"
tfrecord-00335-of-01000_333.json,fb9d8960b8ecdf90,7.16,M2_vehicle_crossing,M5_merge;M2_vehicle_crossing,11,"{""M5"": {""lon0"": -30.48, ""lon_end"": 18.16}, ""M2"": {""lat_span"": 28.32}}"
tfrecord-00247-of-01000_418.json,d32b101405fa96e4,6.92,M2_vehicle_crossing,M2_vehicle_crossing,2,"{""M2"": {""lat_span"": 53.33}}"
tfrecord-00439-of-01000_278.json,870c7685ca1abffb,0.34,M2_vehicle_crossing,M2_vehicle_crossing;M6_temp_occupancy,47,"{""M2"": {""lat_span"": 57.25}, ""M6"": {""lat_end"": -47.34}}"
tfrecord-00317-of-01000_174.json,7613457f672007b7,17.84,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in;M5_merge,26,"{""M2"": {""lat_span"": 4.6}, ""M4"": {""lat0"": 3.12, ""lat_min"": 0.07}, ""M5"": {""lon0"": -48.0, ""lon_end"": 99.17}}"
