file,scenario_id,ego_speed,primary_mechanism,auxiliary_mechanism_tags,n_actors,evidence
tfrecord-00469-of-01000_183.json,33afa7cc252ac898,15.57,M4_cut_in,M4_cut_in;M5_merge,22,"{""M4"": {""lat0"": 3.52, ""lat_min"": 1.08}, ""M5"": {""lon0"": -46.16, ""lon_end"": 83.34}}"
tfrecord-00415-of-01000_48.json,a761b408c5a5a35,3.14,M4_cut_in,M4_cut_in,75,"{""M4"": {""lat0"": -3.88, ""lat_min"": 0.25}}"
tfrecord-00114-of-01000_350.json,585eb35cc44e32ca,2.82,M4_cut_in,M4_cut_in,20,"{""M4"": {""lat0"": -14.43, ""lat_min"": 0.61}}"
tfrecord-00316-of-01000_436.json,556c63ff90f01eb6,0.0,M4_cut_in,M4_cut_in,121,"{""M4"": {""lat0"": 5.13, ""lat_min"": 0.25}}"
tfrecord-00201-of-01000_382.json,fe0b050209488cf4,9.98,M4_cut_in,M4_cut_in,51,"{""M4"": {""lat0"": -12.54, ""lat_min"": 0.21}}"
tfrecord-00446-of-01000_249.json,bf3a07350495077b,18.11,M4_cut_in,M4_cut_in;M5_merge,18,"{""M4"": {""lat0"": 6.25, ""lat_min"": 0.38}, ""M5"": {""lon0"": -67.21, ""lon_end"": 105.64}}"
tfrecord-00038-of-01000_71.json,9261b81c58ac3904,5.77,M4_cut_in,M5_merge;M4_cut_in,43,"{""M5"": {""lon0"": -18.73, ""lon_end"": 5.84}, ""M4"": {""lat0"": -12.62, ""lat_min"": 0.0}}"
tfrecord-00144-of-01000_326.json,8e2d159aef1c965b,0.02,M4_cut_in,M4_cut_in,24,"{""M4"": {""lat0"": 15.93, ""lat_min"": 0.12}}"
tfrecord-00472-of-01000_265.json,2a557b3fa1ed486e,0.15,M4_cut_in,M4_cut_in,18,"{""M4"": {""lat0"": -12.11, ""lat_min"": 1.35}}"
tfrecord-00154-of-01000_288.json,6dcbfcd44bd05f36,7.82,M4_cut_in,M5_merge;M6_temp_occupancy;M4_cut_in,54,"{""M5"": {""lon0"": -43.6, ""lon_end"": 22.68}, ""M6"": {""lat_end"": -19.38}, ""M4"": {""lat0"": 11.43, ""lat_min"": 0.86}}"
tfrecord-00210-of-01000_428.json,6b1621bbbcf66091,13.36,M4_cut_in,M4_cut_in;M5_merge,34,"{""M4"": {""lat0"": -3.74, ""lat_min"": 0.13}, ""M5"": {""lon0"": -46.73, ""lon_end"": 52.74}}"
tfrecord-00439-of-01000_163.json,885182ba96f7381,15.7,M4_cut_in,M4_cut_in;M5_merge,6,"{""M4"": {""lat0"": 2.83, ""lat_min"": 0.17}, ""M5"": {""lon0"": -4.21, ""lon_end"": 156.45}}"
tfrecord-00285-of-01000_295.json,f23b32be36ea7a37,0.0,M4_cut_in,M6_temp_occupancy;M4_cut_in,38,"{""M6"": {""lat_end"": -3.2}, ""M4"": {""lat0"": -3.99, ""lat_min"": 0.33}}"
tfrecord-00006-of-01000_306.json,a37d6b07628db755,14.99,M4_cut_in,M4_cut_in,5,"{""M4"": {""lat0"": 6.41, ""lat_min"": 1.42}}"
tfrecord-00480-of-01000_249.json,79b901b1154f5f62,1.91,M4_cut_in,M5_merge;M4_cut_in,12,"{""M5"": {""lon0"": -9.42, ""lon_end"": 8.62}, ""M4"": {""lat0"": 6.96, ""lat_min"": 0.08}}"
tfrecord-00226-of-01000_247.json,3c91a25a58e2ce0f,23.08,M4_cut_in,M5_merge;M4_cut_in;M6_temp_occupancy,15,"{""M5"": {""lon0"": -47.64, ""lon_end"": 131.14}, ""M4"": {""lat0"": -4.65, ""lat_min"": 1.34}, ""M6"": {""lat_end"": 9.19}}"
tfrecord-00067-of-01000_391.json,481bffbc3191775b,1.67,M4_cut_in,M6_temp_occupancy;M4_cut_in,207,"{""M6"": {""lat_end"": -55.93}, ""M4"": {""lat0"": -13.87, ""lat_min"": 0.5}}"
tfrecord-00436-of-01000_126.json,270f7663055530e1,2.0,M4_cut_in,M4_cut_in,48,"{""M4"": {""lat0"": -9.74, ""lat_min"": 0.93}}"
tfrecord-00332-of-01000_434.json,7e4bbedada5d5c0f,15.17,M4_cut_in,M4_cut_in,19,"{""M4"": {""lat0"": -3.46, ""lat_min"": 0.92}}"
tfrecord-00097-of-01000_17.json,384137da5a919b50,4.04,M4_cut_in,M4_cut_in;M5_merge,89,"{""M4"": {""lat0"": -3.27, ""lat_min"": 0.19}, ""M5"": {""lon0"": -15.38, ""lon_end"": 9.67}}"
