file,scenario_id,ego_speed,primary_mechanism,auxiliary_mechanism_tags,n_actors,evidence
tfrecord-00418-of-01000_295.json,bed36c3c5c332883,15.0,M5_merge,M6_temp_occupancy;M5_merge,3,"{""M6"": {""lat_end"": 4.17}, ""M5"": {""lon0"": -38.96, ""lon_end"": 100.55}}"
tfrecord-00094-of-01000_187.json,418c53c92f846e63,5.99,M5_merge,M5_merge,19,"{""M5"": {""lon0"": -36.05, ""lon_end"": 23.61}}"
tfrecord-00413-of-01000_62.json,f2783dd4af35ef35,6.9,M5_merge,M5_merge,68,"{""M5"": {""lon0"": -14.11, ""lon_end"": 32.71}}"
tfrecord-00175-of-01000_319.json,f82ccfbb5d71ba6f,9.13,M5_merge,M5_merge,70,"{""M5"": {""lon0"": -42.34, ""lon_end"": 35.08}}"
tfrecord-00399-of-01000_302.json,9efa53a72818c2e7,17.67,M5_merge,M5_merge;M6_temp_occupancy,35,"{""M5"": {""lon0"": -37.18, ""lon_end"": 108.59}, ""M6"": {""lat_end"": 3.74}}"
tfrecord-00156-of-01000_58.json,398319e7bc0aa033,13.7,M5_merge,M5_merge,52,"{""M5"": {""lon0"": -46.73, ""lon_end"": 78.34}}"
tfrecord-00446-of-01000_225.json,e3f5799fa8da91c8,13.49,M5_merge,M5_merge;M6_temp_occupancy,13,"{""M5"": {""lon0"": -23.9, ""lon_end"": 45.24}, ""M6"": {""lat_end"": -15.72}}"
tfrecord-00466-of-01000_359.json,f881f9d5683c6f21,20.22,M5_merge,M5_merge,3,"{""M5"": {""lon0"": -49.41, ""lon_end"": 114.16}}"
tfrecord-00344-of-01000_445.json,149e00cc6d036c93,19.27,M5_merge,M5_merge,32,"{""M5"": {""lon0"": -22.27, ""lon_end"": 102.84}}"
tfrecord-00162-of-01000_24.json,f2a1bfa33d5c509c,1.8,M5_merge,M6_temp_occupancy;M5_merge,28,"{""M6"": {""lat_end"": -34.14}, ""M5"": {""lon0"": -43.22, ""lon_end"": 71.85}}"
tfrecord-00202-of-01000_449.json,4d41b496fa1aa0b5,19.59,M5_merge,M5_merge,3,"{""M5"": {""lon0"": -40.3, ""lon_end"": 99.61}}"
tfrecord-00463-of-01000_305.json,572a69ec78d9dbcb,15.7,M5_merge,M5_merge,11,"{""M5"": {""lon0"": -13.93, ""lon_end"": 159.88}}"
tfrecord-00176-of-01000_105.json,1a2665106a4051c5,2.41,M5_merge,M5_merge,223,"{""M5"": {""lon0"": -12.59, ""lon_end"": 6.56}}"
tfrecord-00036-of-01000_39.json,5aecbb8faff01aeb,10.31,M5_merge,M5_merge,67,"{""M5"": {""lon0"": -35.7, ""lon_end"": 44.28}}"
tfrecord-00460-of-01000_334.json,ec9628feaea01e49,15.66,M5_merge,M5_merge,15,"{""M5"": {""lon0"": -18.37, ""lon_end"": 118.33}}"
tfrecord-00209-of-01000_500.json,72c4f7fc0a1add09,2.02,M5_merge,M5_merge,88,"{""M5"": {""lon0"": -8.73, ""lon_end"": 20.46}}"
tfrecord-00220-of-01000_145.json,2950c64ed229290b,0.8,M5_merge,M6_temp_occupancy;M5_merge,31,"{""M6"": {""lat_end"": -7.62}, ""M5"": {""lon0"": -8.2, ""lon_end"": 8.54}}"
tfrecord-00468-of-01000_79.json,8f1471faa1178fac,20.16,M5_merge,M5_merge,4,"{""M5"": {""lon0"": -44.02, ""lon_end"": 121.73}}"
tfrecord-00005-of-01000_27.json,a9065e7cc96a40f2,4.27,M5_merge,M5_merge,34,"{""M5"": {""lon0"": -15.55, ""lon_end"": 14.49}}"
tfrecord-00258-of-01000_328.json,377e4cb6dfb0aabb,20.19,M5_merge,M5_merge,3,"{""M5"": {""lon0"": -33.17, ""lon_end"": 126.9}}"
