file,scenario_id,ego_speed,primary_mechanism,auxiliary_mechanism_tags,n_actors,evidence
tfrecord-00321-of-01000_150.json,ba28f21ba487764b,0.0,M6_temp_occupancy,M6_temp_occupancy,143,"{""M6"": {""lat_end"": 3.85}}"
tfrecord-00121-of-01000_415.json,e03aa6067e229264,2.25,M6_temp_occupancy,M6_temp_occupancy,31,"{""M6"": {""lat_end"": -71.73}}"
tfrecord-00023-of-01000_167.json,c8f237031f8bfad4,1.37,M6_temp_occupancy,M6_temp_occupancy,50,"{""M6"": {""lat_end"": -52.75}}"
tfrecord-00274-of-01000_359.json,bb8302dde3b4c3d1,1.89,M6_temp_occupancy,M6_temp_occupancy,189,"{""M6"": {""lat_end"": -3.55}}"
tfrecord-00052-of-01000_307.json,371449c803e1e064,0.0,M6_temp_occupancy,M6_temp_occupancy,50,"{""M6"": {""lat_end"": 11.44}}"
tfrecord-00056-of-01000_156.json,f3dd5d491d83f490,0.65,M6_temp_occupancy,M6_temp_occupancy,89,"{""M6"": {""lat_end"": -39.13}}"
tfrecord-00198-of-01000_402.json,b586ee57904ef4ee,12.8,M6_temp_occupancy,M6_temp_occupancy,35,"{""M6"": {""lat_end"": -10.61}}"
tfrecord-00371-of-01000_128.json,190f4cc8818b15fd,2.9,M6_temp_occupancy,M6_temp_occupancy,45,"{""M6"": {""lat_end"": -13.15}}"
tfrecord-00231-of-01000_319.json,82a40618cac9b210,0.0,M6_temp_occupancy,M6_temp_occupancy,36,"{""M6"": {""lat_end"": -6.42}}"
tfrecord-00231-of-01000_421.json,1e89df7f6db2f1c0,0.47,M6_temp_occupancy,M6_temp_occupancy,13,"{""M6"": {""lat_end"": -73.58}}"
tfrecord-00443-of-01000_185.json,9e527afeb19a2711,2.93,M6_temp_occupancy,M6_temp_occupancy,27,"{""M6"": {""lat_end"": -4.57}}"
tfrecord-00391-of-01000_487.json,ae001c8997cddbb4,2.23,M6_temp_occupancy,M6_temp_occupancy,109,"{""M6"": {""lat_end"": -3.52}}"
tfrecord-00427-of-01000_79.json,bcfc99fe0d4137cc,10.65,M6_temp_occupancy,M6_temp_occupancy,49,"{""M6"": {""lat_end"": -10.27}}"
tfrecord-00007-of-01000_291.json,fbbe3c2178ee4237,0.0,M6_temp_occupancy,M6_temp_occupancy,38,"{""M6"": {""lat_end"": -4.28}}"
tfrecord-00113-of-01000_166.json,e830adc0d2e15b3e,4.94,M6_temp_occupancy,M6_temp_occupancy,95,"{""M6"": {""lat_end"": -3.94}}"
tfrecord-00223-of-01000_368.json,e4e89aa91b4c7453,2.07,M6_temp_occupancy,M6_temp_occupancy,78,"{""M6"": {""lat_end"": -3.48}}"
tfrecord-00485-of-01000_382.json,90a659332be3c7c2,15.19,M6_temp_occupancy,M6_temp_occupancy,74,"{""M6"": {""lat_end"": 3.16}}"
tfrecord-00041-of-01000_279.json,daf841e5a17e28f9,0.0,M6_temp_occupancy,M6_temp_occupancy,10,"{""M6"": {""lat_end"": -5.95}}"
tfrecord-00195-of-01000_282.json,3b3235f0493dee47,5.37,M6_temp_occupancy,M6_temp_occupancy,33,"{""M6"": {""lat_end"": -40.53}}"
tfrecord-00003-of-01000_270.json,6677b9f2ceefe9ed,0.1,M6_temp_occupancy,M6_temp_occupancy,4,"{""M6"": {""lat_end"": 32.82}}"
