scenario_id,lane_width,n_actors,n_interaction,interaction_ids,corridors,min_margin,n_occupied_frames,n_free_occupied_frames,free_removed_only_interaction
2471dc219b378049,3.089,117,4,1218;1220;1223;1382,current;left,-1.958,17,17,True
3f301ac561e90ff9,3.691,78,8,0;5;7;13;46;106;112;302,current;left,-1.824,17,17,True
4374d3bb0431d9b2,3.415,89,14,1582;1466;1469;1470;1472;1476;1479;1480;1483;1484;1489;1490;1492;1496,current;left,-2.133,17,17,True
714e7ee45b57f1b4,3.023,13,7,0;1;3;4;5;6;7,current,-1.671,17,17,True
8cd3219875b7f1de,3.156,24,3,335;338;350,current;left,-1.994,17,17,True
9e75817008f1712e,2.729,100,5,3;6;9;20;32,current,-1.391,17,17,True
a47c32718b1a585f,3.915,53,4,82;83;88;144,current,-1.403,17,14,True
afc9cb3b77efb6d3,3.235,89,7,1407;1408;1410;1411;1413;1414;1458,current;left,-2.112,17,17,True
bd773585ac5ca660,3.916,133,14,3523;2850;2851;2853;2860;2878;2956;3472;3473;3508;3020;3519;3551;3052,current;left,-1.59,17,17,True
c902e64ac43541b6,4.104,14,5,898;906;857;880;886,current,-2.121,17,6,True
d559bcf4ce0521a9,3.685,24,1,1165,current,0.013,10,0,True
e7fc2a4d738d607b,2.996,27,2,1257;1258,current;left,-1.878,17,0,True
f561a5f773a63664,3.635,19,11,2312;2313;2314;2318;2284;2286;2287;2291;2294;2296;2301,current,-1.917,17,17,True
fcf2fb4ff43f3561,3.097,3,2,2385;2386,current;left,-1.898,17,0,True
