sample_id,mechanism,file,scenario_id,ego_speed,evidence
S000,M1_lead_slow_stop,tfrecord-00388-of-01000_201.json,95c1ad0375511f4a,4.17,"{""M2"": {""lat_span"": 19.7}, ""M4"": {""lat0"": -13.7, ""lat_min"": 0.48}, ""M5"": {""lon0"": -13.75, ""lon_end"": 9.42}, ""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}}"
S001,M1_lead_slow_stop,tfrecord-00408-of-01000_237.json,f6486dafef95adce,5.31,"{""M6"": {""lat_end"": 6.47}, ""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}}"
S002,M1_lead_slow_stop,tfrecord-00381-of-01000_239.json,c318e13d281371bf,16.38,"{""M5"": {""lon0"": -64.82, ""lon_end"": 59.28}, ""M1"": {""min_spd"": 7.5, ""dspd"": 10.38}}"
S003,M1_lead_slow_stop,tfrecord-00145-of-01000_290.json,d0f766903a5a4754,0.0,"{""M1"": {""min_spd"": 0.84, ""dspd"": 0.24}, ""M6"": {""lat_end"": -7.38}, ""M4"": {""lat0"": 3.33, ""lat_min"": 0.05}}"
S004,M1_lead_slow_stop,tfrecord-00362-of-01000_151.json,b0fdf5f01e4f7e32,8.97,"{""M6"": {""lat_end"": 3.14}, ""M1"": {""min_spd"": 4.44, ""dspd"": 2.63}, ""M5"": {""lon0"": -30.1, ""lon_end"": 16.16}, ""M2"": {""lat_span"": 4.12}, ""M4"": {""lat0"": 4.5, ""lat_min"": 0.63}}"
S005,M1_lead_slow_stop,tfrecord-00006-of-01000_339.json,ffbfb5b9959cdd85,10.65,"{""M1"": {""min_spd"": 0.07, ""dspd"": 1.28}, ""M5"": {""lon0"": -40.45, ""lon_end"": 5.33}}"
S006,M1_lead_slow_stop,tfrecord-00399-of-01000_309.json,4b1f86bcb55d638,9.53,"{""M1"": {""min_spd"": 2.79, ""dspd"": 4.13}, ""M5"": {""lon0"": -44.86, ""lon_end"": 12.24}}"
S007,M1_lead_slow_stop,tfrecord-00029-of-01000_372.json,1d3220cd86287acd,7.36,"{""M1"": {""min_spd"": 3.05, ""dspd"": 2.36}, ""M4"": {""lat0"": 2.8, ""lat_min"": 0.39}, ""M5"": {""lon0"": -15.34, ""lon_end"": 23.78}}"
S008,M1_lead_slow_stop,tfrecord-00084-of-01000_163.json,4a0ff5190958ef80,2.51,"{""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}}"
S009,M1_lead_slow_stop,tfrecord-00415-of-01000_18.json,f76df92895066946,7.42,"{""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}, ""M5"": {""lon0"": -32.59, ""lon_end"": 20.48}, ""M4"": {""lat0"": 17.97, ""lat_min"": 0.73}}"
S010,M1_lead_slow_stop,tfrecord-00355-of-01000_210.json,b7efc59fe2f71c3e,0.0,"{""M4"": {""lat0"": -3.35, ""lat_min"": 0.41}, ""M5"": {""lon0"": -13.49, ""lon_end"": 11.97}, ""M1"": {""min_spd"": 0.26, ""dspd"": 0.69}}"
S011,M1_lead_slow_stop,tfrecord-00255-of-01000_106.json,b58f3f9ca1bde92f,4.19,"{""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}}"
S012,M1_lead_slow_stop,tfrecord-00341-of-01000_432.json,45098444582ddf9d,5.1,"{""M5"": {""lon0"": -17.83, ""lon_end"": 21.47}, ""M1"": {""min_spd"": 0.96, ""dspd"": 0.25}}"
S013,M1_lead_slow_stop,tfrecord-00070-of-01000_84.json,c3880f13627d621a,4.61,"{""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}}"
S014,M1_lead_slow_stop,tfrecord-00420-of-01000_179.json,de152d69e26d2885,1.19,"{""M1"": {""min_spd"": 0.41, ""dspd"": 0.14}, ""M6"": {""lat_end"": 3.6}}"
S015,M1_lead_slow_stop,tfrecord-00040-of-01000_56.json,c922c9ffeb66bddc,3.03,"{""M1"": {""min_spd"": 0.09, ""dspd"": 0.35}, ""M2"": {""lat_span"": 4.43}, ""M5"": {""lon0"": -47.42, ""lon_end"": 9.09}}"
S016,M1_lead_slow_stop,tfrecord-00291-of-01000_340.json,4bcec1aa3ceee9bc,3.95,"{""M6"": {""lat_end"": 4.15}, ""M5"": {""lon0"": -16.24, ""lon_end"": 5.15}, ""M1"": {""min_spd"": 0.78, ""dspd"": 0.5}}"
S017,M1_lead_slow_stop,tfrecord-00070-of-01000_426.json,8ec970ad47765e29,10.63,"{""M1"": {""min_spd"": 0.0, ""dspd"": 0.0}, ""M2"": {""lat_span"": 7.37}, ""M5"": {""lon0"": -30.91, ""lon_end"": 59.74}}"
S018,M1_lead_slow_stop,tfrecord-00064-of-01000_163.json,d4d0e8f3b81a6293,12.21,"{""M5"": {""lon0"": -48.54, ""lon_end"": 28.03}, ""M4"": {""lat0"": 3.74, ""lat_min"": 1.17}, ""M6"": {""lat_end"": -12.77}, ""M1"": {""min_spd"": 6.17, ""dspd"": 6.56}}"
S019,M1_lead_slow_stop,tfrecord-00032-of-01000_88.json,8bc973d141973c10,8.73,"{""M1"": {""min_spd"": 4.17, ""dspd"": 3.12}, ""M5"": {""lon0"": -39.95, ""lon_end"": 18.53}}"
S020,M2_vehicle_crossing,tfrecord-00356-of-01000_330.json,42cb7a7c3cb4d687,0.66,"{""M2"": {""lat_span"": 120.39}}"
S021,M2_vehicle_crossing,tfrecord-00426-of-01000_314.json,25fc86ba3f223390,2.02,"{""M2"": {""lat_span"": 12.21}}"
S022,M2_vehicle_crossing,tfrecord-00390-of-01000_402.json,7f805cc46128d15f,0.01,"{""M2"": {""lat_span"": 16.67}}"
S023,M2_vehicle_crossing,tfrecord-00232-of-01000_244.json,34edf837c2598f90,19.52,"{""M2"": {""lat_span"": 4.17}, ""M5"": {""lon0"": -2.39, ""lon_end"": 75.31}}"
S024,M2_vehicle_crossing,tfrecord-00492-of-01000_190.json,dd74b4fc9a47e61,0.11,"{""M2"": {""lat_span"": 7.12}, ""M5"": {""lon0"": -44.28, ""lon_end"": 4.09}}"
S025,M2_vehicle_crossing,tfrecord-00153-of-01000_39.json,fd9ea00e0ff47c3b,26.98,"{""M4"": {""lat0"": -2.89, ""lat_min"": 0.18}, ""M5"": {""lon0"": -59.84, ""lon_end"": 181.7}, ""M2"": {""lat_span"": 4.97}, ""M6"": {""lat_end"": 4.15}}"
S026,M2_vehicle_crossing,tfrecord-00432-of-01000_480.json,8d036d26557852bf,3.98,"{""M2"": {""lat_span"": 9.86}, ""M4"": {""lat0"": 7.49, ""lat_min"": 0.06}, ""M5"": {""lon0"": -11.97, ""lon_end"": 10.8}}"
S027,M2_vehicle_crossing,tfrecord-00324-of-01000_358.json,fa01d6114dbe0de3,5.9,"{""M2"": {""lat_span"": 14.88}, ""M4"": {""lat0"": -2.88, ""lat_min"": 0.07}, ""M5"": {""lon0"": -26.01, ""lon_end"": 13.67}}"
S028,M2_vehicle_crossing,tfrecord-00099-of-01000_176.json,6722059dc50e31af,0.02,"{""M4"": {""lat0"": 16.49, ""lat_min"": 0.62}, ""M2"": {""lat_span"": 22.79}, ""M6"": {""lat_end"": 71.22}}"
S029,M2_vehicle_crossing,tfrecord-00186-of-01000_108.json,1ab700fdd1bde218,0.04,"{""M2"": {""lat_span"": 14.14}, ""M6"": {""lat_end"": 9.54}}"
