s_c,Ts,dur,v0,plateau_sec,P6,P8,P10,G810,closure_pattern
20,1.0,2,6.0,,27.9,44.4,66.9,11.25,False
20,1.0,3,6.0,2.0,26.2,43.2,66.1,11.44,True
20,1.0,4,6.0,3.0,16.8,24.2,37.8,6.75,True
30,1.0,2,6.0,,60.8,85.5,110.2,12.38,False
30,1.0,3,6.0,,39.2,60.2,85.0,12.38,False
30,1.0,4,6.0,2.0,27.0,38.8,56.8,9.0,True
40,1.0,2,6.0,,60.8,85.5,110.2,12.38,False
40,1.0,3,6.0,,59.4,84.2,108.9,12.38,False
40,1.0,4,6.0,,40.5,55.5,77.6,11.03,False
40,0.6,3,6.0,,60.8,85.5,110.2,12.38,False
40,1.4,3,6.0,,59.4,84.2,108.9,12.38,False
30,1.0,3,4.0,,37.6,56.1,79.9,11.94,False
30,1.0,3,8.0,,35.2,51.2,73.2,11.0,False
