scene,group,v0,s0,quadrant,expected,pass,G0,GL,n_branches,P0_2,P0_4,P0_6,P0_8,P0_10,PL_2,PL_4,PL_6,PL_8,PL_10,Pfree_2,Pfree_4,Pfree_6,Pfree_8,Pfree_10
A1,1,6.0,17.77,LateralOptional,G0>0,True,12.062,12.375,100,15.0,23.5,36.5,55.5,79.62,-1.0,36.0,60.75,85.5,110.25,15.0,36.0,60.75,85.5,110.25
A1,10,8.0,28.76,LateralOptional,G0>0,True,12.375,12.375,100,19.0,27.5,42.25,63.25,88.0,-1.0,43.12,67.88,92.62,117.38,19.0,43.12,67.88,92.62,117.38
A1,2,7.0,23.05,LateralOptional,G0>0,True,10.5,12.375,84,17.0,19.25,28.25,43.25,64.25,-1.0,39.88,64.62,89.38,114.12,17.0,39.88,64.62,89.38,114.12
A1,3,8.0,28.67,LateralOptional,G0>0,True,11.625,12.375,96,12.56,17.19,28.69,46.19,69.44,-1.0,39.12,63.88,88.62,113.38,19.0,43.12,67.88,92.62,117.38
A1,4,9.0,35.41,Contingency/Wait,G0>0,False,0.0,,0,4.69,4.69,4.69,4.69,4.69,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,45.75,70.5,95.25,120.0
A1,5,6.0,17.82,LateralOptional,G0>0,True,12.062,12.375,100,15.0,28.5,38.5,57.5,81.62,-1.0,36.0,60.75,85.5,110.25,15.0,36.0,60.75,85.5,110.25
A1,6,7.0,22.91,LateralOptional,G0>0,True,9.75,12.375,80,17.0,23.31,30.19,43.69,63.19,-1.0,39.88,64.62,89.38,114.12,17.0,39.88,64.62,89.38,114.12
A1,7,8.0,28.72,LateralOptional,G0>0,True,12.375,12.375,100,19.0,25.0,41.5,64.38,89.12,-1.0,43.12,67.88,92.62,117.38,19.0,43.12,67.88,92.62,117.38
A1,8,9.0,35.73,LateralOptional,G0>0,True,12.062,12.375,100,15.19,19.62,32.62,51.62,75.75,-1.0,45.75,70.5,95.25,120.0,21.0,45.75,70.5,95.25,120.0
A1,9,7.0,23.01,LateralOptional,G0>0,True,11.938,12.375,100,17.0,33.25,42.19,60.69,84.56,-1.0,39.88,64.62,89.38,114.12,17.0,39.88,64.62,89.38,114.12
A2,1,6.0,17.77,LateralOptional,G0>0,True,9.5,12.375,80,15.0,22.06,27.75,40.75,59.75,-1.0,36.0,60.75,85.5,110.25,15.0,36.0,60.75,85.5,110.25
A2,10,8.0,28.94,LateralOptional,G0>0,True,9.0,12.375,80,19.0,25.81,30.75,42.75,60.75,-1.0,43.12,67.88,92.62,117.38,19.0,43.12,67.88,92.62,117.38
A2,2,7.0,23.02,LateralOptional,G0>0,True,10.0,12.375,80,16.56,16.75,24.75,38.75,58.75,-1.0,36.06,60.44,85.19,109.94,17.0,39.88,64.62,89.38,114.12
A2,3,8.0,28.94,LateralOptional,G0>0,True,11.438,12.375,98,10.81,13.75,24.75,41.75,64.62,-1.0,32.25,55.88,80.62,105.38,19.0,43.12,67.88,92.62,117.38
A2,4,9.0,35.66,Contingency/Wait,G0>0,False,0.0,,0,4.0,4.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,45.75,70.5,95.25,120.0
A2,5,6.0,17.54,LateralOptional,G0>0,True,8.0,12.375,80,15.0,27.19,29.75,39.75,55.75,-1.0,36.0,60.75,85.5,110.25,15.0,36.0,60.75,85.5,110.25
A2,6,7.0,22.95,LateralOptional,G0>0,True,10.0,12.375,80,17.0,21.75,27.5,41.5,61.5,-1.0,36.94,61.31,86.06,110.81,17.0,39.88,64.62,89.38,114.12
A2,7,8.0,29.08,LateralOptional,G0>0,True,10.0,12.375,80,19.0,20.69,28.62,42.62,62.62,-1.0,43.12,67.88,92.62,117.38,19.0,43.12,67.88,92.62,117.38
A2,8,9.0,35.6,LateralOptional,G0>0,True,10.75,12.375,86,14.19,16.19,25.69,41.19,62.69,-1.0,42.75,67.5,92.25,117.0,21.0,45.75,70.5,95.25,120.0
A2,9,7.0,22.9,LateralOptional,G0>0,True,9.0,12.375,80,17.0,31.88,35.5,47.5,65.5,-1.0,39.88,64.62,89.38,114.12,17.0,39.88,64.62,89.38,114.12
