mech,cell,row,quadrant,intent,match,G0,GL,v0,s0,pl_none_frac,pf_low_frac
block,block_cont,1,Contingency/Wait,Contingency/Wait,True,0.0,,5.923,18.15,1.0,0.0
block,block_cont,10,Contingency/Wait,Contingency/Wait,True,0.0,,6.968,23.39,1.0,0.0
block,block_cont,11,Contingency/Wait,Contingency/Wait,True,0.0,0.0,7.976,29.27,0.35,0.0
block,block_cont,12,Contingency/Wait,Contingency/Wait,True,0.0,,6.009,18.15,1.0,0.0
block,block_cont,2,Contingency/Wait,Contingency/Wait,True,0.0,,5.94,18.15,1.0,0.0
block,block_cont,3,Contingency/Wait,Contingency/Wait,True,0.0,,7.001,23.39,1.0,0.0
block,block_cont,4,Contingency/Wait,Contingency/Wait,True,0.0,0.0,6.986,23.39,0.4,0.0
block,block_cont,5,Contingency/Wait,Contingency/Wait,True,0.0,,8.016,29.27,1.0,0.0
block,block_cont,6,Contingency/Wait,Contingency/Wait,True,0.0,,7.974,29.27,1.0,0.0
block,block_cont,7,Contingency/Wait,Contingency/Wait,True,0.0,,8.176,29.27,1.0,0.0
block,block_cont,8,Contingency/Wait,Contingency/Wait,True,0.0,,9.034,36.23,1.0,0.0
block,block_cont,9,Contingency/Wait,Contingency/Wait,True,0.0,0.0,8.985,36.23,0.5,0.0
block,block_nec,1,LateralNecessary,LateralNecessary,True,0.0,12.375,6.014,18.15,0.25,0.0
block,block_nec,10,LateralNecessary,LateralNecessary,True,0.0,12.375,6.995,23.39,0.25,0.0
block,block_nec,11,LateralNecessary,LateralNecessary,True,0.0,12.375,8.033,29.27,0.25,0.0
block,block_nec,12,LateralNecessary,LateralNecessary,True,0.0,12.375,6.103,18.15,0.25,0.0
block,block_nec,2,LateralNecessary,LateralNecessary,True,0.0,12.375,6.021,18.15,0.25,0.0
block,block_nec,3,LateralNecessary,LateralNecessary,True,0.0,12.375,6.99,23.39,0.25,0.0
block,block_nec,4,LateralNecessary,LateralNecessary,True,0.0,12.375,6.966,23.39,0.25,0.0
block,block_nec,5,LateralNecessary,LateralNecessary,True,0.0,12.375,8.006,29.27,0.25,0.0
block,block_nec,6,LateralNecessary,LateralNecessary,True,0.0,12.375,8.033,29.27,0.25,0.0
block,block_nec,7,LateralNecessary,LateralNecessary,True,0.0,12.375,7.995,29.27,0.25,0.0
block,block_nec,8,LateralNecessary,LateralNecessary,True,0.0,12.375,9.009,36.23,0.25,0.0
block,block_nec,9,LateralNecessary,LateralNecessary,True,0.0,12.375,8.982,36.23,0.25,0.0
cross,cross_clear,1,LateralOptional,LateralOptional,True,12.375,12.375,5.984,18.15,0.25,0.0
cross,cross_clear,10,LateralOptional,LateralOptional,True,4.5,6.75,7.997,29.27,0.5,0.0
cross,cross_clear,11,LateralOptional,LateralOptional,True,12.375,12.375,8.037,29.27,0.4,0.0
cross,cross_clear,12,LateralOptional,LateralOptional,True,3.037,9.037,8.037,29.27,0.55,0.0
cross,cross_clear,2,LateralOptional,LateralOptional,True,3.773,12.074,6.023,18.15,0.25,0.0
cross,cross_clear,3,LateralOptional,LateralOptional,True,12.375,12.375,5.829,18.15,0.25,0.0
cross,cross_clear,4,LateralOptional,LateralOptional,True,5.464,10.714,5.964,18.15,0.25,0.0
cross,cross_clear,5,LateralOptional,LateralOptional,True,12.375,12.375,6.943,23.39,0.25,0.0
cross,cross_clear,6,LateralOptional,LateralOptional,True,4.5,9.027,7.027,23.39,0.25,0.0
cross,cross_clear,7,LateralOptional,LateralOptional,True,12.375,12.375,7.039,23.39,0.25,0.0
cross,cross_clear,8,LateralOptional,LateralOptional,True,3.0,11.831,7.037,23.39,0.25,0.0
cross,cross_clear,9,LateralOptional,LateralOptional,True,12.375,12.375,8.001,29.27,0.3,0.0
cross,cross_stall,1,LateralNecessary,LateralNecessary,True,0.0,12.375,5.998,18.15,0.25,0.0
cross,cross_stall,10,LateralNecessary,LateralNecessary,True,0.0,12.375,7.003,23.39,0.25,0.0
cross,cross_stall,11,LateralNecessary,LateralNecessary,True,0.0,12.375,7.965,29.27,0.25,0.0
