scenario,town,route,raw_route,usable_by_results,frames,approx_train_samples
Accident,Town12,Town12_Rep0_1054_0_route0_07_25_02_34_15,1,1,70,54
Accident,Town12,Town12_Rep0_1054_1_route0_07_25_03_31_24,1,1,65,49
Accident,Town12,Town12_Rep0_10_0_route0_07_24_20_14_31,1,1,76,60
Accident,Town12,Town12_Rep0_1334_0_route0_07_24_22_46_56,1,1,131,115
Accident,Town12,Town12_Rep0_1334_1_route0_07_25_09_01_24,1,1,100,84
Accident,Town12,Town12_Rep0_1392_0_route0_07_25_09_38_28,1,1,74,58
Accident,Town12,Town12_Rep0_1392_1_route0_07_25_07_43_41,1,1,78,62
Accident,Town12,Town12_Rep0_1423_0_route0_07_24_21_12_50,1,1,66,50
Accident,Town12,Town12_Rep0_1423_1_route0_07_24_15_36_00,1,1,65,49
Accident,Town12,Town12_Rep0_2208_0_route0_07_25_01_01_11,1,1,270,254
Accident,Town12,Town12_Rep0_2226_0_route0_07_25_09_51_09,1,1,99,83
Accident,Town12,Town12_Rep0_2232_0_route0_07_25_01_38_14,1,1,861,845
Accident,Town12,Town12_Rep0_2329_0_route0_07_24_20_10_13,1,1,78,62
Accident,Town12,Town12_Rep0_2478_0_route0_07_25_05_56_25,1,1,58,42
Accident,Town12,Town12_Rep0_2478_1_route0_07_25_05_39_34,1,1,62,46
Accident,Town12,Town12_Rep0_2488_0_route0_07_25_07_16_26,1,1,68,52
Accident,Town12,Town12_Rep0_2488_1_route0_07_24_15_47_28,1,1,74,58
Accident,Town12,Town12_Rep0_2642_0_route0_07_25_09_59_48,1,1,103,87
Accident,Town12,Town12_Rep0_2810_0_route0_07_25_03_24_22,1,1,130,114
Accident,Town12,Town12_Rep0_2841_0_route0_07_25_04_19_25,1,1,61,45
Accident,Town12,Town12_Rep0_2841_1_route0_07_24_15_14_23,1,0,1451,0
Accident,Town12,Town12_Rep0_2882_0_route0_07_24_23_08_04,1,1,98,82
Accident,Town12,Town12_Rep0_2943_0_route0_07_25_08_17_33,1,1,58,42
Accident,Town12,Town12_Rep0_2957_0_route0_07_25_03_07_47,1,1,80,64
Accident,Town12,Town12_Rep0_3191_0_route0_07_25_00_58_52,1,1,95,79
Accident,Town12,Town12_Rep0_3726_0_route0_07_24_22_17_50,1,1,129,113
Accident,Town12,Town12_Rep0_3743_0_route0_07_25_10_49_39,1,1,87,71
Accident,Town12,Town12_Rep0_3759_0_route0_07_25_03_10_36,1,1,98,82
Accident,Town12,Town12_Rep0_3817_0_route0_07_25_09_43_09,1,1,91,75
Accident,Town12,Town12_Rep0_3823_0_route0_07_25_01_14_52,1,1,117,101
Accident,Town12,Town12_Rep0_3823_1_route0_07_24_18_27_23,1,1,98,82
Accident,Town12,Town12_Rep0_3826_0_route0_07_25_03_24_15,1,1,106,90
Accident,Town12,Town12_Rep0_3826_1_route0_07_24_18_59_24,1,1,88,72
Accident,Town12,Town12_Rep0_3990_0_route0_07_24_14_17_01,1,1,109,93
Accident,Town12,Town12_Rep0_3990_1_route0_07_24_19_19_11,1,1,106,90
Accident,Town12,Town12_Rep0_3992_0_route0_07_24_15_47_41,1,1,75,59
Accident,Town12,Town12_Rep0_4007_0_route0_07_25_07_35_12,1,0,78,0
Accident,Town12,Town12_Rep0_4026_0_route0_07_25_05_24_08,1,1,65,49
Accident,Town12,Town12_Rep0_4117_0_route0_07_25_10_41_51,1,0,563,0
Accident,Town12,Town12_Rep0_4129_0_route0_07_24_22_30_32,1,1,68,52
Accident,Town12,Town12_Rep0_4129_1_route0_07_25_09_02_44,1,1,61,45
Accident,Town12,Town12_Rep0_4355_0_route0_07_25_06_53_54,1,1,84,68
Accident,Town12,Town12_Rep0_4513_0_route0_07_25_04_50_49,1,0,507,0
Accident,Town12,Town12_Rep0_4513_1_route0_07_25_02_53_15,1,0,466,0
Accident,Town12,Town12_Rep0_645_0_route0_07_25_02_13_55,1,1,318,302
Accident,Town12,Town12_Rep0_679_0_route0_07_25_04_48_50,1,1,101,85
Accident,Town12,Town12_Rep0_679_1_route0_07_24_14_22_28,1,1,128,112
Accident,Town12,Town12_Rep0_720_0_route0_07_25_04_08_16,1,0,131,0
Accident,Town12,Town12_Rep0_729_0_route0_07_25_07_02_34,1,1,99,83
Accident,Town12,Town12_Rep0_969_0_route0_07_24_15_52_41,1,1,125,109
Accident,Town13,Town13_Rep0_1044_0_route0_07_24_15_16_40,1,1,105,89
Accident,Town13,Town13_Rep0_1044_2_route0_07_25_10_18_50,1,1,88,72
Accident,Town13,Town13_Rep0_1045_0_route0_07_25_08_05_11,1,1,214,198
Accident,Town13,Town13_Rep0_1045_1_route0_07_25_09_11_26,1,1,215,199
Accident,Town13,Town13_Rep0_1045_2_route0_07_24_19_41_54,1,1,223,207
Accident,Town13,Town13_Rep0_1073_0_route0_07_25_03_53_36,1,1,70,54
Accident,Town13,Town13_Rep0_1073_1_route0_07_24_17_11_42,1,1,75,59
Accident,Town13,Town13_Rep0_1073_2_route0_07_24_16_04_44,1,0,438,0
Accident,Town13,Town13_Rep0_1083_0_route0_07_25_06_42_08,1,1,67,51
Accident,Town13,Town13_Rep0_1083_1_route0_07_24_20_43_31,1,1,68,52
Accident,Town13,Town13_Rep0_1083_2_route0_07_24_15_23_06,1,1,71,55
Accident,Town13,Town13_Rep0_1224_0_route0_07_25_00_55_42,1,1,66,50
Accident,Town13,Town13_Rep0_1224_1_route0_07_25_08_10_26,1,1,68,52
Accident,Town13,Town13_Rep0_1224_2_route0_07_25_00_46_57,1,1,78,62
