Entries under PlanT_2_dataset/data/: 2974782
progress: 201409/2974782 dirs/files done, 200830 files written
progress: 402818/2974782 dirs/files done, 400090 files written
progress: 604227/2974782 dirs/files done, 599456 files written
progress: 805636/2974782 dirs/files done, 798418 files written
progress: 1007045/2974782 dirs/files done, 997666 files written
progress: 1208454/2974782 dirs/files done, 1197337 files written
progress: 1409863/2974782 dirs/files done, 1396762 files written
progress: 1611272/2974782 dirs/files done, 1596214 files written
progress: 1812681/2974782 dirs/files done, 1795492 files written
progress: 2014090/2974782 dirs/files done, 1995458 files written
progress: 2200006/2974782 dirs/files done, 2180069 files written
progress: 2401415/2974782 dirs/files done, 2379704 files written
progress: 2602824/2974782 dirs/files done, 2579100 files written
progress: 2804359/2974782 dirs/files done, 2778243 files written
DONE. processed 2974782/2974782, files written 2946932
